,Alabama,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-02-03,0.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-02-04,0.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-02-05,0.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-02-06,0.0,37.75651931762695,31.705812454223633,46.34630584716797
2020-02-07,0.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-02-08,0.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-02-09,0.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-02-10,0.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-02-11,0.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-02-12,0.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-02-13,0.0,37.75651931762695,31.705812454223633,46.34630584716797
2020-02-14,0.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-02-15,0.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-02-16,0.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-02-17,0.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-02-18,0.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-02-19,0.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-02-20,0.0,37.75651931762695,31.705812454223633,46.34630584716797
2020-02-21,0.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-02-22,0.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-02-23,0.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-02-24,0.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-02-25,0.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-02-26,0.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-02-27,0.0,37.75651931762695,31.705812454223633,46.34630584716797
2020-02-28,0.0,34.5666389465332,26.47073745727539,46.5443000793457
2020-02-29,0.0,32.174285888671875,23.267311096191406,49.120826721191406
2020-03-01,0.0,19.2557315826416,13.536974906921387,25.669734954833984
2020-03-02,0.0,21.58124542236328,17.01129722595215,25.578628540039062
2020-03-03,0.0,24.181737899780273,15.001296043395996,32.2178955078125
2020-03-04,0.0,41.96451187133789,34.303924560546875,52.023902893066406
2020-03-05,0.0,37.75651931762695,31.705812454223633,46.34630584716797
