,Arizona,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.2709568573510997,0.2709568573510997,0.2709568573510997
2020-01-26,1.0,1.450610062923066,1.450610062923066,1.450610062923066
2020-01-27,0.0,0.0,0.0,0.0
2020-01-28,0.0,2.416620900862857,2.416620900862857,2.416620900862857
2020-01-29,0.0,1.6257218287833624,1.6257218287833624,1.6257218287833624
2020-01-30,0.0,1.490546453726342,1.490546453726342,1.490546453726342
2020-01-31,0.0,2.6352717286016794,2.6352717286016794,2.6352717286016794
2020-02-01,0.0,2.2708096393577195,2.2708096393577195,2.2708096393577195
2020-02-02,0.0,3.5296001687149765,3.5296001687149765,3.5296001687149765
2020-02-03,0.0,2.912727714809831,2.912727714809831,2.912727714809831
2020-02-04,0.0,4.358781283884258,4.358781283884258,4.358781283884258
2020-02-05,0.0,3.9351787787643064,3.9351787787643064,3.9351787787643064
2020-02-06,0.0,5.214203781342544,5.214203781342544,5.214203781342544
2020-02-07,0.0,4.920918564109083,4.920918564109083,4.920918564109083
2020-02-08,0.0,6.084631526941395,6.084631526941395,6.084631526941395
2020-02-09,0.0,5.889729035211393,5.889729035211393,5.889729035211393
2020-02-10,0.0,6.964929991266513,6.964929991266513,6.964929991266513
2020-02-11,0.0,6.849666718523384,6.849666718523384,6.849666718523384
2020-02-12,0.0,7.852387651544471,7.852387651544471,7.852387651544471
2020-02-13,0.0,7.804446337646146,7.804446337646146,7.804446337646146
2020-02-14,0.0,8.745403527398533,8.745403527398533,8.745403527398533
2020-02-15,0.0,8.755899921488965,8.755899921488965,8.755899921488965
2020-02-16,0.0,9.642940998372303,9.642940998372303,9.642940998372303
2020-02-17,0.0,9.704964193263958,9.704964193263958,9.704964193263958
2020-02-18,0.0,10.544274356111963,10.544274356111963,10.544274356111963
2020-02-19,0.0,10.652129090787648,10.652129090787648,10.652129090787648
2020-02-20,0.0,11.448861389372466,11.448861389372466,11.448861389372466
2020-02-21,0.0,11.5976585122865,11.5976585122865,11.5976585122865
2020-02-22,0.0,12.356275279402487,12.356275279402487,12.356275279402487
2020-02-23,0.0,12.541704125230542,12.541704125230542,12.541704125230542
2020-02-24,0.0,13.266166345281816,13.266166345281816,13.266166345281816
2020-02-25,0.0,13.484365064861757,13.484365064861757,13.484365064861757
2020-02-26,0.0,14.178239602008551,14.178239602008551,14.178239602008551
2020-02-27,0.0,14.425718883281624,14.425718883281624,14.425718883281624
2020-02-28,0.0,15.092241035280944,15.092241035280944,15.092241035280944
2020-02-29,0.0,15.365836835483831,15.365836835483831,15.365836835483831
