,Arizona,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,1.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,0.0,0.0,0.03491481766104698
2020-02-04,0.0,0.0,0.0,-50.370948791503906
2020-02-05,0.0,0.0,0.0,-71.69544982910156
2020-02-06,0.0,0.0,0.0,-39.40464782714844
2020-02-07,0.0,0.0,0.0,-47.27143859863281
2020-02-08,0.0,0.0,0.0,-63.6389045715332
2020-02-09,0.0,0.0,0.0,4.6448469161987305
2020-02-10,0.0,0.0,0.0,-0.15793196856975555
2020-02-11,0.0,0.0,0.0,-50.60304641723633
2020-02-12,0.0,0.0,0.0,-71.97349548339844
2020-02-13,0.0,0.0,0.0,-39.67109298706055
2020-02-14,0.0,0.0,0.0,-47.55168151855469
2020-02-15,0.0,0.0,0.0,-63.9645881652832
2020-02-16,0.0,0.0,0.0,4.377246856689453
2020-02-17,0.0,0.0,0.0,-0.15793196856975555
2020-02-18,0.0,0.0,0.0,-50.60304641723633
2020-02-19,0.0,0.0,0.0,-71.97349548339844
2020-02-20,0.0,0.0,0.0,-39.67109298706055
2020-02-21,0.0,0.0,0.0,-47.55168151855469
2020-02-22,0.0,0.0,0.0,-63.9645881652832
2020-02-23,0.0,0.0,0.0,4.377246856689453
2020-02-24,0.0,0.0,0.0,-0.15793196856975555
2020-02-25,0.0,0.0,0.0,-50.60304641723633
2020-02-26,0.0,0.0,0.0,-71.97349548339844
2020-02-27,0.0,0.0,0.0,-39.67109298706055
2020-02-28,0.0,0.0,0.0,-47.55168151855469
2020-02-29,0.0,0.0,0.0,-63.9645881652832
2020-03-01,0.0,0.0,0.0,4.377246856689453
2020-03-02,0.0,0.0,0.0,-0.15793196856975555
2020-03-03,0.0,0.0,0.0,-50.60304641723633
2020-03-04,0.0,0.0,0.0,-71.97349548339844
2020-03-05,0.0,0.0,0.0,-39.67109298706055
2020-03-06,1.0,0.0,0.0,-47.55168151855469
2020-03-07,2.0,0.0,0.0,-63.9645881652832
2020-03-08,0.0,0.0,0.0,4.377246856689453
2020-03-09,0.0,0.0,0.0,-0.15793196856975555
2020-03-10,2.0,0.0,0.0,-50.60304641723633
2020-03-11,3.0,0.0,0.0,-71.97349548339844
2020-03-12,0.0,0.0,0.0,-39.67109298706055
2020-03-13,0.0,0.0,0.0,-47.55168151855469
2020-03-14,3.0,0.0,0.0,-63.9645881652832
