,California,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,2.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.0,0.0,-15.482406616210938
2020-01-31,1.0,7.417148113250732,0.0,30.25201988220215
2020-02-01,0.0,29.101512908935547,0.0,72.23619079589844
2020-02-02,0.0,23.09456741809845,0.0,72.34851837158203
2020-02-03,3.0,9.404416275024413,0.0,72.3543930053711
2020-02-04,0.0,0.0,0.0,72.46968841552734
2020-02-05,0.0,0.0,0.0,71.97221374511719
2020-02-06,0.0,0.0,0.0,71.85723114013672
2020-02-07,0.0,0.0,0.0,72.1888656616211
2020-02-08,0.0,0.0,0.0,72.48332214355469
2020-02-09,0.0,0.0,0.0,72.71793365478516
2020-02-10,0.0,0.0,0.0,72.59446716308594
2020-02-11,1.0,0.0,0.0,72.69774627685547
2020-02-12,0.0,0.0,0.0,72.73306274414062
2020-02-13,1.0,0.0,0.0,71.85687255859375
2020-02-14,0.0,0.0,0.0,71.79368591308594
2020-02-15,0.0,0.0,0.0,71.88558959960938
2020-02-16,0.0,0.0,0.0,71.9092025756836
2020-02-17,0.0,0.0,0.0,72.07516479492188
2020-02-18,0.0,0.0,0.0,72.21818542480469
2020-02-19,0.0,0.0,0.0,72.32676696777344
2020-02-20,0.0,0.0,0.0,72.39478302001953
2020-02-21,2.0,0.0,0.0,72.13713836669922
2020-02-22,0.0,0.0,0.0,72.14893341064453
2020-02-23,0.0,0.0,0.0,71.85687255859375
2020-02-24,0.0,0.0,0.0,71.73059844970703
2020-02-25,0.0,0.0,0.0,71.9142074584961
2020-02-26,0.0,0.0,0.0,72.08760833740234
2020-02-27,1.0,0.0,0.0,72.23619079589844
2020-02-28,0.0,0.0,0.0,72.34851837158203
2020-02-29,1.0,0.0,0.0,72.4175033569336
2020-03-01,0.0,0.0,0.0,72.37786102294922
2020-03-02,9.0,0.0,0.0,71.88561248779297
2020-03-03,4.0,0.0,0.0,71.9091567993164
2020-03-04,10.0,0.0,0.0,72.07516479492188
2020-03-05,16.0,0.0,0.0,71.65032196044922
2020-03-06,8.0,0.0,0.0,72.33309936523438
2020-03-07,22.0,0.0,0.0,72.91751861572266
2020-03-08,14.0,0.0,0.0,73.58380889892578
2020-03-09,6.0,0.0,0.0,76.22998809814453
2020-03-10,43.0,0.0,0.0,77.94952392578125
2020-03-11,34.0,0.0,0.0,81.77542114257812
2020-03-12,43.0,0.0,0.0,83.84687805175781
2020-03-13,60.0,0.0,0.0,84.48255920410156
