,Colorado,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,446.73558697279583,,
2020-01-25,0.0,447.4050585486332,,
2020-01-26,0.0,447.9022981565066,,
2020-01-27,0.0,448.64761067640757,,
2020-01-28,0.0,449.7400724399,,
2020-01-29,0.0,451.43978168284207,,
2020-01-30,0.0,452.49515151270225,,
2020-01-31,0.0,451.82272247368763,,
2020-02-01,0.0,450.33407774172395,,
2020-02-02,0.0,449.4506003488664,,
2020-02-03,0.0,449.4812758825753,,
2020-02-04,0.0,450.1389845600291,,
2020-02-05,0.0,450.89828532821446,,
2020-02-06,0.0,451.12720365219604,,
2020-02-07,0.0,450.6377233012442,,
2020-02-08,0.0,449.96051142520787,,
2020-02-09,0.0,449.6486730341468,,
2020-02-10,0.0,449.822579074153,,
2020-02-11,0.0,450.2785233487949,,
2020-02-12,0.0,450.6476235702342,,
2020-02-13,0.0,450.6227726475283,,
2020-02-14,0.0,450.2579077564132,,
2020-02-15,0.0,449.9017892511611,,
2020-02-16,0.0,449.8178833007687,,
2020-02-17,0.0,450.0167099455928,,
2020-02-18,0.0,450.3163549846306,,
2020-02-19,0.0,450.4720412098063,,
2020-02-20,0.0,450.3640659078431,,
2020-02-21,0.0,450.1101545345678,,
2020-02-22,0.0,449.9323044846521,,
2020-02-23,0.0,449.9510174633915,,
2020-02-24,0.0,450.1239789069077,,
2020-02-25,0.0,450.30229965143485,,
2020-02-26,0.0,450.34243909393757,,
2020-02-27,0.0,450.22402938755283,,
2020-02-28,0.0,450.06152218743125,,
2020-02-29,0.0,449.9874725577861,,
2020-03-01,0.0,450.04505667786714,,
2020-03-02,0.0,450.17406371488573,,
2020-03-03,0.0,450.2664259540832,,
2020-03-04,0.0,450.25136080205044,,
2020-03-05,2.0,450.1522777717165,,
2020-03-06,6.0,448.97878151909674,,
2020-03-07,0.0,447.20993170321714,,
2020-03-08,0.0,451.6246320201351,,
2020-03-09,4.0,451.2200573521393,,
2020-03-10,5.0,448.40340927019344,,
2020-03-11,17.0,448.2724199932421,,
2020-03-12,15.0,443.35720907127376,,
2020-03-13,29.0,447.3692917055885,,
2020-03-14,25.0,440.51342875941475,,
2020-03-15,33.0,445.6493360970876,,
2020-03-16,25.0,442.3898847931082,,
2020-03-17,22.0,450.5829444560303,,
2020-03-18,33.0,452.87365401405145,,
2020-03-19,62.0,447.4663874993913,,
2020-03-20,86.0,433.00646113566563,,
2020-03-21,111.0,427.08659562396565,,
2020-03-22,120.0,422.3423193621825,,
2020-03-23,128.0,426.29820675728865,,
2020-03-24,189.0,428.60966317301916,,
2020-03-25,175.0,404.2082853746541,,
2020-03-26,343.0,432.99743825702694,,
2020-03-27,308.0,356.1849141298146,,
2020-03-28,323.0,414.02389934877726,,
2020-03-29,247.0,418.32305782575924,,
2020-03-30,319.0,469.63128128240464,,
2020-03-31,339.0,412.3625442220956,,
2020-04-01,376.0,424.9781753327767,,
2020-04-02,386.0,433.00331255374283,,
2020-04-03,445.0,451.0313665349156,,
2020-04-04,392.0,408.2555866468532,,
2020-04-05,385.0,432.6483349034465,,
2020-04-06,233.0,431.5788050089422,,
2020-04-07,246.0,526.8161933906372,,
2020-04-08,226.0,506.6603000886495,,
2020-04-09,547.0,514.8847592189154,,
2020-04-10,311.0,322.2210662426445,,
2020-04-11,380.0,494.49193600963764,,
2020-04-12,414.0,421.0884011832517,,
2020-04-13,389.0,384.1392412393848,,
2020-04-14,254.0,394.16081477668354,,
2020-04-15,330.0,533.5594461230992,,
2020-04-16,395.0,502.61194711944387,,
2020-04-17,372.0,457.1267542368334,,
2020-04-18,393.0,451.37833345157316,,
2020-04-19,290.0,418.4526386392493,,
2020-04-20,382.0,453.99566439277487,,
2020-04-21,361.0,392.4715677661655,,
2020-04-22,418.0,448.66546234892905,,
2020-04-23,387.0,453.9084349808734,,
2020-04-24,978.0,493.35489564964473,,
2020-04-25,712.0,137.23091942910617,,
2020-04-26,473.0,365.2270613807825,,
2020-04-27,438.0,515.7271633745338,,
2020-04-28,437.0,514.4092298876822,,
2020-04-29,442.0,468.84023254359073,,
2020-04-30,526.0,521.8073735105008,,
2020-05-01,509.0,521.1692156104504,,
2020-05-02,432.0,501.08119070697535,,
2020-05-03,410.0,454.96452363083415,,
