,Delaware,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,222.99323937776242,,
2020-01-26,0.0,222.98850432632585,,
2020-01-27,0.0,222.98247512659836,,
2020-01-28,0.0,222.976102595549,,
2020-01-29,0.0,222.96659050356183,,
2020-01-30,0.0,222.95088011170895,,
2020-01-31,0.0,222.94200965260788,,
2020-02-01,0.0,222.92655034488823,,
2020-02-02,0.0,222.91697716240088,,
2020-02-03,0.0,222.90228244707794,,
2020-02-04,0.0,222.89186271543753,,
2020-02-05,0.0,222.87790927850426,,
2020-02-06,0.0,222.8668052205379,,
2020-02-07,0.0,222.8534172520325,,
2020-02-08,0.0,222.8418319129584,,
2020-02-09,0.0,222.82883049740366,,
2020-02-10,0.0,222.81693042650545,,
2020-02-11,0.0,222.80417722063814,,
2020-02-12,0.0,222.7920804086084,,
2020-02-13,0.0,222.77948031140903,,
2020-02-14,0.0,222.767264245448,,
2020-02-15,0.0,222.75475600834554,,
2020-02-16,0.0,222.74246925794125,,
2020-02-17,0.0,222.73001502697676,,
2020-02-18,0.0,222.71768708726836,,
2020-02-19,0.0,222.70526412011594,,
2020-02-20,0.0,222.6929124971084,,
2020-02-21,0.0,222.6805074091708,,
2020-02-22,0.0,222.6681423143569,,
2020-02-23,0.0,222.65574735096087,,
2020-02-24,0.0,222.64337466047328,,
2020-02-25,0.0,222.63098538387987,,
2020-02-26,0.0,222.61860844237734,,
2020-02-27,0.0,222.60622233821178,,
2020-02-28,0.0,222.5938430324663,,
2020-02-29,0.0,222.58145868778263,,
2020-03-01,0.0,222.56907807421243,,
2020-03-02,0.0,222.55669470047445,,
2020-03-03,0.0,222.5443133668353,,
2020-03-04,0.0,222.53193052655803,,
2020-03-05,0.0,222.51954879808216,,
2020-03-06,0.0,222.5071662497739,,
2020-03-07,0.0,222.49478430557926,,
2020-03-08,0.0,222.48240191652414,,
2020-03-09,0.0,222.4700198548509,,
2020-03-10,0.0,222.45763755239534,,
2020-03-11,1.0,222.4452554269286,,
2020-03-12,0.0,220.52789074650747,,
2020-03-13,3.0,223.62612719739286,,
2020-03-14,2.0,216.88897754108484,,
2020-03-15,0.0,222.38539298701517,,
2020-03-16,2.0,225.68741631636283,,
2020-03-17,8.0,219.670044140939,,
2020-03-18,3.0,210.67089792352562,,
2020-03-19,11.0,227.79000500442254,,
2020-03-20,9.0,206.81832892523994,,
2020-03-21,6.0,221.1150830716192,,
2020-03-22,11.0,227.06640588857496,,
2020-03-23,12.0,214.26971681296368,,
2020-03-24,36.0,218.45201073247082,,
2020-03-25,15.0,175.80898712822275,,
