,Diamond Princess,forecast,interval_low,interval_high
2020-01-23,0.0,5.6415796279907227e-05,-5.841255187988281e-06,0.00014317035675048828
2020-01-24,0.0,6.062388274585828e-05,1.519918441772461e-05,0.00014317035675048828
2020-01-25,0.0,6.272792961681262e-05,2.5719404220581055e-05,0.00014317035675048828
2020-01-26,0.0,6.272792961681262e-05,2.5719404220581055e-05,0.00014317035675048828
2020-01-27,0.0,3.688335345941596e-05,1.0579824447631836e-05,5.137920379638672e-05
2020-01-28,0.0,3.688335345941596e-05,1.0579824447631836e-05,5.137920379638672e-05
2020-01-29,0.0,5.6415796279907227e-05,-5.841255187988281e-06,0.00014317035675048828
2020-01-30,0.0,5.6415796279907227e-05,-5.841255187988281e-06,0.00014317035675048828
2020-01-31,0.0,6.062388274585828e-05,1.519918441772461e-05,0.00014317035675048828
2020-02-01,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-02-02,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-02-03,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-02-04,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-02-05,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-02-06,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-02-07,0.0,2.556443178036716e-05,-2.0742416381835938e-05,5.137920379638672e-05
2020-02-08,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-02-09,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-02-10,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-02-11,0.0,3.8659571146126837e-05,1.946091651916504e-05,5.137920379638672e-05
2020-02-12,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-02-13,0.0,1.8733739125309512e-05,-5.4895877838134766e-05,5.137920379638672e-05
2020-02-14,0.0,2.556443178036716e-05,-2.0742416381835938e-05,5.137920379638672e-05
2020-02-15,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-02-16,0.0,2.5039911633939482e-05,-2.3365020751953125e-05,5.137920379638672e-05
2020-02-17,0.0,3.8540361856576055e-05,1.8864870071411133e-05,5.137920379638672e-05
2020-02-18,0.0,3.8540361856576055e-05,1.8864870071411133e-05,5.137920379638672e-05
2020-02-19,0.0,-0.012866681441664696,-0.06442266702651978,5.137920379638672e-05
2020-02-20,0.0,0.22187069058418274,4.2825937271118164e-05,1.106623649597168
