,Florida,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,1.2470978830938289,1.2470978830938289,1.2470978830938289
2020-01-26,0.0,1.8221972627294334,1.8221972627294334,1.8221972627294334
2020-01-27,0.0,2.5697755865736633,2.5697755865736633,2.5697755865736633
2020-01-28,0.0,3.867748928910351,3.867748928910351,3.867748928910351
2020-01-29,0.0,4.290309950048048,4.290309950048048,4.290309950048048
2020-01-30,0.0,4.985614603253888,4.985614603253888,4.985614603253888
2020-01-31,0.0,7.162605077768415,7.162605077768415,7.162605077768415
2020-02-01,0.0,9.942174413974918,9.942174413974918,9.942174413974918
2020-02-02,0.0,13.023852430414973,13.023852430414973,13.023852430414973
2020-02-03,0.0,16.19384423047634,16.19384423047634,16.19384423047634
2020-02-04,0.0,19.28668607490979,19.28668607490979,19.28668607490979
2020-02-05,0.0,22.18340369931656,22.18340369931656,22.18340369931656
2020-02-06,0.0,24.809406736491876,24.809406736491876,24.809406736491876
2020-02-07,0.0,27.128213603753323,27.128213603753323,27.128213603753323
2020-02-08,0.0,29.132672057260177,29.132672057260177,29.132672057260177
2020-02-09,0.0,30.835856275252002,30.835856275252002,30.835856275252002
2020-02-10,0.0,32.26310358795982,32.26310358795982,32.26310358795982
2020-02-11,0.0,33.445828151005955,33.445828151005955,33.445828151005955
2020-02-12,0.0,34.41716241433335,34.41716241433335,34.41716241433335
2020-02-13,0.0,35.20916664870077,35.20916664870077,35.20916664870077
2020-02-14,0.0,35.85123968961901,35.85123968961901,35.85123968961901
2020-02-15,0.0,36.36937413137767,36.36937413137767,36.36937413137767
2020-02-16,0.0,36.78596106166682,36.78596106166682,36.78596106166682
2020-02-17,0.0,37.119923665414845,37.119923665414845,37.119923665414845
2020-02-18,0.0,37.387026282525014,37.387026282525014,37.387026282525014
2020-02-19,0.0,37.60025882318828,37.60025882318828,37.60025882318828
2020-02-20,0.0,37.770235327223176,37.770235327223176,37.770235327223176
2020-02-21,0.0,37.905572113329825,37.905572113329825,37.905572113329825
2020-02-22,0.0,38.013228309213886,38.013228309213886,38.013228309213886
2020-02-23,0.0,38.098802269891706,38.098802269891706,38.098802269891706
2020-02-24,0.0,38.16678362539126,38.16678362539126,38.16678362539126
2020-02-25,0.0,38.220764030406286,38.220764030406286,38.220764030406286
2020-02-26,0.0,38.26361121760153,38.26361121760153,38.26361121760153
2020-02-27,0.0,38.297611417986765,38.297611417986765,38.297611417986765
2020-02-28,0.0,38.32458507945102,38.32458507945102,38.32458507945102
2020-02-29,0.0,38.34598038280275,38.34598038280275,38.34598038280275
