,Florida,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.0,0.0,-12.50606918334961
2020-02-03,0.0,0.0,0.0,-31.253446578979492
2020-02-04,0.0,0.0,0.0,-136.35098266601562
2020-02-05,0.0,0.0,0.0,-94.48551177978516
2020-02-06,0.0,0.0,0.0,-30.281049728393555
2020-02-07,0.0,0.0,0.0,-40.19430160522461
2020-02-08,0.0,0.0,0.0,-122.52019500732422
2020-02-09,0.0,0.0,0.0,-12.50606918334961
2020-02-10,0.0,0.0,0.0,-31.253446578979492
2020-02-11,0.0,0.0,0.0,-136.35098266601562
2020-02-12,0.0,0.0,0.0,-94.48551177978516
2020-02-13,0.0,0.0,0.0,-30.281049728393555
2020-02-14,0.0,0.0,0.0,-40.19430160522461
2020-02-15,0.0,0.0,0.0,-122.52019500732422
2020-02-16,0.0,0.0,0.0,-12.50606918334961
2020-02-17,0.0,0.0,0.0,-31.253446578979492
2020-02-18,0.0,0.0,0.0,-136.35098266601562
2020-02-19,0.0,0.0,0.0,-94.48551177978516
2020-02-20,0.0,0.0,0.0,-30.281049728393555
2020-02-21,0.0,0.0,0.0,-40.19430160522461
2020-02-22,0.0,0.0,0.0,-122.52019500732422
2020-02-23,0.0,0.0,0.0,-12.50606918334961
2020-02-24,0.0,0.0,0.0,-31.253446578979492
2020-02-25,0.0,0.0,0.0,-136.35098266601562
2020-02-26,0.0,0.0,0.0,-94.48551177978516
2020-02-27,0.0,0.0,0.0,-30.281049728393555
2020-02-28,0.0,0.0,0.0,-40.19430160522461
2020-02-29,0.0,0.0,0.0,-122.52019500732422
2020-03-01,0.0,0.0,0.0,-12.50606918334961
2020-03-02,1.0,0.0,0.0,-31.253446578979492
2020-03-03,1.0,0.0,0.0,-136.35098266601562
2020-03-04,0.0,0.0,0.0,-94.48551177978516
2020-03-05,1.0,0.0,0.0,-30.281049728393555
2020-03-06,0.0,0.0,0.0,-40.19430160522461
2020-03-07,4.0,0.0,0.0,-122.52019500732422
2020-03-08,3.0,0.0,0.0,-12.179747581481934
2020-03-09,3.0,0.0,0.0,-30.996305465698242
2020-03-10,2.0,0.0,0.0,-136.03099060058594
2020-03-11,9.0,0.0,0.0,-93.89553833007812
2020-03-12,6.0,0.0,0.0,-29.44661521911621
2020-03-13,20.0,0.0,0.0,-39.27556610107422
