,Georgia,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,22.97112464904785,0.0,58.65652847290039
2020-02-03,0.0,24.913442611694336,0.6150047779083252,55.515201568603516
2020-02-04,0.0,20.98881721496582,0.0,54.829742431640625
2020-02-05,0.0,22.9110050201416,8.71716594696045,38.82991409301758
2020-02-06,0.0,35.17829895019531,12.28772258758545,51.347450256347656
2020-02-07,0.0,32.66305160522461,22.432043075561523,52.06283187866211
2020-02-08,0.0,56.20094680786133,32.246559143066406,69.46408081054688
2020-02-09,0.0,22.97112464904785,0.0,58.65652847290039
2020-02-10,0.0,24.913442611694336,0.6150047779083252,55.515201568603516
2020-02-11,0.0,20.98881721496582,0.0,54.829742431640625
2020-02-12,0.0,22.9110050201416,8.71716594696045,38.82991409301758
2020-02-13,0.0,35.17829895019531,12.28772258758545,51.347450256347656
2020-02-14,0.0,32.66305160522461,22.432043075561523,52.06283187866211
2020-02-15,0.0,56.20094680786133,32.246559143066406,69.46408081054688
2020-02-16,0.0,22.97112464904785,0.0,58.65652847290039
2020-02-17,0.0,24.913442611694336,0.6150047779083252,55.515201568603516
2020-02-18,0.0,20.98881721496582,0.0,54.829742431640625
2020-02-19,0.0,22.9110050201416,8.71716594696045,38.82991409301758
2020-02-20,0.0,35.17829895019531,12.28772258758545,51.347450256347656
2020-02-21,0.0,32.66305160522461,22.432043075561523,52.06283187866211
2020-02-22,0.0,56.20094680786133,32.246559143066406,69.46408081054688
2020-02-23,0.0,22.97112464904785,0.0,58.65652847290039
2020-02-24,0.0,24.913442611694336,0.6150047779083252,55.515201568603516
2020-02-25,0.0,20.98881721496582,0.0,54.829742431640625
2020-02-26,0.0,22.9110050201416,8.71716594696045,38.82991409301758
2020-02-27,0.0,35.17829895019531,12.28772258758545,51.347450256347656
2020-02-28,0.0,32.66305160522461,22.432043075561523,52.06283187866211
2020-02-29,0.0,56.20094680786133,32.246559143066406,69.46408081054688
2020-03-01,0.0,22.97112464904785,0.0,58.65652847290039
2020-03-02,0.0,24.913442611694336,0.6150047779083252,55.515201568603516
2020-03-03,2.0,20.98881721496582,0.0,54.829742431640625
2020-03-04,0.0,22.9110050201416,8.71716594696045,38.82991409301758
2020-03-05,0.0,35.17829895019531,12.28772258758545,51.347450256347656
2020-03-06,1.0,32.66305160522461,22.432043075561523,52.06283187866211
