,Idaho,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.11144459198344406,0.11144459198344406,0.11144459198344406
2020-01-26,0.0,0.20053670594057843,0.20053670594057843,0.20053670594057843
2020-01-27,0.0,0.31240062137712754,0.31240062137712754,0.31240062137712754
2020-01-28,0.0,0.4044749816180918,0.4044749816180918,0.4044749816180918
2020-01-29,0.0,0.5899892670660428,0.5899892670660428,0.5899892670660428
2020-01-30,0.0,0.8827440520074891,0.8827440520074891,0.8827440520074891
2020-01-31,0.0,1.0518370821781649,1.0518370821781649,1.0518370821781649
2020-02-01,0.0,1.3362865090374167,1.3362865090374167,1.3362865090374167
2020-02-02,0.0,1.5147285898663823,1.5147285898663823,1.5147285898663823
2020-02-03,0.0,1.7787798146452753,1.7787798146452753,1.7787798146452753
2020-02-04,0.0,1.9668711721403678,1.9668711721403678,1.9668711721403678
2020-02-05,0.0,2.2096968405219095,2.2096968405219095,2.2096968405219095
2020-02-06,0.0,2.402037892985403,2.402037892985403,2.402037892985403
2020-02-07,0.0,2.625812726010091,2.625812726010091,2.625812726010091
2020-02-08,0.0,2.8168213750109214,2.8168213750109214,2.8168213750109214
2020-02-09,0.0,3.023768037836701,3.023768037836701,3.023768037836701
2020-02-10,0.0,3.2091182078730354,3.2091182078730354,3.2091182078730354
2020-02-11,0.0,3.4008000632418236,3.4008000632418236,3.4008000632418236
2020-02-12,0.0,3.577532146072331,3.577532146072331,3.577532146072331
2020-02-13,0.0,3.7549209896520246,3.7549209896520246,3.7549209896520246
2020-02-14,0.0,3.9211886884493934,3.9211886884493934,3.9211886884493934
2020-02-15,0.0,4.084901748398388,4.084901748398388,4.084901748398388
2020-02-16,0.0,4.239682473570622,4.239682473570622,4.239682473570622
2020-02-17,0.0,4.3901876102238955,4.3901876102238955,4.3901876102238955
2020-02-18,0.0,4.533046228562669,4.533046228562669,4.533046228562669
2020-02-19,0.0,4.670793439739504,4.670793439739504,4.670793439739504
2020-02-20,0.0,4.801708230089063,4.801708230089063,4.801708230089063
2020-02-21,0.0,4.927197131287869,4.927197131287869,4.927197131287869
2020-02-22,0.0,5.04643505709589,5.04643505709589,5.04643505709589
2020-02-23,0.0,5.160238657494632,5.160238657494632,5.160238657494632
2020-02-24,0.0,5.268265398424554,5.268265398424554,5.268265398424554
2020-02-25,0.0,5.371028056187066,5.371028056187066,5.371028056187066
2020-02-26,0.0,5.468441779459228,5.468441779459228,5.468441779459228
2020-02-27,0.0,5.560864043035702,5.560864043035702,5.560864043035702
2020-02-28,0.0,5.648345643985451,5.648345643985451,5.648345643985451
