,Indiana,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.10347552857970792,,
2020-01-26,0.0,0.16137766647394625,,
2020-01-27,0.0,0.2230104735168173,,
2020-01-28,0.0,0.2890936654410409,,
2020-01-29,0.0,0.36518785165047646,,
2020-01-30,0.0,0.526027909860458,,
2020-01-31,0.0,0.6859947459454095,,
2020-02-01,0.0,0.8447135788194798,,
2020-02-02,0.0,1.0018214060350465,,
2020-02-03,0.0,1.1569702243834663,,
2020-02-04,0.0,1.3098299580476689,,
2020-02-05,0.0,1.4600910454622924,,
2020-02-06,0.0,1.607466646928269,,
2020-02-07,0.0,1.7516944466645843,,
2020-02-08,0.0,1.8925380348355647,,
2020-02-09,0.0,2.029787866667267,,
2020-02-10,0.0,2.163261806613361,,
2020-02-11,0.0,2.2928052752754864,,
2020-02-12,0.0,2.4182910251398555,,
2020-02-13,0.0,2.5396185779707126,,
2020-02-14,0.0,2.6567133618070424,,
2020-02-15,0.0,2.769525588934991,,
2020-02-16,0.0,2.878028918025563,,
2020-02-17,0.0,2.982218943968626,,
2020-02-18,0.0,3.082111557979886,,
2020-02-19,0.0,3.177741218517179,,
2020-02-20,0.0,3.269159170640339,,
2020-02-21,0.0,3.356431647910309,,
2020-02-22,0.0,3.439638086962679,,
2020-02-23,0.0,3.5188693807044036,,
2020-02-24,0.0,3.5942261918411993,,
2020-02-25,0.0,3.6658173442901756,,
2020-02-26,0.0,3.733758306081667,,
2020-02-27,0.0,3.79816977369152,,
2020-02-28,0.0,3.8591763644292048,,
2020-02-29,0.0,3.916905420573657,,
2020-03-01,0.0,3.9714859264126923,,
2020-03-02,0.0,4.023047537202021,,
2020-03-03,0.0,4.0717197173017965,,
2020-03-04,0.0,4.117630983348516,,
2020-03-05,0.0,4.160908247247237,,
2020-03-06,1.0,5.2016762529890705,,
2020-03-07,0.0,2.783897331529637,,
2020-03-08,1.0,6.362511058527023,,
2020-03-09,1.0,3.9073049224377514,,
2020-03-10,3.0,7.040251562949798,,
2020-03-11,5.0,6.25862022702448,,
2020-03-12,2.0,2.8012130005727247,,
2020-03-13,0.0,7.277798564192258,,
2020-03-14,3.0,10.503770286524421,,
2020-03-15,4.0,5.1827031871989835,,
2020-03-16,5.0,8.523056133961626,,
2020-03-17,5.0,8.422126113565534,,
2020-03-18,8.0,11.591519435934455,,
2020-03-19,22.0,21.08816701702719,,
2020-03-20,26.0,9.07160574594646,,
2020-03-21,42.0,35.01873031142324,,
2020-03-22,76.0,51.28838508325106,,
2020-03-23,66.0,10.622183275332674,,
