,Indiana,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,2.2154815196990967,0.0,16.62021255493164
2020-02-03,0.0,2.9807209968566895,0.0,24.478958129882812
2020-02-04,0.0,4.354440689086914,0.0,27.101552963256836
2020-02-05,0.0,6.7700371742248535,0.0,33.94001770019531
2020-02-06,0.0,9.88821029663086,0.0,41.60316467285156
2020-02-07,0.0,12.010698318481445,0.0,49.84987258911133
2020-02-08,0.0,15.149800300598145,0.0,57.91276550292969
2020-02-09,0.0,2.2154815196990967,0.0,16.62021255493164
2020-02-10,0.0,2.9807209968566895,0.0,24.478958129882812
2020-02-11,0.0,4.354440689086914,0.0,27.101552963256836
2020-02-12,0.0,6.7700371742248535,0.0,33.94001770019531
2020-02-13,0.0,9.88821029663086,0.0,41.60316467285156
2020-02-14,0.0,12.010698318481445,0.0,49.84987258911133
2020-02-15,0.0,15.149800300598145,0.0,57.91276550292969
2020-02-16,0.0,2.2154815196990967,0.0,16.62021255493164
2020-02-17,0.0,2.9807209968566895,0.0,24.478958129882812
2020-02-18,0.0,4.354440689086914,0.0,27.101552963256836
2020-02-19,0.0,6.7700371742248535,0.0,33.94001770019531
2020-02-20,0.0,9.88821029663086,0.0,41.60316467285156
2020-02-21,0.0,12.010698318481445,0.0,49.84987258911133
2020-02-22,0.0,15.149800300598145,0.0,57.91276550292969
2020-02-23,0.0,2.2154815196990967,0.0,16.62021255493164
2020-02-24,0.0,2.9807209968566895,0.0,24.478958129882812
2020-02-25,0.0,4.354440689086914,0.0,27.101552963256836
2020-02-26,0.0,6.7700371742248535,0.0,33.94001770019531
2020-02-27,0.0,9.88821029663086,0.0,41.60316467285156
2020-02-28,0.0,12.010698318481445,0.0,49.84987258911133
2020-02-29,0.0,15.149800300598145,0.0,57.91276550292969
2020-03-01,0.0,2.2154815196990967,0.0,16.62021255493164
2020-03-02,0.0,2.9807209968566895,0.0,24.478958129882812
2020-03-03,0.0,4.354440689086914,0.0,27.101552963256836
2020-03-04,0.0,6.7700371742248535,0.0,33.94001770019531
2020-03-05,0.0,9.88821029663086,0.0,41.60316467285156
2020-03-06,1.0,12.010698318481445,0.0,49.84987258911133
2020-03-07,0.0,15.149800300598145,0.0,57.91276550292969
2020-03-08,1.0,2.2154815196990967,0.0,16.62021255493164
2020-03-09,1.0,2.9807209968566895,0.0,24.478958129882812
