,Iowa,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,412.78965782894636,,
2020-01-25,0.0,414.02823616577666,,
2020-01-26,0.0,415.04200684365554,,
2020-01-27,0.0,416.33207189755996,,
2020-01-28,0.0,417.5139653155072,,
2020-01-29,0.0,420.32966523288417,,
2020-01-30,0.0,423.4981864085608,,
2020-01-31,0.0,425.06108533024593,,
2020-02-01,0.0,423.9205755042159,,
2020-02-02,0.0,421.6622552996034,,
2020-02-03,0.0,420.1092137853627,,
2020-02-04,0.0,419.7108035681515,,
2020-02-05,0.0,420.1885432276358,,
2020-02-06,0.0,421.0460894172235,,
2020-02-07,0.0,421.7287806068025,,
2020-02-08,0.0,421.8567399502712,,
2020-02-09,0.0,421.47975623145334,,
2020-02-10,0.0,420.9698791402949,,
2020-02-11,0.0,420.6590589367328,,
2020-02-12,0.0,420.65178859865995,,
2020-02-13,0.0,420.8607637517962,,
2020-02-14,0.0,421.111663187616,,
2020-02-15,0.0,421.25052363235574,,
2020-02-16,0.0,421.2252538070434,,
2020-02-17,0.0,421.0950584313758,,
2020-02-18,0.0,420.964662620598,,
2020-02-19,0.0,420.90778212742,,
2020-02-20,0.0,420.9349857599825,,
2020-02-21,0.0,421.0073366282154,,
2020-02-22,0.0,421.07151278794777,,
2020-02-23,0.0,421.09311131682665,,
2020-02-24,0.0,421.0714187881707,,
2020-02-25,0.0,421.03087897792625,,
2020-02-26,0.0,420.9998634786102,,
2020-02-27,0.0,420.99325109985034,,
2020-02-28,0.0,421.00792411841746,,
2020-02-29,0.0,421.02963767969675,,
2020-03-01,0.0,421.04410607294665,,
2020-03-02,0.0,421.04509871326184,,
2020-03-03,0.0,421.03579375277934,,
2020-03-04,0.0,421.02435843785275,,
2020-03-05,0.0,421.01788512591753,,
2020-03-06,0.0,421.01865961159916,,
2020-03-07,0.0,421.0242190063449,,
2020-03-08,0.0,421.03007353756425,,
2020-03-09,3.0,421.03281388067154,,
2020-03-10,5.0,418.24154061654184,,
2020-03-11,5.0,416.72512518943734,,
2020-03-12,1.0,417.3717956306205,,
2020-03-13,3.0,421.99369941126,,
2020-03-14,0.0,420.3650959264566,,
2020-03-15,1.0,423.85408938816124,,
2020-03-16,5.0,423.3515477711592,,
2020-03-17,0.0,420.16571337418384,,
2020-03-18,15.0,423.8158415314283,,
2020-03-19,6.0,408.68882147724827,,
2020-03-20,1.0,417.63587489798755,,
2020-03-21,24.0,422.3327589799604,,
2020-03-22,21.0,403.42981135147033,,
2020-03-23,15.0,408.1944946224502,,
2020-03-24,19.0,418.6612924983145,,
2020-03-25,22.0,418.7697070470723,,
2020-03-26,33.0,414.2145792070591,,
2020-03-27,56.0,406.3421926973596,,
2020-03-28,63.0,390.0672232232921,,
2020-03-29,38.0,388.7496668014525,,
2020-03-30,88.0,417.83609779741585,,
2020-03-31,73.0,374.92407872540707,,
2020-04-01,50.0,397.8284381938008,,
2020-04-02,67.0,429.3587162004691,,
2020-04-03,85.0,425.9864637164286,,
2020-04-04,88.0,405.7329693095501,,
2020-04-05,82.0,405.9498720669148,,
2020-04-06,77.0,416.4387634265665,,
2020-04-07,100.0,418.0332960143683,,
2020-04-08,99.0,394.00279273715296,,
2020-04-09,125.0,401.61183106601027,,
2020-04-10,118.0,387.65530541682824,,
2020-04-11,122.0,405.438880442735,,
2020-04-12,77.0,403.870953857406,,
2020-04-13,123.0,451.3633305235561,,
2020-04-14,189.0,405.8982672355817,,
2020-04-15,96.0,351.64419437097376,,
2020-04-16,146.0,447.88678151869016,,
2020-04-17,191.0,406.52707412323406,,
2020-04-18,181.0,360.72761223201246,,
2020-04-19,389.0,366.90222528169636,,
2020-04-20,257.0,203.99427276023005,,
2020-04-21,482.0,361.74096414584363,,
2020-04-22,107.0,169.51358112775614,,
2020-04-23,176.0,580.0791090272913,,
2020-04-24,521.0,502.68026228696726,,
2020-04-25,647.0,230.397524426335,,
2020-04-26,384.0,116.98872626628656,,
2020-04-27,392.0,446.7749726025413,,
2020-04-28,508.0,425.90985009513656,,
2020-04-29,467.0,263.03536423406746,,
2020-04-30,302.0,332.08229134541153,,
2020-05-01,739.0,610.8362636290976,,
2020-05-02,759.0,237.08603774848942,,
2020-05-03,532.0,207.15042749579857,,
2020-05-04,528.0,404.43651481375343,,
2020-05-05,408.0,425.77665654212456,,
2020-05-06,293.0,494.74178849332327,,
2020-05-07,655.0,636.4530267094111,,
2020-05-08,398.0,373.11177213442454,,
2020-05-09,214.0,624.0261884673833,,
2020-05-10,288.0,717.7565786058694,,
2020-05-11,414.0,542.1587789034099,,
2020-05-12,539.0,277.5067375133293,,
2020-05-13,377.0,188.1246327880649,,
2020-05-14,386.0,426.64290433911975,,
2020-05-15,374.0,435.78643179937296,,
2020-05-16,279.0,438.1621872248286,,
2020-05-17,323.0,516.1145213406279,,
2020-05-18,304.0,507.5817612880268,,
2020-05-19,341.0,520.3166587921467,,
2020-05-20,324.0,445.98563472174914,,
2020-05-21,550.0,429.8035861812402,,
2020-05-22,322.0,174.55568679420776,,
2020-05-23,406.0,403.69720216497507,,
2020-05-24,353.0,342.69177717546336,,
2020-05-25,306.0,449.9771059904946,,
2020-05-26,146.0,496.76927335116,,
2020-05-27,666.0,696.1471627281104,,
2020-05-28,217.0,165.33951421235608,,
2020-05-29,371.0,574.70287766556,,
2020-05-30,287.0,371.43470146240134,,
2020-05-31,308.0,461.5457945765374,,
2020-06-01,147.0,355.76362955698806,,
2020-06-02,320.0,608.3288838694549,,
2020-06-03,281.0,446.55625674429086,,
