,Iowa,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,18.674711227416992,8.325329780578613,32.12819290161133
2020-02-04,0.0,24.927154541015625,21.40727424621582,31.091466903686523
2020-02-05,0.0,27.785951614379883,17.569570541381836,41.94521713256836
2020-02-06,0.0,25.770156860351562,21.1588134765625,33.48332595825195
2020-02-07,0.0,28.726430892944336,24.71220588684082,35.72844314575195
2020-02-08,0.0,42.725894927978516,36.15373992919922,52.87835693359375
2020-02-09,0.0,47.75505447387695,39.515037536621094,56.7193603515625
2020-02-10,0.0,18.674711227416992,8.325329780578613,32.12819290161133
2020-02-11,0.0,24.927154541015625,21.40727424621582,31.091466903686523
2020-02-12,0.0,27.785951614379883,17.569570541381836,41.94521713256836
2020-02-13,0.0,25.770156860351562,21.1588134765625,33.48332595825195
2020-02-14,0.0,28.726430892944336,24.71220588684082,35.72844314575195
2020-02-15,0.0,42.725894927978516,36.15373992919922,52.87835693359375
2020-02-16,0.0,47.75505447387695,39.515037536621094,56.7193603515625
2020-02-17,0.0,18.674711227416992,8.325329780578613,32.12819290161133
2020-02-18,0.0,24.927154541015625,21.40727424621582,31.091466903686523
2020-02-19,0.0,27.785951614379883,17.569570541381836,41.94521713256836
2020-02-20,0.0,25.770156860351562,21.1588134765625,33.48332595825195
2020-02-21,0.0,28.726430892944336,24.71220588684082,35.72844314575195
2020-02-22,0.0,42.725894927978516,36.15373992919922,52.87835693359375
2020-02-23,0.0,47.75505447387695,39.515037536621094,56.7193603515625
2020-02-24,0.0,18.674711227416992,8.325329780578613,32.12819290161133
2020-02-25,0.0,24.927154541015625,21.40727424621582,31.091466903686523
2020-02-26,0.0,27.785951614379883,17.569570541381836,41.94521713256836
2020-02-27,0.0,25.770156860351562,21.1588134765625,33.48332595825195
2020-02-28,0.0,28.726430892944336,24.71220588684082,35.72844314575195
2020-02-29,0.0,42.725894927978516,36.15373992919922,52.87835693359375
2020-03-01,0.0,47.75505447387695,39.515037536621094,56.7193603515625
2020-03-02,0.0,18.674711227416992,8.325329780578613,32.12819290161133
2020-03-03,0.0,24.927154541015625,21.40727424621582,31.091466903686523
2020-03-04,0.0,27.785951614379883,17.569570541381836,41.94521713256836
2020-03-05,0.0,25.770156860351562,21.1588134765625,33.48332595825195
2020-03-06,0.0,28.726430892944336,24.71220588684082,35.72844314575195
