,Kentucky,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.04689187406605198,0.04689187406605198,0.04689187406605198
2020-01-26,0.0,0.0789855446181189,0.0789855446181189,0.0789855446181189
2020-01-27,0.0,0.12259351424578273,0.12259351424578273,0.12259351424578273
2020-01-28,0.0,0.1824557917876391,0.1824557917876391,0.1824557917876391
2020-01-29,0.0,0.24155744663142242,0.24155744663142242,0.24155744663142242
2020-01-30,0.0,0.30327439597964145,0.30327439597964145,0.30327439597964145
2020-01-31,0.0,0.41452476872159916,0.41452476872159916,0.41452476872159916
2020-02-01,0.0,0.5257751414635542,0.5257751414635542,0.5257751414635542
2020-02-02,0.0,0.6370255142055055,0.6370255142055055,0.6370255142055055
2020-02-03,0.0,0.7482758869474522,0.7482758869474522,0.7482758869474522
2020-02-04,0.0,0.8595262596893931,0.8595262596893931,0.8595262596893931
2020-02-05,0.0,0.9707766324313267,0.9707766324313267,0.9707766324313267
2020-02-06,0.0,1.0820270051732523,1.0820270051732523,1.0820270051732523
2020-02-07,0.0,1.193277377915167,1.193277377915167,1.193277377915167
2020-02-08,0.0,1.3045277506570683,1.3045277506570683,1.3045277506570683
2020-02-09,0.0,1.4157781233989564,1.4157781233989564,1.4157781233989564
2020-02-10,0.0,1.5270284961408287,1.5270284961408287,1.5270284961408287
2020-02-11,0.0,1.6382788688826844,1.6382788688826844,1.6382788688826844
2020-02-12,0.0,1.749529241624521,1.749529241624521,1.749529241624521
2020-02-13,0.0,1.860779614366338,1.860779614366338,1.860779614366338
2020-02-14,0.0,1.9720299871081355,1.9720299871081355,1.9720299871081355
2020-02-15,0.0,2.0832803598499106,2.0832803598499106,2.0832803598499106
2020-02-16,0.0,2.1945307325916628,2.1945307325916628,2.1945307325916628
2020-02-17,0.0,2.3057811053333896,2.3057811053333896,2.3057811053333896
2020-02-18,0.0,2.4170314780750894,2.4170314780750894,2.4170314780750894
2020-02-19,0.0,2.528281850816761,2.528281850816761,2.528281850816761
2020-02-20,0.0,2.639532223558407,2.639532223558407,2.639532223558407
2020-02-21,0.0,2.750782596300028,2.750782596300028,2.750782596300028
2020-02-22,0.0,2.8620329690416257,2.8620329690416257,2.8620329690416257
2020-02-23,0.0,2.9732833417832,2.9732833417832,2.9732833417832
2020-02-24,0.0,3.0845337145247496,3.0845337145247496,3.0845337145247496
2020-02-25,0.0,3.195784087266271,3.195784087266271,3.195784087266271
2020-02-26,0.0,3.3070344600077615,3.3070344600077615,3.3070344600077615
2020-02-27,0.0,3.4182848327492237,3.4182848327492237,3.4182848327492237
