,Maine,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,2.353757619857788,1.6572649478912354,3.6160919666290283
2020-02-04,0.0,2.563767671585083,1.5364015102386475,4.106807231903076
2020-02-05,0.0,3.278546094894409,2.010842800140381,5.053133964538574
2020-02-06,0.0,4.115145683288574,2.5840632915496826,5.592373371124268
2020-02-07,0.0,4.125699520111084,3.1940085887908936,5.16847038269043
2020-02-08,0.0,4.864440441131592,4.101713180541992,6.2491536140441895
2020-02-09,0.0,5.245004653930664,4.120993137359619,6.926525115966797
2020-02-10,0.0,2.353757619857788,1.6572649478912354,3.6160919666290283
2020-02-11,0.0,2.563767671585083,1.5364015102386475,4.106807231903076
2020-02-12,0.0,3.278546094894409,2.010842800140381,5.053133964538574
2020-02-13,0.0,4.115145683288574,2.5840632915496826,5.592373371124268
2020-02-14,0.0,4.125699520111084,3.1940085887908936,5.16847038269043
2020-02-15,0.0,4.864440441131592,4.101713180541992,6.2491536140441895
2020-02-16,0.0,5.245004653930664,4.120993137359619,6.926525115966797
2020-02-17,0.0,2.353757619857788,1.6572649478912354,3.6160919666290283
2020-02-18,0.0,2.563767671585083,1.5364015102386475,4.106807231903076
2020-02-19,0.0,3.278546094894409,2.010842800140381,5.053133964538574
2020-02-20,0.0,4.115145683288574,2.5840632915496826,5.592373371124268
2020-02-21,0.0,4.125699520111084,3.1940085887908936,5.16847038269043
2020-02-22,0.0,4.864440441131592,4.101713180541992,6.2491536140441895
2020-02-23,0.0,5.245004653930664,4.120993137359619,6.926525115966797
2020-02-24,0.0,2.353757619857788,1.6572649478912354,3.6160919666290283
2020-02-25,0.0,2.563767671585083,1.5364015102386475,4.106807231903076
2020-02-26,0.0,3.278546094894409,2.010842800140381,5.053133964538574
2020-02-27,0.0,4.115145683288574,2.5840632915496826,5.592373371124268
2020-02-28,0.0,4.125699520111084,3.1940085887908936,5.16847038269043
2020-02-29,0.0,4.864440441131592,4.101713180541992,6.2491536140441895
2020-03-01,0.0,5.245004653930664,4.120993137359619,6.926525115966797
2020-03-02,0.0,2.353757619857788,1.6572649478912354,3.6160919666290283
2020-03-03,0.0,2.563767671585083,1.5364015102386475,4.106807231903076
2020-03-04,0.0,3.278546094894409,2.010842800140381,5.053133964538574
2020-03-05,0.0,4.115145683288574,2.5840632915496826,5.592373371124268
