,Maryland,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.15190987572905318,,
2020-01-26,0.0,0.25385763395141564,,
2020-01-27,0.0,0.3520809972556044,,
2020-01-28,0.0,0.4532372905856678,,
2020-01-29,0.0,0.5906538427679116,,
2020-01-30,0.0,0.8025039047759308,,
2020-01-31,0.0,1.0628471794687775,,
2020-02-01,0.0,1.3579373595758164,,
2020-02-02,0.0,1.676786555153812,,
2020-02-03,0.0,2.0094475670809175,,
2020-02-04,0.0,2.346830167338597,,
2020-02-05,0.0,2.680883630942394,,
2020-02-06,0.0,3.0048164462709344,,
2020-02-07,0.0,3.313239694653499,,
2020-02-08,0.0,3.6022008144508484,,
2020-02-09,0.0,3.869113159675399,,
2020-02-10,0.0,4.1126059405624495,,
2020-02-11,0.0,4.332325876523824,,
2020-02-12,0.0,4.528720416259185,,
2020-02-13,0.0,4.702826282941721,,
2020-02-14,0.0,4.856079344568252,,
2020-02-15,0.0,4.990154439870591,,
2020-02-16,0.0,5.106837908896241,,
2020-02-17,0.0,5.207931524409721,,
2020-02-18,0.0,5.295184153637614,,
2020-02-19,0.0,5.370246430795403,,
2020-02-20,0.0,5.434643573046696,,
2020-02-21,0.0,5.489761861404647,,
2020-02-22,0.0,5.536844958587365,,
2020-02-23,0.0,5.576996963839037,,
2020-02-24,0.0,5.611189800930503,,
2020-02-25,0.0,5.640273144827866,,
2020-02-26,0.0,5.664985595038721,,
2020-02-27,0.0,5.685966200273294,,
2020-02-28,0.0,5.703765741192679,,
2020-02-29,0.0,5.718857401167305,,
2020-03-01,0.0,5.731646615047126,,
2020-03-02,0.0,5.74247999737705,,
2020-03-03,0.0,5.75165332645444,,
2020-03-04,0.0,5.759418608922429,,
2020-03-05,0.0,5.7659902788434225,,
2020-03-06,3.0,8.771550601167831,,
2020-03-07,0.0,0.7517447700758257,,
2020-03-08,2.0,11.455433882971468,,
2020-03-09,0.0,2.440269598643586,,
2020-03-10,3.0,11.46286284403331,,
2020-03-11,1.0,2.3708850218213255,,
2020-03-12,3.0,11.667530361779693,,
2020-03-13,6.0,8.792604004016999,,
2020-03-14,9.0,9.317628839821849,,
2020-03-15,-3.0,-3.9216706696697248,,
2020-03-16,18.0,41.12399150283488,,
2020-03-17,18.0,-8.327824152478094,,
2020-03-18,25.0,25.54305692476452,,
2020-03-19,22.0,11.452021739118562,,
2020-03-20,42.0,45.40329613939015,,
2020-03-21,44.0,12.135029575030096,,
2020-03-22,51.0,44.52961181791561,,
2020-03-23,46.0,33.47247793590419,,
2020-03-24,59.0,66.95609034588573,,
