,Maryland,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,60.48479080200195,47.935768127441406,73.70113372802734
2020-02-04,0.0,67.23480987548828,45.74171829223633,88.45262908935547
2020-02-05,0.0,67.47539520263672,40.31241989135742,82.44490051269531
2020-02-06,0.0,93.14278411865234,67.06295776367188,127.97248077392578
2020-02-07,0.0,91.52066040039062,64.459716796875,109.2867431640625
2020-02-08,0.0,108.10236358642578,85.43403625488281,131.80923461914062
2020-02-09,0.0,113.08013153076172,93.00064849853516,126.96994018554688
2020-02-10,0.0,60.48479080200195,47.935768127441406,73.70113372802734
2020-02-11,0.0,67.23480987548828,45.74171829223633,88.45262908935547
2020-02-12,0.0,67.47539520263672,40.31241989135742,82.44490051269531
2020-02-13,0.0,93.14278411865234,67.06295776367188,127.97248077392578
2020-02-14,0.0,91.52066040039062,64.459716796875,109.2867431640625
2020-02-15,0.0,108.10236358642578,85.43403625488281,131.80923461914062
2020-02-16,0.0,113.08013153076172,93.00064849853516,126.96994018554688
2020-02-17,0.0,60.48479080200195,47.935768127441406,73.70113372802734
2020-02-18,0.0,67.23480987548828,45.74171829223633,88.45262908935547
2020-02-19,0.0,67.47539520263672,40.31241989135742,82.44490051269531
2020-02-20,0.0,93.14278411865234,67.06295776367188,127.97248077392578
2020-02-21,0.0,91.52066040039062,64.459716796875,109.2867431640625
2020-02-22,0.0,108.10236358642578,85.43403625488281,131.80923461914062
2020-02-23,0.0,113.08013153076172,93.00064849853516,126.96994018554688
2020-02-24,0.0,60.48479080200195,47.935768127441406,73.70113372802734
2020-02-25,0.0,67.23480987548828,45.74171829223633,88.45262908935547
2020-02-26,0.0,67.47539520263672,40.31241989135742,82.44490051269531
2020-02-27,0.0,93.14278411865234,67.06295776367188,127.97248077392578
2020-02-28,0.0,91.52066040039062,64.459716796875,109.2867431640625
2020-02-29,0.0,108.10236358642578,85.43403625488281,131.80923461914062
2020-03-01,0.0,113.08013153076172,93.00064849853516,126.96994018554688
2020-03-02,0.0,60.48479080200195,47.935768127441406,73.70113372802734
2020-03-03,0.0,67.23480987548828,45.74171829223633,88.45262908935547
2020-03-04,0.0,67.47539520263672,40.31241989135742,82.44490051269531
2020-03-05,0.0,93.14278411865234,67.06295776367188,127.97248077392578
2020-03-06,3.0,91.52066040039062,64.459716796875,109.2867431640625
