,Massachusetts,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,298.03256360373103,,
2020-01-26,0.0,298.04497857256695,,
2020-01-27,0.0,298.06166867290113,,
2020-01-28,0.0,298.0789028718047,,
2020-01-29,0.0,298.1027753479612,,
2020-01-30,0.0,298.13133511663995,,
2020-01-31,0.0,298.19400882063906,,
2020-02-01,1.0,298.2554959671993,,
2020-02-02,0.0,297.1622199040062,,
2020-02-03,0.0,299.2291118381737,,
2020-02-04,0.0,298.6096938447428,,
2020-02-05,0.0,298.56219614174967,,
2020-02-06,0.0,298.7347597663462,,
2020-02-07,0.0,298.66894531305536,,
2020-02-08,0.0,298.96639054393256,,
2020-02-09,0.0,298.62164409095254,,
2020-02-10,0.0,298.6625105685272,,
2020-02-11,0.0,298.69945647341444,,
2020-02-12,0.0,298.7327594613927,,
2020-02-13,0.0,298.7626892765344,,
2020-02-14,0.0,298.78950974917126,,
2020-02-15,0.0,298.81347806095425,,
2020-02-16,0.0,298.8348429099433,,
2020-02-17,0.0,298.8538424567499,,
2020-02-18,0.0,298.87070250206267,,
2020-02-19,0.0,298.8856350959802,,
2020-02-20,0.0,298.8988376362248,,
2020-02-21,0.0,298.9104924335494,,
2020-02-22,0.0,298.9207666833723,,
2020-02-23,0.0,298.92981276726914,,
2020-02-24,0.0,298.93776880647886,,
2020-02-25,0.0,298.94475939571595,,
2020-02-26,0.0,298.95089645531925,,
2020-02-27,0.0,298.95628015066796,,
2020-02-28,0.0,298.96099983843897,,
2020-02-29,0.0,298.965135008903,,
2020-03-01,0.0,298.968756201736,,
2020-03-02,0.0,298.97192587967277,,
2020-03-03,1.0,298.9746992498286,,
2020-03-04,0.0,297.6898077787573,,
2020-03-05,0.0,299.7958058503048,,
2020-03-06,4.0,299.1189504247205,,
2020-03-07,0.0,293.88559496404656,,
2020-03-08,16.0,302.43258444569835,,
2020-03-09,0.0,279.018109350253,,
2020-03-10,19.0,312.5972806627111,,
2020-03-11,51.0,277.4220171880014,,
2020-03-12,15.0,249.96295629953386,,
2020-03-13,16.0,328.17578538961004,,
2020-03-14,15.0,299.73184820468066,,
2020-03-15,0.0,306.16682879356966,,
2020-03-16,49.0,324.2241465128351,,
2020-03-17,30.0,251.27596113398093,,
2020-03-18,35.0,321.08807196277485,,
2020-03-19,76.0,290.97795323090065,,
2020-03-20,85.0,239.55192989676885,,
2020-03-21,110.0,268.34684495411307,,
2020-03-22,117.0,244.6182182658468,,
2020-03-23,137.0,275.82478152258074,,
2020-03-24,382.0,259.60784091783427,,
2020-03-25,679.0,-31.230302485272034,,
