,Massachusetts,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,1.0,,,
2020-02-02,0.0,14.956685066223145,0.0,62.96381378173828
2020-02-03,0.0,23.95213508605957,0.0,59.830867767333984
2020-02-04,0.0,34.68682098388672,0.0,75.92012786865234
2020-02-05,0.0,42.929039001464844,0.0,88.63716888427734
2020-02-06,0.0,45.17220687866211,0.0,93.3785629272461
2020-02-07,0.0,49.89887619018555,1.3036468029022217,94.64665985107422
2020-02-08,0.0,74.46257781982422,9.697912216186523,123.04553985595703
2020-02-09,0.0,14.95149040222168,0.0,62.95940399169922
2020-02-10,0.0,23.99932861328125,0.0,59.75993728637695
2020-02-11,0.0,34.78281021118164,0.0,75.94723510742188
2020-02-12,0.0,43.013423919677734,0.0,88.6501693725586
2020-02-13,0.0,45.155460357666016,0.0,93.27970886230469
2020-02-14,0.0,49.83812713623047,1.335511326789856,94.5197982788086
2020-02-15,0.0,74.34391784667969,9.584460258483887,122.91230010986328
2020-02-16,0.0,14.956685066223145,0.0,62.96381378173828
2020-02-17,0.0,23.95213508605957,0.0,59.830867767333984
2020-02-18,0.0,34.68682098388672,0.0,75.92012786865234
2020-02-19,0.0,42.929039001464844,0.0,88.63716888427734
2020-02-20,0.0,45.17220687866211,0.0,93.3785629272461
2020-02-21,0.0,49.89887619018555,1.3036468029022217,94.64665985107422
2020-02-22,0.0,74.46257781982422,9.697912216186523,123.04553985595703
2020-02-23,0.0,14.956685066223145,0.0,62.96381378173828
2020-02-24,0.0,23.95213508605957,0.0,59.830867767333984
2020-02-25,0.0,34.68682098388672,0.0,75.92012786865234
2020-02-26,0.0,42.929039001464844,0.0,88.63716888427734
2020-02-27,0.0,45.17220687866211,0.0,93.3785629272461
2020-02-28,0.0,49.89887619018555,1.3036468029022217,94.64665985107422
2020-02-29,0.0,74.46257781982422,9.697912216186523,123.04553985595703
2020-03-01,0.0,14.956685066223145,0.0,62.96381378173828
2020-03-02,0.0,23.95213508605957,0.0,59.830867767333984
2020-03-03,1.0,34.68682098388672,0.0,75.92012786865234
2020-03-04,0.0,42.929039001464844,0.0,88.63716888427734
2020-03-05,0.0,45.17220687866211,0.0,93.3785629272461
2020-03-06,4.0,49.89887619018555,1.3036468029022217,94.64665985107422
2020-03-07,0.0,74.46257781982422,9.697912216186523,123.04553985595703
2020-03-08,16.0,15.167098999023438,0.0,62.99947738647461
