,Michigan,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,13.109183311462402,12.104342460632324,14.604132652282715
2020-02-03,0.0,34.7110481262207,13.083295822143555,51.4359016418457
2020-02-04,0.0,39.354496002197266,21.397125244140625,51.07404708862305
2020-02-05,0.0,41.91326904296875,24.937074661254883,52.13429641723633
2020-02-06,0.0,49.537017822265625,25.327552795410156,66.1543960571289
2020-02-07,0.0,76.64266967773438,51.774784088134766,91.36929321289062
2020-02-08,0.0,97.49642944335938,71.13724517822266,128.4607696533203
2020-02-09,0.0,13.109183311462402,12.104342460632324,14.604132652282715
2020-02-10,0.0,34.7110481262207,13.083295822143555,51.4359016418457
2020-02-11,0.0,39.354496002197266,21.397125244140625,51.07404708862305
2020-02-12,0.0,41.91326904296875,24.937074661254883,52.13429641723633
2020-02-13,0.0,49.537017822265625,25.327552795410156,66.1543960571289
2020-02-14,0.0,76.64266967773438,51.774784088134766,91.36929321289062
2020-02-15,0.0,97.49642944335938,71.13724517822266,128.4607696533203
2020-02-16,0.0,13.109183311462402,12.104342460632324,14.604132652282715
2020-02-17,0.0,34.7110481262207,13.083295822143555,51.4359016418457
2020-02-18,0.0,39.354496002197266,21.397125244140625,51.07404708862305
2020-02-19,0.0,41.91326904296875,24.937074661254883,52.13429641723633
2020-02-20,0.0,49.537017822265625,25.327552795410156,66.1543960571289
2020-02-21,0.0,76.64266967773438,51.774784088134766,91.36929321289062
2020-02-22,0.0,97.49642944335938,71.13724517822266,128.4607696533203
2020-02-23,0.0,13.109183311462402,12.104342460632324,14.604132652282715
2020-02-24,0.0,34.7110481262207,13.083295822143555,51.4359016418457
2020-02-25,0.0,39.354496002197266,21.397125244140625,51.07404708862305
2020-02-26,0.0,41.91326904296875,24.937074661254883,52.13429641723633
2020-02-27,0.0,49.537017822265625,25.327552795410156,66.1543960571289
2020-02-28,0.0,76.64266967773438,51.774784088134766,91.36929321289062
2020-02-29,0.0,97.49642944335938,71.13724517822266,128.4607696533203
2020-03-01,0.0,13.109183311462402,12.104342460632324,14.604132652282715
2020-03-02,0.0,34.7110481262207,13.083295822143555,51.4359016418457
2020-03-03,0.0,39.354496002197266,21.397125244140625,51.07404708862305
2020-03-04,0.0,41.91326904296875,24.937074661254883,52.13429641723633
2020-03-05,0.0,49.537017822265625,25.327552795410156,66.1543960571289
