,Minnesota,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.0,0.0,-1.0135189294815063
2020-01-31,0.0,0.0,0.0,0.4778355062007904
2020-02-01,0.0,1.0677890678246815,0.0,3.7390506267547607
2020-02-02,0.0,2.7985343858599663,0.0,7.99077033996582
2020-02-03,0.0,3.879973405599594,0.0,8.205729484558105
2020-02-04,0.0,5.207936440904935,0.0,11.84775161743164
2020-02-05,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-06,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-07,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-08,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-09,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-10,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-11,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-12,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-13,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-14,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-15,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-16,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-17,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-18,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-19,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-20,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-21,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-22,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-23,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-24,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-25,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-26,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-27,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-28,0.0,5.830920760120664,0.0,11.84775161743164
2020-02-29,0.0,5.830921117748533,0.0,11.84775161743164
2020-03-01,0.0,5.830921356167112,0.0,11.84775161743164
2020-03-02,0.0,5.830920998539243,0.0,11.84775161743164
2020-03-03,0.0,5.830920760120664,0.0,11.84775161743164
2020-03-04,0.0,5.8309203514031,0.0,11.84775161743164
2020-03-05,0.0,5.830921032599041,0.0,11.847756385803223
2020-03-06,1.0,5.830921168838229,0.0,11.847756385803223
2020-03-07,0.0,5.8456723136561255,0.0,11.84775161743164
2020-03-08,0.0,5.87875486271722,0.0,11.84775161743164
