,Missouri,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,865.1455731761441,,
2020-01-26,0.0,865.2341977504587,,
2020-01-27,0.0,865.3340902378887,,
2020-01-28,0.0,865.4654411625942,,
2020-01-29,0.0,865.5932528092522,,
2020-01-30,0.0,865.663225507226,,
2020-01-31,0.0,865.9975309477692,,
2020-02-01,0.0,866.3297501646815,,
2020-02-02,0.0,866.6588609353348,,
2020-02-03,0.0,866.9838795407212,,
2020-02-04,0.0,867.3038721195843,,
2020-02-05,0.0,867.6179647537597,,
2020-02-06,0.0,867.925352072613,,
2020-02-07,0.0,868.2253042254819,,
2020-02-08,0.0,868.5171721349834,,
2020-02-09,0.0,868.8003910072974,,
2020-02-10,0.0,869.0744821347798,,
2020-02-11,0.0,869.3390530787865,,
2020-02-12,0.0,869.5937963643702,,
2020-02-13,0.0,869.838486852336,,
2020-02-14,0.0,870.0729779775111,,
2020-02-15,0.0,870.2971970552386,,
2020-02-16,0.0,870.5111398618093,,
2020-02-17,0.0,870.714864690014,,
2020-02-18,0.0,870.9084860697026,,
2020-02-19,0.0,871.0921683267602,,
2020-02-20,0.0,871.26611913386,,
2020-02-21,0.0,871.4305831841948,,
2020-02-22,0.0,871.5858360964486,,
2020-02-23,0.0,871.732178636631,,
2020-02-24,0.0,871.8699313209178,,
2020-02-25,0.0,871.9994294439489,,
2020-02-26,0.0,872.1210185595315,,
2020-02-27,0.0,872.2350504256043,,
2020-02-28,0.0,872.341879412698,,
2020-02-29,0.0,872.4418593649284,,
2020-03-01,0.0,872.5353408946112,,
2020-03-02,0.0,872.6226690857105,,
2020-03-03,0.0,872.7041815772573,,
2020-03-04,0.0,872.7802069953568,,
2020-03-05,0.0,872.8510637011777,,
2020-03-06,0.0,872.9170588221417,,
2020-03-07,0.0,872.9784875341793,,
2020-03-08,1.0,873.0356325641874,,
2020-03-09,0.0,871.4224909730596,,
2020-03-10,0.0,874.2470796033219,,
2020-03-11,0.0,873.2411308612255,,
2020-03-12,0.0,873.3838200224541,,
2020-03-13,3.0,873.3357171541403,,
2020-03-14,0.0,868.3877654366873,,
2020-03-15,1.0,877.1238336176913,,
2020-03-16,3.0,871.8522883154296,,
2020-03-17,6.0,869.9593204015571,,
2020-03-18,7.0,867.0002250107069,,
2020-03-19,21.0,869.0017095888047,,
2020-03-20,37.0,848.4876210600934,,
2020-03-21,10.0,836.6772540870268,,
2020-03-22,33.0,901.2320315618346,,
2020-03-23,103.0,837.3229304379772,,
2020-03-24,66.0,749.5438185094458,,
2020-03-25,91.0,888.5422758537305,,
