,Nebraska,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,121.19383386108544,,
2020-01-25,0.0,121.79414404435012,,
2020-01-26,0.0,122.12257871930414,,
2020-01-27,0.0,122.50675455367423,,
2020-01-28,0.0,123.17515030800897,,
2020-01-29,0.0,123.91119067928335,,
2020-01-30,0.0,125.23088903452121,,
2020-01-31,0.0,125.08225888533845,,
2020-02-01,0.0,123.9374244141811,,
2020-02-02,0.0,123.72097904160107,,
2020-02-03,0.0,124.22272649426644,,
2020-02-04,0.0,124.5672397655214,,
2020-02-05,0.0,124.26226107060144,,
2020-02-06,0.0,123.92700113715439,,
2020-02-07,0.0,124.00923035561442,,
2020-02-08,0.0,124.25840427441304,,
2020-02-09,0.0,124.28262029656925,,
2020-02-10,0.0,124.10274180640704,,
2020-02-11,0.0,124.02959629630308,,
2020-02-12,0.0,124.12567742415581,,
2020-02-13,0.0,124.210065846946,,
2020-02-14,0.0,124.16733068659615,,
2020-02-15,0.0,124.09306308858314,,
2020-02-16,0.0,124.09849098521042,,
2020-02-17,0.0,124.15201590171802,,
2020-02-18,0.0,124.16595400090813,,
2020-02-19,0.0,124.13201012816947,,
2020-02-20,0.0,124.11110697008324,,
2020-02-21,0.0,124.12799824807084,,
2020-02-22,0.0,124.14837417453518,,
2020-02-23,0.0,124.14303391398478,,
2020-02-24,0.0,124.12678921744437,,
2020-02-25,0.0,124.12523007377338,,
2020-02-26,0.0,124.13617835468433,,
2020-02-27,0.0,124.1408970531664,,
2020-02-28,0.0,124.13466408622477,,
2020-02-29,0.0,124.12927426576171,,
2020-03-01,0.0,124.13190752627133,,
2020-03-02,0.0,124.13659095381487,,
2020-03-03,0.0,124.13626432017807,,
2020-03-04,0.0,124.13283479225322,,
2020-03-05,0.0,124.13193868511998,,
2020-03-06,1.0,124.13407149114138,,
2020-03-07,0.0,123.30589972265724,,
2020-03-08,0.0,124.50298397446433,,
2020-03-09,2.0,124.2279976782337,,
2020-03-10,0.0,122.41048503940262,,
2020-03-11,2.0,124.88481741961104,,
2020-03-12,5.0,122.84190868987596,,
2020-03-13,4.0,121.05218658442064,,
2020-03-14,4.0,122.89995014156783,,
2020-03-15,-1.0,122.67541586525581,,
2020-03-16,1.0,127.31639325662908,,
2020-03-17,5.0,123.71240371386732,,
2020-03-18,1.0,121.3683013776405,,
2020-03-19,5.0,128.0721661100522,,
2020-03-20,8.0,123.0155697275237,,
2020-03-21,1.0,119.36844794794862,,
2020-03-22,13.0,124.98357214763725,,
2020-03-23,0.0,114.70960117277444,,
2020-03-24,15.0,132.15831286053216,,
2020-03-25,5.0,115.04566559183327,,
2020-03-26,3.0,126.24801387676096,,
2020-03-27,8.0,127.48319241345493,,
2020-03-28,14.0,120.50526699236246,,
2020-03-29,12.0,119.89448886022268,,
2020-03-30,37.0,122.3346288425042,,
2020-03-31,27.0,103.33709357318475,,
2020-04-01,38.0,118.09403596006266,,
2020-04-02,36.0,105.61356980009766,,
2020-04-03,33.0,112.65757386636716,,
2020-04-04,42.0,121.33493817953782,,
2020-04-05,43.0,114.20748317855532,,
2020-04-06,53.0,122.20462878141615,,
2020-04-07,30.0,113.32474176946714,,
2020-04-08,72.0,135.03719673914762,,
2020-04-09,49.0,92.61950773651066,,
2020-04-10,67.0,125.10949500542121,,
2020-04-11,64.0,111.36496490993127,,
2020-04-12,92.0,118.30273532274505,,
2020-04-13,23.0,95.71544175759195,,
2020-04-14,83.0,157.023965888945,,
2020-04-15,4.0,97.49351072353065,,
