,Nevada,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,1380.2143481031321,,
2020-01-26,0.0,1380.366151640737,,
2020-01-27,0.0,1380.5285118129373,,
2020-01-28,0.0,1380.7561086782284,,
2020-01-29,0.0,1380.936601846165,,
2020-01-30,0.0,1381.196331658973,,
2020-01-31,0.0,1381.7364480574588,,
2020-02-01,0.0,1382.0220222510939,,
2020-02-02,0.0,1382.515845151849,,
2020-02-03,0.0,1382.8436533615331,,
2020-02-04,0.0,1383.2896270739993,,
2020-02-05,0.0,1383.6413060773723,,
2020-02-06,0.0,1384.0508879472104,,
2020-02-07,0.0,1384.4090688155384,,
2020-02-08,0.0,1384.7912848112317,,
2020-02-09,0.0,1385.1444415449962,,
2020-02-10,0.0,1385.504082558044,,
2020-02-11,0.0,1385.8453465706775,,
2020-02-12,0.0,1386.184374651582,,
2020-02-13,0.0,1386.5098099796298,,
2020-02-14,0.0,1386.8287763811938,,
2020-02-15,0.0,1387.1361825826314,,
2020-02-16,0.0,1387.4351122556463,,
2020-02-17,0.0,1387.7233330641654,,
2020-02-18,0.0,1388.0021829431591,,
2020-02-19,0.0,1388.2707306798047,,
2020-02-20,0.0,1388.5295940315946,,
2020-02-21,0.0,1388.778442761113,,
2020-02-22,0.0,1389.0176193661482,,
2020-02-23,0.0,1389.2470814285773,,
2020-02-24,0.0,1389.4670819979012,,
2020-02-25,0.0,1389.6777245548165,,
2020-02-26,0.0,1389.8792453946007,,
2020-02-27,0.0,1390.0718268981414,,
2020-02-28,0.0,1390.2557131018618,,
2020-02-29,0.0,1390.431131108167,,
2020-03-01,0.0,1390.598337404895,,
2020-03-02,0.0,1390.7575843574712,,
2020-03-03,0.0,1390.909138098003,,
2020-03-04,0.0,1391.0532638219056,,
2020-03-05,1.0,1391.190232193186,,
2020-03-06,1.0,1389.5590682129603,,
2020-03-07,0.0,1390.9322984907344,,
2020-03-08,2.0,1392.9022032373791,,
2020-03-09,0.0,1388.4337120250977,,
2020-03-10,0.0,1394.510342432076,,
2020-03-11,3.0,1392.3572648755714,,
2020-03-12,3.0,1387.5232620079837,,
2020-03-13,8.0,1390.6573140800035,,
2020-03-14,2.0,1382.516539268174,,
2020-03-15,0.0,1399.9461954695976,,
2020-03-16,25.0,1395.9107613745784,,
2020-03-17,10.0,1351.0764209233982,,
2020-03-18,0.0,1407.9658273965247,,
2020-03-19,40.0,1409.6061473373081,,
2020-03-20,66.0,1329.5963686512728,,
2020-03-21,0.0,1328.5180735148936,,
2020-03-22,29.0,1485.723472386259,,
