,New Jersey,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,92.79654693603516,92.79654693603516,92.79654693603516
2020-01-31,0.0,82.69660568237305,72.59666442871094,92.79654693603516
2020-02-01,0.0,91.83499654134114,72.59666442871094,110.11177825927734
2020-02-02,0.0,99.39697265625,72.59666442871094,122.08290100097656
2020-02-03,0.0,109.73131408691407,72.59666442871094,151.0686798095703
2020-02-04,0.0,121.95904032389323,72.59666442871094,183.09767150878906
2020-02-05,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-06,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-07,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-08,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-09,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-10,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-11,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-12,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-13,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-14,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-15,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-16,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-17,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-18,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-19,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-20,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-21,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-22,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-23,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-24,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-25,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-26,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-27,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-28,0.0,135.55914960588728,72.59666442871094,217.15980529785156
2020-02-29,0.0,135.55915069580078,72.59666442871094,217.15980529785156
2020-03-01,0.0,135.55915178571428,72.59667205810547,217.15980529785156
2020-03-02,0.0,135.55915069580078,72.59667205810547,217.15980529785156
2020-03-03,0.0,135.55914960588728,72.59666442871094,217.15980529785156
