,New Mexico,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,281.6593037711368,,
2020-01-25,0.0,282.6687516502605,,
2020-01-26,0.0,283.68456700687057,,
2020-01-27,0.0,284.2284446777792,,
2020-01-28,0.0,285.4281292260016,,
2020-01-29,0.0,286.36226388402423,,
2020-01-30,0.0,287.0239820338433,,
2020-01-31,0.0,287.47032670284244,,
2020-02-01,0.0,287.76153879803826,,
2020-02-02,0.0,287.9474309142478,,
2020-02-03,0.0,288.064443457247,,
2020-02-04,0.0,288.13745083171347,,
2020-02-05,0.0,288.1827513294709,,
2020-02-06,0.0,288.21076368802056,,
2020-02-07,0.0,288.22804889930615,,
2020-02-08,0.0,288.23870088917215,,
2020-02-09,0.0,288.2452598658291,,
2020-02-10,0.0,288.24929655622566,,
2020-02-11,0.0,288.25178015741017,,
2020-02-12,0.0,288.25330792213606,,
2020-02-13,0.0,288.2542476038604,,
2020-02-14,0.0,288.2548255323878,,
2020-02-15,0.0,288.25518095777824,,
2020-02-16,0.0,288.2553995380991,,
2020-02-17,0.0,288.25553395889716,,
2020-02-18,0.0,288.25561662309434,,
2020-02-19,0.0,288.255667458432,,
2020-02-20,0.0,288.25569872011096,,
2020-02-21,0.0,288.25571794473495,,
2020-02-22,0.0,288.2557297670568,,
2020-02-23,0.0,288.25573703727275,,
2020-02-24,0.0,288.2557415081382,,
2020-02-25,0.0,288.25574425752444,,
2020-02-26,0.0,288.25574594827606,,
2020-02-27,0.0,288.2557469880138,,
2020-02-28,0.0,288.25574762740666,,
2020-02-29,0.0,288.25574802060504,,
2020-03-01,0.0,288.25574826240467,,
2020-03-02,0.0,288.25574841110074,,
2020-03-03,0.0,288.2557485025423,,
2020-03-04,0.0,288.25574855877477,,
2020-03-05,0.0,288.2557485933553,,
2020-03-06,0.0,288.25574861462076,,
2020-03-07,0.0,288.2557486276981,,
2020-03-08,0.0,288.2557486357401,,
2020-03-09,0.0,288.25574864068557,,
2020-03-10,0.0,288.2557486437268,,
2020-03-11,3.0,288.255748645597,,
2020-03-12,2.0,285.2098711716444,,
2020-03-13,5.0,286.8974489673617,,
2020-03-14,3.0,284.14114484114896,,
2020-03-15,0.0,286.7605547612193,,
2020-03-16,8.0,290.50791824461334,,
2020-03-17,2.0,281.6630610184069,,
2020-03-18,5.0,289.76069089430734,,
2020-03-19,7.0,286.7087726229522,,
2020-03-20,7.0,283.9152593278923,,
2020-03-21,13.0,286.0637801234987,,
2020-03-22,2.0,279.9549902352819,,
2020-03-23,26.0,292.88231679588864,,
2020-03-24,17.0,267.7571370765215,,
2020-03-25,13.0,280.9944176248995,,
2020-03-26,0.0,288.4208029262402,,
2020-03-27,23.0,298.4597813705846,,
2020-03-28,72.0,275.63001217674025,,
2020-03-29,29.0,229.5285370773659,,
2020-03-30,0.0,287.30074517850244,,
2020-03-31,78.0,313.0046530388042,,
2020-04-01,12.0,224.46309794122712,,
2020-04-02,46.0,315.6190011697476,,
2020-04-03,117.0,277.486775238304,,
2020-04-04,16.0,196.5081313335499,,
2020-04-05,118.0,331.37774710486144,,
2020-04-06,62.0,211.84597884551192,,
2020-04-07,108.0,279.5161331221178,,
2020-04-08,27.0,252.66269408726313,,
2020-04-09,44.0,327.6138379161554,,
2020-04-10,216.0,313.72422973007224,,
2020-04-11,10.0,127.94232230386123,,
2020-04-12,154.0,384.5604704884753,,
2020-04-13,17.0,209.59727713303778,,
2020-04-14,83.0,346.3153152014645,,
2020-04-15,139.0,302.7634586248713,,
2020-04-16,0.0,218.60003165671625,,
2020-04-17,113.0,396.27316311580546,,
2020-04-18,201.0,242.62857550615075,,
2020-04-19,47.0,158.4383872975991,,
2020-04-20,126.0,363.8165966157389,,
2020-04-21,0.0,245.58880264823276,,
2020-04-22,239.0,378.23450024857596,,
2020-04-23,169.0,143.17069681547616,,
2020-04-24,142.0,231.37262021110664,,
2020-04-25,139.0,286.4206563985517,,
2020-04-26,66.0,254.67372467853076,,
2020-04-27,99.0,359.1238391420251,,
2020-04-28,149.0,316.9657160652384,,
2020-04-29,239.0,260.16301809224785,,
2020-04-30,198.0,182.16673505919522,,
2020-05-01,102.0,236.45993395632627,,
2020-05-02,219.0,338.0426840459944,,
2020-05-03,118.0,202.433342985337,,
2020-05-04,181.0,339.38699916636335,,
2020-05-05,107.0,277.3180195987425,,
2020-05-06,153.0,335.66608288605266,,
2020-05-07,202.0,295.1368304499417,,
2020-05-08,180.0,232.31622234956808,,
2020-05-09,105.0,277.0205785520236,,
2020-05-10,85.0,345.4126843595559,,
2020-05-11,206.0,348.6328141283265,,
2020-05-12,143.0,220.20698818323672,,
2020-05-13,152.0,308.6884837983706,,
2020-05-14,139.0,290.6666312300223,,
2020-05-15,159.0,284.610170497308,,
2020-05-16,185.0,279.1826657174893,,
2020-05-17,91.0,253.15024924849178,,
2020-05-18,158.0,357.77040698271077,,
2020-05-19,96.0,271.07813049521246,,
2020-05-20,125.0,336.4440384999222,,
2020-05-21,155.0,309.3918799841197,,
2020-05-22,153.0,260.7304126165815,,
2020-05-23,0.0,277.08994416424207,,
2020-05-24,318.0,427.33893253991414,,
2020-05-25,83.0,70.26652371277984,,
2020-05-26,104.0,360.40314159410764,,
2020-05-27,122.0,340.13959656212353,,
2020-05-28,112.0,264.0002544412976,,
2020-05-29,129.0,325.09913048818123,,
2020-05-30,131.0,289.8602340820295,,
2020-05-31,65.0,281.81981581146994,,
2020-06-01,111.0,350.69741433024524,,
2020-06-02,224.0,287.1916957193959,,
2020-06-03,116.0,173.48894136776062,,
2020-06-04,213.0,316.15392424445884,,
2020-06-05,319.0,200.61099121700113,,
2020-06-06,128.0,101.03201825963762,,
2020-06-07,140.0,358.3934976562066,,
2020-06-08,122.0,317.2245305057789,,
2020-06-09,43.0,325.0713281255877,,
2020-06-10,145.0,431.90917867830217,,
2020-06-11,117.0,287.1932372543407,,
2020-06-12,159.0,313.2555053294603,,
2020-06-13,95.0,268.6996997956205,,
2020-06-14,102.0,317.0220281511698,,
2020-06-15,122.0,309.19614015970603,,
2020-06-16,88.0,279.560654341278,,
2020-06-17,132.0,326.32416756438755,,
2020-06-18,88.0,268.8958058362464,,
2020-06-19,107.0,313.9894857565349,,
2020-06-20,170.0,293.2682963154913,,
2020-06-21,135.0,221.05291586202938,,
2020-06-22,129.0,278.3840334438886,,
2020-06-23,144.0,281.9814572659882,,
2020-06-24,152.0,261.5342952932077,,
2020-06-25,202.0,268.9710266717828,,
2020-06-26,216.0,223.7520891776634,,
2020-06-27,211.0,221.85774488191046,,
2020-06-28,190.0,241.7322924751159,,
2020-06-29,173.0,269.4145152978567,,
2020-06-30,165.0,294.8824323708976,,
2020-07-01,129.0,307.0588518261241,,
2020-07-02,244.0,344.3994783304753,,
2020-07-03,256.0,216.77712365005948,,
2020-07-04,287.0,219.50557723338284,,
2020-07-05,193.0,204.74393473708483,,
2020-07-06,251.0,301.68101567464413,,
2020-07-07,220.0,246.00232225512147,,
2020-07-08,290.0,290.0492722131922,,
2020-07-09,234.0,235.23450887227264,,
2020-07-10,298.0,293.35078202359915,,
2020-07-11,224.0,232.57631899900088,,
2020-07-12,255.0,311.4553506089679,,
2020-07-13,263.0,286.18628488015696,,
2020-07-14,223.0,270.4756443044039,,
2020-07-15,327.0,327.59818155093234,,
2020-07-16,297.0,206.39369254689421,,
2020-07-17,318.0,254.50642314718158,,
2020-07-18,280.0,245.64231931618306,,
2020-07-19,,279.5743770365389,190.10287101505128,369.04588305802656
2020-07-20,,292.15268789094625,202.67072056431567,381.63465521757684
2020-07-21,,291.2092981075191,199.50395733830868,382.9146388767295
2020-07-22,,300.56397722620113,207.68698184752373,393.44097260487854
2020-07-23,,298.78267230081156,205.66747723777672,391.8978673638464
2020-07-24,,298.60751135956644,201.81372006443604,395.40130265469685
2020-07-25,,301.03143597263886,202.82448399782226,399.23838794745546
