,New York,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,190.7220458984375,129.63485717773438,229.00428771972656
2020-02-04,0.0,208.5321044921875,164.91238403320312,254.9626007080078
2020-02-05,0.0,257.78729248046875,217.3011474609375,336.70159912109375
2020-02-06,0.0,362.7562561035156,306.0390930175781,405.4800109863281
2020-02-07,0.0,415.287109375,325.9447021484375,497.68804931640625
2020-02-08,0.0,453.3852844238281,363.841796875,514.5457763671875
2020-02-09,0.0,524.0242919921875,439.6432800292969,641.1173095703125
2020-02-10,0.0,190.7220458984375,129.63485717773438,229.00428771972656
2020-02-11,0.0,208.5321044921875,164.91238403320312,254.9626007080078
2020-02-12,0.0,257.78729248046875,217.3011474609375,336.70159912109375
2020-02-13,0.0,362.7562561035156,306.0390930175781,405.4800109863281
2020-02-14,0.0,415.287109375,325.9447021484375,497.68804931640625
2020-02-15,0.0,453.3852844238281,363.841796875,514.5457763671875
2020-02-16,0.0,524.0242919921875,439.6432800292969,641.1173095703125
2020-02-17,0.0,190.7220458984375,129.63485717773438,229.00428771972656
2020-02-18,0.0,208.5321044921875,164.91238403320312,254.9626007080078
2020-02-19,0.0,257.78729248046875,217.3011474609375,336.70159912109375
2020-02-20,0.0,362.7562561035156,306.0390930175781,405.4800109863281
2020-02-21,0.0,415.287109375,325.9447021484375,497.68804931640625
2020-02-22,0.0,453.3852844238281,363.841796875,514.5457763671875
2020-02-23,0.0,524.0242919921875,439.6432800292969,641.1173095703125
2020-02-24,0.0,190.7220458984375,129.63485717773438,229.00428771972656
2020-02-25,0.0,208.5321044921875,164.91238403320312,254.9626007080078
2020-02-26,0.0,257.78729248046875,217.3011474609375,336.70159912109375
2020-02-27,0.0,362.7562561035156,306.0390930175781,405.4800109863281
2020-02-28,0.0,415.287109375,325.9447021484375,497.68804931640625
2020-02-29,0.0,453.3852844238281,363.841796875,514.5457763671875
2020-03-01,0.0,524.0242919921875,439.6432800292969,641.1173095703125
2020-03-02,1.0,190.7220458984375,129.63485717773438,229.00428771972656
2020-03-03,1.0,208.5321044921875,164.91238403320312,254.9626007080078
2020-03-04,9.0,257.78729248046875,217.3011474609375,336.70159912109375
2020-03-05,12.0,362.7562561035156,306.0390930175781,405.4800109863281
2020-03-06,8.0,415.287109375,325.9447021484375,497.68804931640625
