,New York,forecast,interval_low,interval_high
2020-01-23,0.0,-3.131894588470459,-15.391690254211426,1.9135243892669678
2020-01-24,0.0,0.002470600651577115,-0.2872277498245239,0.26454293727874756
2020-01-25,0.0,84.22042083740234,-0.1106877326965332,420.4134826660156
2020-01-26,0.0,-0.04245515540242195,-0.2708744406700134,0.09879854321479797
2020-01-27,0.0,1.2634193897247314,-0.24632853269577026,6.349895477294922
2020-01-28,0.0,-9.548916816711426,-46.83351516723633,-0.005163729190826416
2020-01-29,0.0,0.17891667783260345,-0.17030006647109985,0.44035103917121887
2020-01-30,0.0,-0.03432072326540947,-0.2316247820854187,0.05082806944847107
2020-01-31,0.0,-0.040182530879974365,-0.15536153316497803,0.0713312029838562
2020-02-01,0.0,0.41105955839157104,-0.2885088324546814,2.5981454849243164
2020-02-02,0.0,-0.008399778977036476,-0.221571683883667,0.11768785119056702
2020-02-03,0.0,-0.08089245855808258,-0.7235000133514404,0.3996279537677765
2020-02-04,0.0,0.1313263177871704,-0.05640971660614014,0.39488860964775085
2020-02-05,0.0,-0.6068366765975952,-3.366177558898926,0.6037993431091309
2020-02-06,0.0,-0.5782204270362854,-3.379749298095703,0.4739506244659424
2020-02-07,0.0,-0.7657802104949951,-2.7675275802612305,0.7624925971031189
2020-02-08,0.0,0.07193741947412491,-0.18296855688095093,0.30030685663223267
2020-02-09,0.0,0.6905832290649414,-0.6457697153091431,4.102519512176514
2020-02-10,0.0,3.20397686958313,-1.3439006805419922,9.387528419494629
2020-02-11,0.0,-0.3643941581249237,-1.0447925329208374,0.026602834463119507
2020-02-12,0.0,0.08378385007381439,-0.06659704446792603,0.35037705302238464
2020-02-13,0.0,-0.505330502986908,-3.044349431991577,0.26835158467292786
2020-02-14,0.0,-0.46129077672958374,-0.9753522872924805,0.06249168515205383
2020-02-15,0.0,13.933481216430664,-0.02487015724182129,67.19144439697266
2020-02-16,0.0,-0.17353609204292297,-0.8067888021469116,0.10888925194740295
2020-02-17,0.0,-1.3890188932418823,-3.9400062561035156,0.2720019519329071
2020-02-18,0.0,-1.063671350479126,-2.987666368484497,0.6804620623588562
2020-02-19,0.0,2.6816792488098145,0.30603426694869995,11.549821853637695
2020-02-20,0.0,-0.07436679303646088,-0.33231765031814575,0.15632611513137817
2020-02-21,0.0,2.581928014755249,-0.19042503833770752,10.970722198486328
2020-02-22,0.0,1.424180030822754,-0.3089900016784668,6.937099933624268
2020-02-23,0.0,0.0125677939504385,-0.1883014440536499,0.1916661262512207
2020-02-24,0.0,0.10519018024206161,-0.06347745656967163,0.2259504199028015
2020-02-25,0.0,21.96542739868164,-5.034082889556885,115.52881622314453
2020-02-26,0.0,1.1512939929962158,-0.3438573479652405,5.941668510437012
2020-02-27,0.0,-1.284432053565979,-9.025518417358398,2.3476083278656006
2020-02-28,0.0,2.4260072708129883,-4.1168999671936035,14.558335304260254
2020-02-29,0.0,11.217448234558105,-0.13093852996826172,54.11354446411133
2020-03-01,0.0,0.02135518752038479,-0.14000195264816284,0.20108044147491455
2020-03-02,1.0,6.381340980529785,0.7320964336395264,27.918548583984375
2020-03-03,1.0,4.592781066894531,0.8650574684143066,9.626078605651855
2020-03-04,9.0,8.800661087036133,7.744190692901611,9.224691390991211
2020-03-05,12.0,7.064292907714844,-5.5037946701049805,11.799233436584473
2020-03-06,8.0,18.620553970336914,7.806277751922607,61.30326843261719
2020-03-07,45.0,45.11773681640625,44.73831558227539,45.5705680847168
2020-03-08,30.0,26.905954360961914,1.9420472383499146,46.49083709716797
2020-03-09,36.0,36.33284378051758,35.68872833251953,37.64832305908203
2020-03-10,8.0,31.381433486938477,7.5765485763549805,70.11334991455078
2020-03-11,70.0,78.64697265625,69.85237884521484,112.08065032958984
2020-03-12,107.0,103.47550201416016,91.63994598388672,106.95450592041016
2020-03-13,94.0,94.36531066894531,93.96395874023438,94.6972427368164
2020-03-14,192.0,167.96853637695312,72.53326416015625,191.9730224609375
2020-03-15,2.0,176.01991271972656,1.9691007137298584,504.77490234375
2020-03-16,352.0,405.47552490234375,351.8423156738281,618.6027221679688
2020-03-17,611.0,781.1058349609375,609.7929077148438,1463.42822265625
2020-03-18,1460.0,1290.5556640625,614.1209716796875,1459.9786376953125
2020-03-19,2666.0,2801.373291015625,2665.50634765625,3342.7841796875
2020-03-20,2699.0,2820.711669921875,2698.122802734375,3306.73779296875
2020-03-21,3324.0,3477.49462890625,3323.543701171875,4091.345703125
2020-03-22,4073.0,4249.0595703125,4072.35205078125,4755.32080078125
2020-03-23,5084.0,5083.39013671875,5082.8134765625,5083.96435546875
2020-03-24,4797.0,4876.7412109375,4797.36962890625,5192.798828125
2020-03-25,5160.0,6215.1005859375,5159.56787109375,7865.76611328125
2020-03-26,7036.0,7029.57666015625,7006.24169921875,7035.62890625
2020-03-27,6999.0,7012.671875,6999.43115234375,7063.93359375
2020-03-28,7534.0,7473.32666015625,7236.68798828125,7534.02294921875
2020-03-29,7238.0,7238.1767578125,7237.9365234375,7238.52880859375
2020-03-30,7015.0,7847.57666015625,7014.5947265625,8888.2724609375
2020-03-31,9170.0,8729.685546875,6969.40478515625,9169.9580078125
2020-04-01,8115.0,8115.2861328125,8114.7451171875,8116.2890625
2020-04-02,8558.0,8558.228515625,8557.69921875,8558.7421875
2020-04-03,10481.0,10422.255859375,10187.1220703125,10481.228515625
2020-04-04,10846.0,10845.029296875,10844.6435546875,10845.23046875
2020-04-05,9327.0,9428.474609375,9327.162109375,9602.76953125
2020-04-06,8655.0,8654.6240234375,8652.30859375,8655.7314453125
2020-04-07,8060.0,8667.5390625,8061.2958984375,9524.8564453125
2020-04-08,11186.0,11089.2607421875,10707.19921875,11185.91015625
2020-04-09,10718.0,10640.0625,10329.73046875,10717.919921875
2020-04-10,10569.0,10195.791015625,8702.7529296875,10569.357421875
2020-04-11,8678.0,9071.1552734375,8678.9794921875,10639.2587890625
2020-04-12,8007.0,8398.044921875,8006.69775390625,9506.7236328125
2020-04-13,6716.0,6850.22021484375,6715.5537109375,7385.06640625
2020-04-14,7271.0,7736.2470703125,7270.56591796875,9597.0576171875
2020-04-15,11434.0,11432.810546875,11431.8623046875,11433.1962890625
2020-04-16,9237.0,9237.8310546875,9236.794921875,9239.171875
2020-04-17,6906.0,7373.02099609375,6905.22119140625,9242.3603515625
2020-04-18,6877.0,6495.98583984375,5933.953125,6877.2412109375
2020-04-19,5908.0,5830.9755859375,5522.85205078125,5908.72802734375
2020-04-20,5034.0,5047.5966796875,5033.80126953125,5100.42822265625
2020-04-21,5103.0,5102.4833984375,5101.576171875,5103.302734375
2020-04-22,4703.0,5132.0341796875,4702.87841796875,6164.20703125
2020-04-23,5238.0,5239.064453125,5238.615234375,5239.73583984375
2020-04-24,8130.0,8276.673828125,8128.7421875,8866.5703125
2020-04-25,10553.0,9622.595703125,5904.23486328125,10553.05859375
2020-04-26,5902.0,5885.0712890625,5815.69921875,5903.029296875
2020-04-27,3951.0,3950.608642578125,3950.14404296875,3950.9150390625
2020-04-28,3110.0,3110.90087890625,3110.25537109375,3111.501953125
2020-04-29,4585.0,4511.76513671875,4220.90576171875,4584.943359375
2020-04-30,4681.0,4668.00146484375,4615.849609375,4681.59814453125
2020-05-01,3942.0,4236.09619140625,3941.61181640625,4711.03076171875
2020-05-02,4663.0,4307.63916015625,3568.65576171875,4663.39599609375
2020-05-03,3438.0,3438.00390625,3437.63525390625,3438.12353515625
2020-05-04,2538.0,2480.130859375,2248.845458984375,2538.195556640625
2020-05-05,2239.0,2264.259033203125,2237.86279296875,2366.134521484375
2020-05-06,2786.0,2969.236572265625,2785.79541015625,3413.592041015625
2020-05-07,3491.0,3375.448486328125,2919.381103515625,3490.68310546875
2020-05-08,2938.0,2924.76220703125,2866.64794921875,2940.509521484375
2020-05-09,2715.0,2714.974853515625,2714.273193359375,2715.925537109375
2020-05-10,2273.0,2272.815673828125,2271.9677734375,2273.325439453125
2020-05-11,1660.0,1614.124755859375,1433.4761962890625,1659.828857421875
2020-05-12,1430.0,1430.992431640625,1430.2962646484375,1432.28173828125
2020-05-13,2176.0,2174.93896484375,2173.431640625,2175.596923828125
2020-05-14,2390.0,2391.346435546875,2390.450927734375,2392.96435546875
2020-05-15,2762.0,2761.23974609375,2760.611572265625,2761.5546875
2020-05-16,2419.0,2466.1396484375,2419.09033203125,2653.658203125
2020-05-17,1889.0,1902.466064453125,1854.312255859375,1991.5040283203125
2020-05-18,1250.0,1250.427490234375,1249.868896484375,1250.9552001953125
2020-05-19,1474.0,1473.2763671875,1472.816162109375,1473.771728515625
2020-05-20,1525.0,1680.1966552734375,1524.9832763671875,1966.828125
2020-05-21,2088.0,2021.5003662109375,1758.988037109375,2088.04150390625
2020-05-22,1696.0,1697.2119140625,1696.888671875,1697.6385498046875
2020-05-23,1772.0,1771.1611328125,1770.9366455078125,1771.3515625
2020-05-24,1589.0,1589.3792724609375,1589.214111328125,1589.556884765625
2020-05-25,1249.0,1248.8447265625,1248.267578125,1249.2122802734375
2020-05-26,1072.0,1072.390869140625,1071.8707275390625,1073.0198974609375
2020-05-27,1129.0,1241.413818359375,1128.1939697265625,1692.013916015625
2020-05-28,1768.0,1586.3912353515625,1278.3870849609375,1767.29052734375
2020-05-29,1551.0,1521.8934326171875,1372.141845703125,1583.3310546875
2020-05-30,1376.0,1342.944580078125,1210.0440673828125,1376.661376953125
2020-05-31,1110.0,1154.4537353515625,1109.8885498046875,1332.2447509765625
2020-06-01,941.0,1008.8318481445312,941.0762329101562,1279.280517578125
2020-06-02,1329.0,1328.2974853515625,1327.8807373046875,1328.6343994140625
2020-06-03,1045.0,1045.385498046875,1044.4595947265625,1045.9288330078125
2020-06-04,1048.0,1042.91162109375,1021.4443969726562,1049.6080322265625
2020-06-05,1075.0,1075.2138671875,1075.013916015625,1075.4158935546875
2020-06-06,1108.0,1107.7763671875,1107.263671875,1108.081298828125
2020-06-07,781.0,780.787353515625,780.40625,781.3080444335938
2020-06-08,702.0,679.4473266601562,602.3405151367188,701.9312133789062
2020-06-09,683.0,682.9793090820312,682.4013671875,683.6597900390625
2020-06-10,674.0,672.4830322265625,649.696044921875,688.5673828125
2020-06-11,736.0,743.5097045898438,689.5670776367188,820.5050048828125
2020-06-12,822.0,833.0250854492188,821.0928344726562,877.0735473632812
2020-06-13,916.0,885.0079956054688,763.626708984375,915.5938720703125
2020-06-14,694.0,760.41650390625,693.961181640625,882.2509765625
2020-06-15,620.0,617.6883544921875,588.0780639648438,662.40478515625
2020-06-16,631.0,630.7027587890625,629.5565795898438,631.7382202148438
2020-06-17,567.0,594.2293701171875,567.144287109375,700.25634765625
2020-06-18,618.0,654.5740356445312,617.8079223632812,719.4022827148438
2020-06-19,796.0,784.3554077148438,739.0728149414062,795.963134765625
2020-06-20,716.0,734.960205078125,715.9190673828125,764.3406372070312
2020-06-21,664.0,666.4652099609375,663.8790283203125,676.5424194335938
2020-06-22,552.0,551.6944580078125,551.4855346679688,551.8980712890625
