,North Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.0,0.0,-3.0288944244384766
2020-01-31,0.0,2.137913942337036,0.0,7.304722309112549
2020-02-01,0.0,3.4099682172139487,0.0,7.304722309112549
2020-02-02,0.0,3.993593454360962,0.0,7.304722309112549
2020-02-03,0.0,8.739135551452637,0.0,27.721303939819336
2020-02-04,0.0,12.398118495941162,0.0,30.69303321838379
2020-02-05,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-06,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-07,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-08,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-09,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-10,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-11,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-12,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-13,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-14,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-15,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-16,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-17,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-18,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-19,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-20,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-21,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-22,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-23,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-24,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-25,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-26,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-27,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-28,0.0,14.847750663757324,0.0,30.69303321838379
2020-02-29,0.0,14.847751344953265,0.0,30.69303321838379
2020-03-01,0.0,14.8477509362357,0.0,30.69303321838379
2020-03-02,0.0,14.847750731876918,0.0,30.69303321838379
2020-03-03,1.0,14.847752502986364,0.0,30.69303321838379
2020-03-04,0.0,14.85491943359375,0.0,30.69303321838379
2020-03-05,0.0,14.872405392783028,0.0,30.693042755126953
2020-03-06,1.0,14.894468409674507,0.0,30.693042755126953
2020-03-07,0.0,14.932320186070033,0.0,30.69303321838379
2020-03-08,0.0,14.982279675347465,0.0,30.69303321838379
