,North Dakota,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,115.58069296160998,,
2020-01-25,0.0,115.72993633443299,,
2020-01-26,0.0,115.90022160378669,,
2020-01-27,0.0,116.10214061306937,,
2020-01-28,0.0,116.21752593875185,,
2020-01-29,0.0,116.36058434434922,,
2020-01-30,0.0,116.74215354790695,,
2020-01-31,0.0,116.9722303331289,,
2020-02-01,0.0,116.81798453365586,,
2020-02-02,0.0,116.56966713140753,,
2020-02-03,0.0,116.4932237651529,,
2020-02-04,0.0,116.5705981104897,,
2020-02-05,0.0,116.67708392600743,,
2020-02-06,0.0,116.70302968870698,,
2020-02-07,0.0,116.64811178394434,,
2020-02-08,0.0,116.59386138975275,,
2020-02-09,0.0,116.58922920605252,,
2020-02-10,0.0,116.61940450929005,,
2020-02-11,0.0,116.64439341678751,,
2020-02-12,0.0,116.64254214754597,,
2020-02-13,0.0,116.62499144852892,,
2020-02-14,0.0,116.61375138668303,,
2020-02-15,0.0,116.61681456210836,,
2020-02-16,0.0,116.62617028192689,,
2020-02-17,0.0,116.63091994779516,,
2020-02-18,0.0,116.62828110036091,,
2020-02-19,0.0,116.62335203086721,,
2020-02-20,0.0,116.62152140574044,,
2020-02-21,0.0,116.62335796816402,,
2020-02-22,0.0,116.62584470523392,,
2020-02-23,0.0,116.62644568244254,,
2020-02-24,0.0,116.625279793324,,
2020-02-25,0.0,116.62406221440123,,
2020-02-26,0.0,116.62393809300943,,
2020-02-27,0.0,116.62462852266643,,
2020-02-28,0.0,116.62520179603702,,
2020-02-29,0.0,116.62516920945998,,
2020-03-01,0.0,116.62477864332142,,
2020-03-02,0.0,116.62452038480355,,
2020-03-03,0.0,116.62458583859576,,
2020-03-04,0.0,116.62479801002218,,
2020-03-05,0.0,116.62490777050414,,
2020-03-06,0.0,116.62485032517425,,
2020-03-07,0.0,116.62473896483867,,
2020-03-08,0.0,116.62469615288605,,
2020-03-09,0.0,116.62473686371413,,
2020-03-10,0.0,116.62479338463854,,
2020-03-11,0.0,116.62480771451123,,
2020-03-12,1.0,116.6247817579273,,
2020-03-13,0.0,116.1396601349169,,
2020-03-14,0.0,116.7140265986407,,
2020-03-15,0.0,116.68994755881309,,
2020-03-16,0.0,116.73561664974555,,
2020-03-17,2.0,116.62406739637568,,
2020-03-18,3.0,115.59861338662903,,
2020-03-19,13.0,115.56810199272826,,
2020-03-20,7.0,110.909891997884,,
2020-03-21,2.0,114.80405023859659,,
2020-03-22,0.0,117.33220511967683,,
2020-03-23,2.0,118.49834508383775,,
2020-03-24,6.0,116.84137666079806,,
2020-03-25,9.0,114.49734510731336,,
2020-03-26,6.0,116.00439552833237,,
2020-03-27,17.0,118.7929400747704,,
2020-03-28,26.0,111.32915255565682,,
2020-03-29,4.0,105.28965526464536,,
2020-03-30,11.0,117.04902443512357,,
2020-03-31,13.0,116.08596524503308,,
2020-04-01,20.0,118.15815032121408,,
2020-04-02,17.0,111.94434503170677,,
2020-04-03,14.0,114.75011935302321,,
2020-04-04,13.0,120.68787228043675,,
2020-04-05,21.0,118.41091578750627,,
2020-04-06,18.0,110.80836878607504,,
2020-04-07,12.0,112.4632151036618,,
2020-04-08,14.0,119.4070671740845,,
2020-04-09,18.0,120.83657368418004,,
2020-04-10,9.0,116.73462816185851,,
2020-04-11,15.0,117.62891573345713,,
2020-04-12,15.0,115.32551671331302,,
2020-04-13,23.0,118.04353613615812,,
2020-04-14,10.0,112.95280693900796,,
2020-04-15,24.0,119.0211856977647,,
2020-04-16,28.0,112.35468382464256,,
2020-04-17,0.0,110.61590373961866,,
2020-04-18,135.0,124.31259663632818,,
2020-04-19,57.0,58.603713204714545,,
2020-04-20,42.0,110.04996691428877,,
2020-04-21,17.0,113.70652939741112,,
2020-04-22,35.0,134.24294764466933,,
2020-04-23,30.0,117.56480809038526,,
2020-04-24,39.0,106.48172074962835,,
2020-04-25,55.0,128.5022596901207,,
2020-04-26,64.0,131.7079873377988,,
2020-04-27,75.0,114.1464634950583,,
2020-04-28,49.0,88.2517829933581,,
2020-04-29,42.0,101.80811459724438,,
2020-04-30,34.0,116.06227711191329,,
2020-05-01,40.0,130.01699228042753,,
2020-05-02,46.0,127.34618986024921,,
2020-05-03,38.0,121.33046999563655,,
2020-05-04,34.0,125.13003310301552,,
2020-05-05,41.0,122.47031017761743,,
2020-05-06,57.0,114.02812003922364,,
2020-05-07,48.0,103.04041558073456,,
2020-05-08,54.0,111.24081881781156,,
2020-05-09,39.0,114.79212724981686,,
2020-05-10,27.0,124.29153002918093,,
2020-05-11,27.0,123.59856487740478,,
2020-05-12,53.0,119.5646260407593,,
