,Pennsylvania,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,5.800273418426514,0.0,21.554311752319336
2020-02-03,0.0,14.117488861083984,0.0,35.62118911743164
2020-02-04,0.0,17.911165237426758,0.0,51.50249099731445
2020-02-05,0.0,21.967376708984375,0.0,58.68385696411133
2020-02-06,0.0,29.540197372436523,0.0,64.21434783935547
2020-02-07,0.0,38.0807991027832,0.0,89.64229583740234
2020-02-08,0.0,56.85749816894531,0.0,120.40902709960938
2020-02-09,0.0,5.800273418426514,0.0,21.554311752319336
2020-02-10,0.0,14.117488861083984,0.0,35.62118911743164
2020-02-11,0.0,17.911165237426758,0.0,51.50249099731445
2020-02-12,0.0,21.967376708984375,0.0,58.68385696411133
2020-02-13,0.0,29.540197372436523,0.0,64.21434783935547
2020-02-14,0.0,38.0807991027832,0.0,89.64229583740234
2020-02-15,0.0,56.85749816894531,0.0,120.40902709960938
2020-02-16,0.0,5.800273418426514,0.0,21.554311752319336
2020-02-17,0.0,14.117488861083984,0.0,35.62118911743164
2020-02-18,0.0,17.911165237426758,0.0,51.50249099731445
2020-02-19,0.0,21.967376708984375,0.0,58.68385696411133
2020-02-20,0.0,29.540197372436523,0.0,64.21434783935547
2020-02-21,0.0,38.0807991027832,0.0,89.64229583740234
2020-02-22,0.0,56.85749816894531,0.0,120.40902709960938
2020-02-23,0.0,5.800273418426514,0.0,21.554311752319336
2020-02-24,0.0,14.117488861083984,0.0,35.62118911743164
2020-02-25,0.0,17.911165237426758,0.0,51.50249099731445
2020-02-26,0.0,21.967376708984375,0.0,58.68385696411133
2020-02-27,0.0,29.540197372436523,0.0,64.21434783935547
2020-02-28,0.0,38.0807991027832,0.0,89.64229583740234
2020-02-29,0.0,56.85749816894531,0.0,120.40902709960938
2020-03-01,0.0,5.800273418426514,0.0,21.554311752319336
2020-03-02,0.0,14.117488861083984,0.0,35.62118911743164
2020-03-03,0.0,17.911165237426758,0.0,51.50249099731445
2020-03-04,0.0,21.967376708984375,0.0,58.68385696411133
2020-03-05,0.0,29.540197372436523,0.0,64.21434783935547
2020-03-06,2.0,38.0807991027832,0.0,89.64229583740234
2020-03-07,0.0,56.85749816894531,0.0,120.40902709960938
2020-03-08,4.0,5.800273418426514,0.0,21.554311752319336
2020-03-09,1.0,14.117488861083984,0.0,35.62118911743164
