,South Carolina,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,7.354654788970947,0.0,32.98393630981445
2020-02-03,0.0,2.770441770553589,0.0,17.600017547607422
2020-02-04,0.0,6.726031303405762,0.0,24.68877601623535
2020-02-05,0.0,7.33791971206665,0.0,26.508071899414062
2020-02-06,0.0,9.00442123413086,0.0,30.154359817504883
2020-02-07,0.0,6.464209079742432,0.0,38.74852752685547
2020-02-08,0.0,8.447518348693848,0.0,33.57855224609375
2020-02-09,0.0,7.354654788970947,0.0,32.98393630981445
2020-02-10,0.0,2.770441770553589,0.0,17.600017547607422
2020-02-11,0.0,6.726031303405762,0.0,24.68877601623535
2020-02-12,0.0,7.33791971206665,0.0,26.508071899414062
2020-02-13,0.0,9.00442123413086,0.0,30.154359817504883
2020-02-14,0.0,6.464209079742432,0.0,38.74852752685547
2020-02-15,0.0,8.447518348693848,0.0,33.57855224609375
2020-02-16,0.0,7.354654788970947,0.0,32.98393630981445
2020-02-17,0.0,2.770441770553589,0.0,17.600017547607422
2020-02-18,0.0,6.726031303405762,0.0,24.68877601623535
2020-02-19,0.0,7.33791971206665,0.0,26.508071899414062
2020-02-20,0.0,9.00442123413086,0.0,30.154359817504883
2020-02-21,0.0,6.464209079742432,0.0,38.74852752685547
2020-02-22,0.0,8.447518348693848,0.0,33.57855224609375
2020-02-23,0.0,7.354654788970947,0.0,32.98393630981445
2020-02-24,0.0,2.770441770553589,0.0,17.600017547607422
2020-02-25,0.0,6.726031303405762,0.0,24.68877601623535
2020-02-26,0.0,7.33791971206665,0.0,26.508071899414062
2020-02-27,0.0,9.00442123413086,0.0,30.154359817504883
2020-02-28,0.0,6.464209079742432,0.0,38.74852752685547
2020-02-29,0.0,8.447518348693848,0.0,33.57855224609375
2020-03-01,0.0,7.354654788970947,0.0,32.98393630981445
2020-03-02,0.0,2.770441770553589,0.0,17.600017547607422
2020-03-03,0.0,6.726031303405762,0.0,24.68877601623535
2020-03-04,0.0,7.33791971206665,0.0,26.508071899414062
2020-03-05,0.0,9.00442123413086,0.0,30.154359817504883
2020-03-06,0.0,6.464209079742432,0.0,38.74852752685547
2020-03-07,2.0,8.447518348693848,0.0,33.57855224609375
2020-03-08,0.0,7.354654788970947,0.0,32.98393630981445
2020-03-09,1.0,2.770441770553589,0.0,17.600017547607422
