,Tennessee,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.38044951902198954,0.38044951902198954,0.38044951902198954
2020-01-26,0.0,0.6354935326834892,0.6354935326834892,0.6354935326834892
2020-01-27,0.0,1.0058141648417815,1.0058141648417815,1.0058141648417815
2020-01-28,0.0,1.2989495967547988,1.2989495967547988,1.2989495967547988
2020-01-29,0.0,1.843439885477546,1.843439885477546,1.843439885477546
2020-01-30,0.0,2.3046366237557545,2.3046366237557545,2.3046366237557545
2020-01-31,0.0,2.991291209439824,2.991291209439824,2.991291209439824
2020-02-01,0.0,3.8471290688409154,3.8471290688409154,3.8471290688409154
2020-02-02,0.0,4.844319018000078,4.844319018000078,4.844319018000078
2020-02-03,0.0,5.963119669594341,5.963119669594341,5.963119669594341
2020-02-04,0.0,7.186101532713916,7.186101532713916,7.186101532713916
2020-02-05,0.0,8.49619020790688,8.49619020790688,8.49619020790688
2020-02-06,0.0,9.876023958118441,9.876023958118441,9.876023958118441
2020-02-07,0.0,11.307868401839407,11.307868401839407,11.307868401839407
2020-02-08,0.0,12.77380736969513,12.77380736969513,12.77380736969513
2020-02-09,0.0,14.256080410744026,14.256080410744026,14.256080410744026
2020-02-10,0.0,15.737490831023282,15.737490831023282,15.737490831023282
2020-02-11,0.0,17.201829473244697,17.201829473244697,17.201829473244697
2020-02-12,0.0,18.63427083881133,18.63427083881133,18.63427083881133
2020-02-13,0.0,20.021707555752275,20.021707555752275,20.021707555752275
2020-02-14,0.0,21.352999140361927,21.352999140361927,21.352999140361927
2020-02-15,0.0,22.61912167204335,22.61912167204335,22.61912167204335
2020-02-16,0.0,23.813215577731444,23.813215577731444,23.813215577731444
2020-02-17,0.0,24.930538108137277,24.930538108137277,24.930538108137277
2020-02-18,0.0,25.96833435589252,25.96833435589252,25.96833435589252
2020-02-19,0.0,26.925645291051996,26.925645291051996,26.925645291051996
2020-02-20,0.0,27.8030732107264,27.8030732107264,27.8030732107264
2020-02-21,0.0,28.60252454960963,28.60252454960963,28.60252454960963
2020-02-22,0.0,29.32694776315437,29.32694776315437,29.32694776315437
2020-02-23,0.0,29.980080657381546,29.980080657381546,29.980080657381546
2020-02-24,0.0,30.566217743880973,30.566217743880973,30.566217743880973
2020-02-25,0.0,31.09000446637374,31.09000446637374,31.09000446637374
2020-02-26,0.0,31.556261834971746,31.556261834971746,31.556261834971746
2020-02-27,0.0,31.969842314211864,31.969842314211864,31.969842314211864
2020-02-28,0.0,32.33551580563791,32.33551580563791,32.33551580563791
2020-02-29,0.0,32.65788321384232,32.65788321384232,32.65788321384232
