,Tennessee,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,9.042041778564453,0.0,79.77911376953125
2020-02-03,0.0,18.985729217529297,0.0,57.21262741088867
2020-02-04,0.0,19.742517471313477,0.0,56.56589126586914
2020-02-05,0.0,19.69485092163086,0.0,60.18490982055664
2020-02-06,0.0,23.333141326904297,0.0,68.85672760009766
2020-02-07,0.0,20.026830673217773,0.0,69.73796844482422
2020-02-08,0.0,20.76645851135254,0.0,53.29895782470703
2020-02-09,0.0,9.042041778564453,0.0,79.77911376953125
2020-02-10,0.0,18.985729217529297,0.0,57.21262741088867
2020-02-11,0.0,19.742517471313477,0.0,56.56589126586914
2020-02-12,0.0,19.69485092163086,0.0,60.18490982055664
2020-02-13,0.0,23.333141326904297,0.0,68.85672760009766
2020-02-14,0.0,20.026830673217773,0.0,69.73796844482422
2020-02-15,0.0,20.76645851135254,0.0,53.29895782470703
2020-02-16,0.0,9.042041778564453,0.0,79.77911376953125
2020-02-17,0.0,18.985729217529297,0.0,57.21262741088867
2020-02-18,0.0,19.742517471313477,0.0,56.56589126586914
2020-02-19,0.0,19.69485092163086,0.0,60.18490982055664
2020-02-20,0.0,23.333141326904297,0.0,68.85672760009766
2020-02-21,0.0,20.026830673217773,0.0,69.73796844482422
2020-02-22,0.0,20.76645851135254,0.0,53.29895782470703
2020-02-23,0.0,9.042041778564453,0.0,79.77911376953125
2020-02-24,0.0,18.985729217529297,0.0,57.21262741088867
2020-02-25,0.0,19.742517471313477,0.0,56.56589126586914
2020-02-26,0.0,19.69485092163086,0.0,60.18490982055664
2020-02-27,0.0,23.333141326904297,0.0,68.85672760009766
2020-02-28,0.0,20.026830673217773,0.0,69.73796844482422
2020-02-29,0.0,20.76645851135254,0.0,53.29895782470703
2020-03-01,0.0,9.042041778564453,0.0,79.77911376953125
2020-03-02,0.0,18.985729217529297,0.0,57.21262741088867
2020-03-03,0.0,19.742517471313477,0.0,56.56589126586914
2020-03-04,0.0,19.69485092163086,0.0,60.18490982055664
2020-03-05,1.0,23.333141326904297,0.0,68.85672760009766
2020-03-06,0.0,20.026830673217773,0.0,69.73796844482422
2020-03-07,0.0,20.76645851135254,0.0,53.29895782470703
2020-03-08,2.0,9.042041778564453,0.0,79.77911376953125
2020-03-09,0.0,18.985729217529297,0.0,57.21262741088867
