,Texas,forecast,interval_low,interval_high
2020-01-23,0.0,0.4055771231651306,-0.06906479597091675,0.7550702095031738
2020-01-24,0.0,0.06985156238079071,-0.02251988649368286,0.17775005102157593
2020-01-25,0.0,-7.492445945739746,-34.888858795166016,0.1485266089439392
2020-01-26,0.0,-7.087559700012207,-35.75965118408203,0.28977933526039124
2020-01-27,0.0,-3.068549394607544,-14.714871406555176,-0.04837435483932495
2020-01-28,0.0,16.259193420410156,-0.07370507717132568,79.31788635253906
2020-01-29,0.0,-1.5077569484710693,-6.779667854309082,0.07061466574668884
2020-01-30,0.0,0.16996391117572784,-0.1773034930229187,0.6166626214981079
2020-01-31,0.0,11.525285720825195,-0.5429346561431885,58.56332778930664
2020-02-01,0.0,1.6708881855010986,-0.9555009603500366,9.399868965148926
2020-02-02,0.0,4.757876396179199,-0.13296598196029663,23.03644561767578
2020-02-03,0.0,-1.0078551769256592,-4.875826358795166,0.18794766068458557
2020-02-04,0.0,-0.2516334056854248,-1.0462288856506348,0.5969192385673523
2020-02-05,0.0,-0.26861417293548584,-0.6944947242736816,0.004159748554229736
2020-02-06,0.0,0.233846515417099,-0.28391093015670776,0.5173966288566589
2020-02-07,0.0,-1.0849120616912842,-3.756761074066162,0.20395046472549438
2020-02-08,0.0,2.9374566078186035,0.2595730721950531,5.677943706512451
2020-02-09,0.0,-0.3778837323188782,-1.6448054313659668,0.2766169309616089
2020-02-10,0.0,0.5236955881118774,0.1541925072669983,1.16367506980896
2020-02-11,0.0,5.308176040649414,-0.6416165828704834,17.85150146484375
2020-02-12,0.0,-1.08003568649292,-3.9086570739746094,0.5895530581474304
2020-02-13,0.0,0.5117719769477844,-1.8776826858520508,3.936494827270508
2020-02-14,0.0,0.011379527859389782,-0.27045756578445435,0.1886562705039978
2020-02-15,0.0,0.5140976905822754,-0.545737624168396,1.3293942213058472
2020-02-16,0.0,-1.254408836364746,-3.0405659675598145,0.33556491136550903
2020-02-17,0.0,-12.97071361541748,-73.71749114990234,8.003844261169434
2020-02-18,0.0,-0.8259857296943665,-2.3728699684143066,0.2617458701133728
2020-02-19,0.0,7.665083408355713,-0.6711952686309814,35.950233459472656
2020-02-20,0.0,-0.34179025888442993,-2.0570759773254395,1.3590035438537598
2020-02-21,0.0,3.7679266929626465,-0.8147045373916626,17.835830688476562
2020-02-22,0.0,-0.3430006206035614,-3.246607780456543,2.5182900428771973
2020-02-23,0.0,4.858001232147217,-0.5500080585479736,23.083166122436523
2020-02-24,0.0,1.7061395645141602,-0.0075154900550842285,6.7910380363464355
2020-02-25,0.0,-1.1369882822036743,-3.8928985595703125,-0.05907309055328369
2020-02-26,0.0,1.6803722381591797,-0.6528382301330566,7.785136699676514
2020-02-27,0.0,0.9403102993965149,0.044431090354919434,2.553990364074707
2020-02-28,0.0,8.364774703979492,-0.18133032321929932,41.23072814941406
2020-02-29,0.0,-0.2971445620059967,-1.8189706802368164,0.45322588086128235
2020-03-01,0.0,-0.9329788088798523,-4.328131198883057,0.3315494656562805
2020-03-02,0.0,0.13457858562469482,-0.03861737251281738,0.3892347812652588
2020-03-03,0.0,0.1447649896144867,-1.1795161962509155,1.409517526626587
2020-03-04,0.0,-2.4853014945983887,-8.930615425109863,-0.5166893005371094
2020-03-05,3.0,3.2435081005096436,2.9879894256591797,3.682190418243408
2020-03-06,1.0,2.769566297531128,0.15236389636993408,9.976280212402344
2020-03-07,4.0,8.91833209991455,3.516577959060669,23.617095947265625
2020-03-08,3.0,-0.6538304686546326,-12.575435638427734,2.985304832458496
2020-03-09,2.0,15.184155464172363,1.9521726369857788,66.75457763671875
2020-03-10,3.0,6.914390563964844,0.4290887117385864,26.172950744628906
2020-03-11,5.0,5.381470203399658,4.331964492797852,6.4493489265441895
