,Total,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,1.0,,,
2020-01-25,0.0,,,
2020-01-26,3.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,2.0,,,
2020-02-01,1.0,,,
2020-02-02,0.0,210.6375274658203,0.0,1439.4603271484375
2020-02-03,3.0,349.20391845703125,0.0,1699.0416259765625
2020-02-04,0.0,437.0179138183594,0.0,1804.0452880859375
2020-02-05,0.0,557.9490966796875,0.0,2383.82373046875
2020-02-06,0.0,838.4058837890625,0.0,3028.851806640625
2020-02-07,0.0,1019.4421997070312,0.0,3492.86181640625
2020-02-08,0.0,1307.6234130859375,50.40813064575195,3288.10546875
2020-02-09,0.0,211.243408203125,0.0,1439.7132568359375
2020-02-10,0.0,349.9727478027344,0.0,1699.274169921875
2020-02-11,1.0,437.85565185546875,0.0,1804.2977294921875
2020-02-12,0.0,558.9655151367188,0.0,2384.06884765625
2020-02-13,1.0,839.52197265625,0.0,3029.096435546875
2020-02-14,0.0,1020.830078125,0.0,3493.11328125
2020-02-15,0.0,1309.125732421875,52.117069244384766,3288.351318359375
2020-02-16,0.0,209.8860321044922,0.0,1439.0728759765625
2020-02-17,0.0,347.5592041015625,0.0,1698.5531005859375
2020-02-18,0.0,434.8880920410156,0.0,1803.646728515625
2020-02-19,0.0,555.5665283203125,0.0,2383.45361328125
2020-02-20,0.0,836.2044067382812,0.0,3028.56591796875
2020-02-21,2.0,1017.0494384765625,0.0,3492.64697265625
2020-02-22,0.0,1305.0616455078125,47.43633270263672,3287.81298828125
2020-02-23,0.0,209.63577270507812,0.0,1438.953369140625
2020-02-24,0.0,347.16815185546875,0.0,1698.5478515625
2020-02-25,0.0,434.2049255371094,0.0,1803.5123291015625
2020-02-26,0.0,554.6943969726562,0.0,2383.302734375
2020-02-27,1.0,835.1775512695312,0.0,3028.359130859375
2020-02-28,0.0,1016.20703125,0.0,3492.38525390625
2020-02-29,8.0,1304.399658203125,46.76173782348633,3287.611572265625
2020-03-01,6.0,209.9364013671875,0.0,1439.0771484375
2020-03-02,23.0,347.80853271484375,0.0,1698.7081298828125
2020-03-03,20.0,435.0191955566406,0.0,1803.6373291015625
2020-03-04,31.0,555.5411376953125,0.0,2383.418212890625
2020-03-05,70.0,835.9201049804688,0.0,3028.44775390625
2020-03-06,48.0,1017.0260620117188,0.0,3492.45068359375
2020-03-07,115.0,1305.317626953125,47.83493423461914,3287.70166015625
2020-03-08,114.0,245.18276977539062,0.0,1451.9302978515625
2020-03-09,68.0,391.0342102050781,0.0,1707.5615234375
2020-03-10,192.0,485.3392028808594,0.0,1816.399658203125
2020-03-11,398.0,613.67626953125,0.0,2396.345703125
2020-03-12,452.0,902.14404296875,0.0,3043.363525390625
2020-03-13,596.0,1093.024169921875,8.284820556640625,3509.41015625
2020-03-14,713.0,1385.0633544921875,137.109375,3302.3583984375
2020-03-15,98.0,596.5646362304688,137.14491271972656,1570.478271484375
2020-03-16,1392.0,804.4334716796875,46.98031997680664,1796.65380859375
2020-03-17,1781.0,931.6144409179688,112.23389434814453,1931.13232421875
2020-03-18,2776.0,1105.1334228515625,279.2508850097656,2511.112060546875
2020-03-19,5240.0,1455.577880859375,499.6094970703125,3174.202392578125
2020-03-20,5322.0,1777.2017822265625,768.360107421875,3656.46533203125
2020-03-21,6346.0,2140.725830078125,993.8598022460938,3430.71875
2020-03-22,7936.0,3130.2451171875,1927.9300537109375,3727.76708984375
2020-03-23,10089.0,3712.69873046875,2278.042236328125,4504.48779296875
2020-03-24,10262.0,4117.65380859375,2379.8076171875,4697.91650390625
2020-03-25,11943.0,4687.05029296875,2774.52734375,5703.17431640625
2020-03-26,18036.0,5507.10693359375,3623.14404296875,6966.87060546875
2020-03-27,18185.0,6672.83837890625,4138.53515625,8271.669921875
2020-03-28,19793.0,7460.1279296875,4447.45947265625,9345.1943359375
2020-03-29,19136.0,13885.6142578125,9332.8896484375,15498.47265625
2020-03-30,21502.0,15397.78125,8526.064453125,17971.67578125
2020-03-31,26017.0,17259.560546875,9652.521484375,20067.63671875
2020-04-01,25481.0,19079.419921875,10205.880859375,21502.744140625
2020-04-02,30405.0,20431.55078125,11311.681640625,22365.369140625
2020-04-03,31937.0,22331.96484375,12254.1962890625,25477.396484375
2020-04-04,33152.0,23689.302734375,11475.650390625,26391.962890625
2020-04-05,27874.0,24591.384765625,22263.064453125,26397.607421875
2020-04-06,29642.0,24002.263671875,21314.03515625,26139.75390625
2020-04-07,30777.0,24655.591796875,22565.78125,26378.0625
2020-04-08,31694.0,26047.7734375,23196.08203125,27432.458984375
2020-04-09,34756.0,28311.828125,24480.86328125,29875.728515625
2020-04-10,33501.0,29574.703125,25329.01953125,31438.40234375
2020-04-11,30026.0,29913.208984375,24449.5234375,32034.849609375
2020-04-12,28553.0,33291.5859375,31373.283203125,35600.0
2020-04-13,25291.0,33723.625,31946.376953125,37380.5546875
2020-04-14,27065.0,32776.04296875,30283.80859375,35678.5390625
2020-04-15,29096.0,31316.796875,29622.078125,33248.90234375
2020-04-16,31298.0,30856.20703125,29167.927734375,33471.78515625
2020-04-17,32724.0,31205.103515625,29754.517578125,33483.9140625
2020-04-18,28341.0,33009.875,31562.8125,35580.8046875
2020-04-19,26038.0,31966.80859375,28997.919921875,33994.015625
2020-04-20,27341.0,31913.650390625,30459.06640625,34930.73046875
2020-04-21,25602.0,29336.93359375,26813.44921875,31719.03125
2020-04-22,28104.0,26180.52734375,24171.376953125,30211.671875
2020-04-23,34195.0,24958.775390625,22584.73828125,30285.853515625
2020-04-24,36291.0,25579.123046875,23172.740234375,29235.66015625
2020-04-25,32921.0,28603.36328125,27073.74609375,30109.806640625
2020-04-26,27689.0,30027.76171875,28087.0546875,31667.73046875
2020-04-27,22465.0,29998.109375,28422.5625,32498.853515625
2020-04-28,24535.0,28153.83984375,25666.017578125,30088.16015625
2020-04-29,27520.0,25868.978515625,24011.029296875,29286.169921875
2020-04-30,29629.0,25004.17578125,23216.322265625,29507.525390625
2020-05-01,34162.0,25338.62890625,23531.775390625,28730.677734375
2020-05-02,29195.0,27588.130859375,26068.462890625,29287.32421875
2020-05-03,25587.0,31894.38671875,27853.205078125,34662.15625
2020-05-04,22475.0,33422.375,30573.833984375,37974.0234375
2020-05-05,24185.0,30731.16796875,27476.005859375,34835.6875
2020-05-06,25256.0,25751.263671875,22762.625,29149.732421875
2020-05-07,27882.0,22597.205078125,18969.0234375,28813.119140625
2020-05-08,27178.0,22626.767578125,19292.951171875,27292.01171875
2020-05-09,25733.0,26566.44921875,23985.107421875,28412.39453125
2020-05-10,19764.0,28547.146484375,26181.791015625,30648.783203125
2020-05-11,18878.0,29788.9375,28030.421875,33502.58984375
2020-05-12,22190.0,27777.833984375,25764.20703125,30902.01953125
2020-05-13,20958.0,24304.193359375,22380.638671875,27428.8671875
2020-05-14,27617.0,22017.53515625,19476.150390625,27322.671875
2020-05-15,25300.0,21844.771484375,19401.767578125,26261.51953125
2020-05-16,25101.0,24530.87890625,22936.9296875,27016.845703125
2020-05-17,19004.0,23713.51171875,22100.28125,25006.265625
2020-05-18,21769.0,23975.453125,22896.900390625,26410.52734375
2020-05-19,20449.0,21589.107421875,19882.2421875,23632.19921875
2020-05-20,23807.0,19256.2109375,17969.9296875,23043.474609375
2020-05-21,25355.0,18275.20703125,16191.1572265625,22996.515625
2020-05-22,24141.0,18722.98046875,16308.9306640625,22329.5546875
2020-05-23,21823.0,20703.51953125,19253.306640625,22891.080078125
2020-05-24,20813.0,24819.87109375,22632.5546875,26252.177734375
2020-05-25,18991.0,24487.544921875,23319.529296875,26846.685546875
2020-05-26,18883.0,22354.37109375,20922.736328125,24440.90234375
2020-05-27,18282.0,20409.86328125,19193.142578125,23352.7734375
2020-05-28,22815.0,20006.298828125,18129.84375,23551.787109375
2020-05-29,24504.0,21129.953125,18682.439453125,23516.89453125
2020-05-30,24450.0,23531.490234375,21387.25390625,26054.099609375
2020-05-31,19910.0,20493.22265625,19745.310546875,21320.203125
2020-06-01,17355.0,21015.27734375,19888.0078125,22691.443359375
2020-06-02,20895.0,19649.01171875,18266.626953125,21137.20703125
2020-06-03,19958.0,18405.73828125,17282.142578125,21301.03125
2020-06-04,21351.0,17530.7421875,15582.6796875,21286.056640625
2020-06-05,25224.0,17346.01171875,15270.5693359375,20758.40234375
2020-06-06,22732.0,18444.32421875,17115.51171875,21210.83984375
2020-06-07,17731.0,22035.0078125,20863.3203125,23726.90234375
2020-06-08,17415.0,22981.3671875,21488.03515625,25635.515625
2020-06-09,18127.0,21852.90625,20342.234375,24268.623046875
2020-06-10,20794.0,20325.42578125,18764.619140625,21945.091796875
2020-06-11,22950.0,19330.771484375,17352.50390625,21960.126953125
2020-06-12,25330.0,19382.01171875,17334.767578125,21819.07421875
2020-06-13,25556.0,20893.07421875,19085.58984375,23644.220703125
2020-06-14,19824.0,22135.421875,19900.7890625,24350.15625
2020-06-15,19660.0,22979.591796875,20748.619140625,26178.470703125
2020-06-16,23705.0,21583.38671875,19206.060546875,24592.810546875
2020-06-17,25559.0,19714.55859375,17510.662109375,21922.89453125
2020-06-18,27809.0,18697.02734375,16333.2109375,21085.337890625
2020-06-19,31480.0,19403.80078125,16645.09375,22351.966796875
2020-06-20,32749.0,21675.904296875,18612.033203125,25197.591796875
