,Utah,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,2.9918079376220703,0.0,6.745782852172852
2020-02-03,0.0,2.597862720489502,0.0,5.87218713760376
2020-02-04,0.0,4.617441177368164,1.5632755756378174,6.564757823944092
2020-02-05,0.0,5.67072868347168,3.363614082336426,7.305171489715576
2020-02-06,0.0,6.656729221343994,1.2730770111083984,10.145912170410156
2020-02-07,0.0,7.961111068725586,4.511301517486572,9.715890884399414
2020-02-08,0.0,7.088325023651123,5.256960868835449,8.578856468200684
2020-02-09,0.0,2.9918079376220703,0.0,6.745782852172852
2020-02-10,0.0,2.597862720489502,0.0,5.87218713760376
2020-02-11,0.0,4.617441177368164,1.5632755756378174,6.564757823944092
2020-02-12,0.0,5.67072868347168,3.363614082336426,7.305171489715576
2020-02-13,0.0,6.656729221343994,1.2730770111083984,10.145912170410156
2020-02-14,0.0,7.961111068725586,4.511301517486572,9.715890884399414
2020-02-15,0.0,7.088325023651123,5.256960868835449,8.578856468200684
2020-02-16,0.0,2.9918079376220703,0.0,6.745782852172852
2020-02-17,0.0,2.597862720489502,0.0,5.87218713760376
2020-02-18,0.0,4.617441177368164,1.5632755756378174,6.564757823944092
2020-02-19,0.0,5.67072868347168,3.363614082336426,7.305171489715576
2020-02-20,0.0,6.656729221343994,1.2730770111083984,10.145912170410156
2020-02-21,0.0,7.961111068725586,4.511301517486572,9.715890884399414
2020-02-22,0.0,7.088325023651123,5.256960868835449,8.578856468200684
2020-02-23,0.0,2.9918079376220703,0.0,6.745782852172852
2020-02-24,0.0,2.597862720489502,0.0,5.87218713760376
2020-02-25,0.0,4.617441177368164,1.5632755756378174,6.564757823944092
2020-02-26,0.0,5.67072868347168,3.363614082336426,7.305171489715576
2020-02-27,0.0,6.656729221343994,1.2730770111083984,10.145912170410156
2020-02-28,0.0,7.961111068725586,4.511301517486572,9.715890884399414
2020-02-29,0.0,7.088325023651123,5.256960868835449,8.578856468200684
2020-03-01,0.0,2.9918079376220703,0.0,6.745782852172852
2020-03-02,0.0,2.597862720489502,0.0,5.87218713760376
2020-03-03,0.0,4.617441177368164,1.5632755756378174,6.564757823944092
2020-03-04,0.0,5.67072868347168,3.363614082336426,7.305171489715576
2020-03-05,0.0,6.656729221343994,1.2730770111083984,10.145912170410156
2020-03-06,0.0,7.961111068725586,4.511301517486572,9.715890884399414
