,Vermont,forecast,interval_low,interval_high
2020-01-23,0.0,-0.1501116305589676,-0.7396676540374756,0.0039237141609191895
2020-01-24,0.0,-0.1788896918296814,-0.8715087175369263,-0.0016200542449951172
2020-01-25,0.0,0.006945514585822821,0.001232743263244629,0.01631695032119751
2020-01-26,0.0,-0.004598939325660467,-0.00995701551437378,-0.0010846257209777832
2020-01-27,0.0,-0.07238355278968811,-0.2082517147064209,0.002503514289855957
2020-01-28,0.0,0.052395451813936234,-0.008143901824951172,0.24307027459144592
2020-01-29,0.0,0.05573251098394394,-0.008433699607849121,0.2709464430809021
2020-01-30,0.0,0.0002102732687490061,-0.009695708751678467,0.007091909646987915
2020-01-31,0.0,0.02624274417757988,-0.002291262149810791,0.13580822944641113
2020-02-01,0.0,-0.00026670098304748535,-0.0015448927879333496,0.0005973875522613525
2020-02-02,0.0,-0.009325867518782616,-0.0925142765045166,0.10805049538612366
2020-02-03,0.0,-0.022514527663588524,-0.11094588041305542,0.014977455139160156
2020-02-04,0.0,0.0020556270610541105,-0.001517653465270996,0.006126493215560913
2020-02-05,0.0,-0.0029725313652306795,-0.011114835739135742,0.006699979305267334
2020-02-06,0.0,-0.018738752231001854,-0.07361823320388794,0.005038350820541382
2020-02-07,0.0,0.0067382813431322575,-0.006442546844482422,0.024631232023239136
2020-02-08,0.0,0.002309262752532959,-0.008564651012420654,0.02204832434654236
2020-02-09,0.0,-0.07592664659023285,-0.3663603663444519,0.0008913576602935791
2020-02-10,0.0,0.002799081848934293,-0.025006234645843506,0.02357235550880432
2020-02-11,0.0,-0.01669370010495186,-0.0390629768371582,0.0022535324096679688
2020-02-12,0.0,-0.0030371665488928556,-0.015375077724456787,0.005841076374053955
2020-02-13,0.0,0.03301773592829704,0.008976191282272339,0.10454896092414856
2020-02-14,0.0,-0.08000801503658295,-0.21232205629348755,-0.002995789051055908
2020-02-15,0.0,-0.03495671600103378,-0.17330503463745117,0.07821854948997498
2020-02-16,0.0,0.033127523958683014,-0.0627143383026123,0.18933483958244324
2020-02-17,0.0,-0.030923545360565186,-0.12320619821548462,0.0023450255393981934
