,Washington,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.1558714344060323,,
2020-01-26,0.0,0.2471933822328694,,
2020-01-27,0.0,0.4030972641591897,,
2020-01-28,0.0,0.6419995849872948,,
2020-01-29,0.0,0.7692132026568872,,
2020-01-30,0.0,0.934316737269191,,
2020-01-31,0.0,1.2903391590491085,,
2020-02-01,0.0,1.6443127167598255,,
2020-02-02,0.0,1.9954791281948603,,
2020-02-03,0.0,2.3431043927199244,,
2020-02-04,0.0,2.6864847246128885,,
2020-02-05,0.0,3.0249519469082107,,
2020-02-06,0.0,3.357878264269095,,
2020-02-07,0.0,3.6846803515487108,,
2020-02-08,0.0,4.00482271393525,,
2020-02-09,0.0,4.317820294110307,,
2020-02-10,0.0,4.623240320930252,,
2020-02-11,0.0,4.920703412086956,,
2020-02-12,0.0,5.209883959444856,,
2020-02-13,0.0,5.490509839841373,,
2020-02-14,0.0,5.762361505769859,,
2020-02-15,0.0,6.025270519370713,,
2020-02-16,0.0,6.279117599499567,,
2020-02-17,0.0,6.523830255401309,,
2020-02-18,0.0,6.759380081871433,,
2020-02-19,0.0,6.985779789983681,,
2020-02-20,0.0,7.2030800448084555,,
2020-02-21,0.0,7.411366177373714,,
2020-02-22,0.0,7.610754832771266,,
2020-02-23,0.0,7.801390610122185,,
2020-02-24,0.0,7.983442743398435,,
2020-02-25,0.0,8.157101865136068,,
2020-02-26,0.0,8.322576888111934,,
2020-02-27,0.0,8.48009203329313,,
2020-02-28,0.0,8.62988402596592,,
2020-02-29,6.0,14.772199476028169,,
2020-03-01,4.0,1.5708569461809727,,
2020-03-02,7.0,15.191854129154814,,
2020-03-03,9.0,11.411161750875664,,
2020-03-04,12.0,14.822730817158934,,
2020-03-05,31.0,30.756678694700298,,
2020-03-06,8.0,-21.8256376854262,,
2020-03-07,24.0,61.34901615990572,,
2020-03-08,20.0,8.533223681434384,,
2020-03-09,0.0,11.821130172397694,,
2020-03-10,45.0,90.48619928073512,,
2020-03-11,115.0,61.68497685667785,,
2020-03-12,160.0,15.523428555133421,,
2020-03-13,126.0,-17.06812939629799,,
2020-03-14,74.0,83.2742032896046,,
2020-03-15,-39.0,53.71673149105422,,
2020-03-16,176.0,425.5431893151307,,
2020-03-17,176.0,-106.66690592039669,,
2020-03-18,67.0,4.175586133272645,,
2020-03-19,352.0,544.9454371823833,,
2020-03-20,150.0,-285.771427795957,,
2020-03-21,269.0,446.19383252120014,,
2020-03-22,204.0,22.169464773801735,,
2020-03-23,224.0,356.6594178495318,,
2020-03-24,107.0,80.89848172639697,,
