,Washington,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,11.118232727050781,1.943805456161499,23.894332885742188
2020-02-03,0.0,10.559086799621582,0.0,23.68255615234375
2020-02-04,0.0,21.057376861572266,10.54098892211914,40.75143814086914
2020-02-05,0.0,18.36604881286621,11.607282638549805,28.906108856201172
2020-02-06,0.0,32.38027572631836,26.264081954956055,40.20176315307617
2020-02-07,0.0,42.1849479675293,33.47300338745117,56.98183059692383
2020-02-08,0.0,41.91364669799805,30.861391067504883,52.64915084838867
2020-02-09,0.0,11.118232727050781,1.943805456161499,23.894332885742188
2020-02-10,0.0,10.559086799621582,0.0,23.68255615234375
2020-02-11,0.0,21.057376861572266,10.54098892211914,40.75143814086914
2020-02-12,0.0,18.36604881286621,11.607282638549805,28.906108856201172
2020-02-13,0.0,32.38027572631836,26.264081954956055,40.20176315307617
2020-02-14,0.0,42.1849479675293,33.47300338745117,56.98183059692383
2020-02-15,0.0,41.91364669799805,30.861391067504883,52.64915084838867
2020-02-16,0.0,11.118232727050781,1.943805456161499,23.894332885742188
2020-02-17,0.0,10.559086799621582,0.0,23.68255615234375
2020-02-18,0.0,21.057376861572266,10.54098892211914,40.75143814086914
2020-02-19,0.0,18.36604881286621,11.607282638549805,28.906108856201172
2020-02-20,0.0,32.38027572631836,26.264081954956055,40.20176315307617
2020-02-21,0.0,42.1849479675293,33.47300338745117,56.98183059692383
2020-02-22,0.0,41.91364669799805,30.861391067504883,52.64915084838867
2020-02-23,0.0,11.118232727050781,1.943805456161499,23.894332885742188
2020-02-24,0.0,10.559086799621582,0.0,23.68255615234375
2020-02-25,0.0,21.057376861572266,10.54098892211914,40.75143814086914
2020-02-26,0.0,18.36604881286621,11.607282638549805,28.906108856201172
2020-02-27,0.0,32.38027572631836,26.264081954956055,40.20176315307617
2020-02-28,0.0,42.1849479675293,33.47300338745117,56.98183059692383
2020-02-29,6.0,41.91364669799805,30.861391067504883,52.64915084838867
2020-03-01,4.0,11.118232727050781,1.943805456161499,23.894332885742188
2020-03-02,7.0,10.559086799621582,0.0,23.68255615234375
2020-03-03,9.0,21.057376861572266,10.54098892211914,40.75143814086914
2020-03-04,12.0,18.36604881286621,11.607282638549805,28.906108856201172
2020-03-05,31.0,32.38027572631836,26.264081954956055,40.20176315307617
2020-03-06,8.0,42.1849479675293,33.47300338745117,56.98183059692383
