,West Virginia,forecast,interval_low,interval_high
2020-01-23,0.0,0.5100111961364746,-0.03987365961074829,2.5580947399139404
2020-01-24,0.0,0.001407408737577498,-0.014925837516784668,0.017820924520492554
2020-01-25,0.0,-0.030830740928649902,-0.05657374858856201,-0.0009952783584594727
2020-01-26,0.0,0.11426453292369843,-0.4290468692779541,0.9573500156402588
2020-01-27,0.0,-0.009394812397658825,-0.021956801414489746,-0.0008778572082519531
2020-01-28,0.0,0.7494743466377258,0.015683621168136597,2.641768455505371
2020-01-29,0.0,-0.1599709540605545,-0.8341360092163086,0.016609877347946167
2020-01-30,0.0,1.1581182661757339e-05,-0.013908624649047852,0.012999087572097778
2020-01-31,0.0,-0.21289899945259094,-1.0422953367233276,0.008841514587402344
2020-02-01,0.0,1.493915319442749,0.015958189964294434,5.581324100494385
2020-02-02,0.0,0.5039653778076172,-0.0011563897132873535,2.503667116165161
2020-02-03,0.0,-0.039549123495817184,-0.139845073223114,-0.005685925483703613
2020-02-04,0.0,0.000450563442427665,-0.15932023525238037,0.07003557682037354
2020-02-05,0.0,0.010069632902741432,-0.09053957462310791,0.21762558817863464
2020-02-06,0.0,-0.0061321258544921875,-0.031158506870269775,0.03372770547866821
2020-02-07,0.0,0.2892398536205292,0.019040286540985107,1.233889102935791
2020-02-08,0.0,0.02999718114733696,-0.00837022066116333,0.09235870838165283
2020-02-09,0.0,-1.8154327869415283,-8.90461254119873,-0.016875386238098145
2020-02-10,0.0,0.00994341354817152,-0.13247334957122803,0.09203281998634338
2020-02-11,0.0,-0.1692136824131012,-0.49905240535736084,-0.022011876106262207
2020-02-12,0.0,-0.016227388754487038,-0.17738884687423706,0.08227396011352539
2020-02-13,0.0,-0.12226659059524536,-0.5466209650039673,0.03711742162704468
2020-02-14,0.0,0.06113574653863907,-0.082608163356781,0.40531808137893677
2020-02-15,0.0,-0.015299660153687,-0.08092951774597168,0.08741307258605957
2020-02-16,0.0,0.4762832522392273,-0.3862900733947754,2.7315430641174316
2020-02-17,0.0,-0.04273294284939766,-0.44077521562576294,0.18961694836616516
