,Wisconsin,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,25.883081436157227,23.051647186279297,30.533935546875
2020-02-04,0.0,21.36299705505371,10.544870376586914,29.738235473632812
2020-02-05,0.0,23.17547035217285,22.860702514648438,23.378772735595703
2020-02-06,0.0,37.15602493286133,32.84305953979492,41.96901321411133
2020-02-07,0.0,28.6683292388916,23.39219856262207,33.38077163696289
2020-02-08,0.0,35.15840530395508,9.756646156311035,50.77997970581055
2020-02-09,0.0,36.87382507324219,26.106748580932617,42.67576217651367
2020-02-10,0.0,25.883081436157227,23.051647186279297,30.533935546875
2020-02-11,0.0,21.36299705505371,10.544870376586914,29.738235473632812
2020-02-12,0.0,23.17547035217285,22.860702514648438,23.378772735595703
2020-02-13,0.0,37.15602493286133,32.84305953979492,41.96901321411133
2020-02-14,0.0,28.6683292388916,23.39219856262207,33.38077163696289
2020-02-15,0.0,35.15840530395508,9.756646156311035,50.77997970581055
2020-02-16,0.0,36.87382507324219,26.106748580932617,42.67576217651367
2020-02-17,0.0,25.883081436157227,23.051647186279297,30.533935546875
2020-02-18,0.0,21.36299705505371,10.544870376586914,29.738235473632812
2020-02-19,0.0,23.17547035217285,22.860702514648438,23.378772735595703
2020-02-20,0.0,37.15602493286133,32.84305953979492,41.96901321411133
2020-02-21,0.0,28.6683292388916,23.39219856262207,33.38077163696289
2020-02-22,0.0,35.15840530395508,9.756646156311035,50.77997970581055
2020-02-23,0.0,36.87382507324219,26.106748580932617,42.67576217651367
2020-02-24,0.0,25.883081436157227,23.051647186279297,30.533935546875
2020-02-25,0.0,21.36299705505371,10.544870376586914,29.738235473632812
2020-02-26,0.0,23.17547035217285,22.860702514648438,23.378772735595703
2020-02-27,0.0,37.15602493286133,32.84305953979492,41.96901321411133
2020-02-28,0.0,28.6683292388916,23.39219856262207,33.38077163696289
2020-02-29,0.0,35.15840530395508,9.756646156311035,50.77997970581055
2020-03-01,0.0,36.87382507324219,26.106748580932617,42.67576217651367
2020-03-02,0.0,25.883081436157227,23.051647186279297,30.533935546875
2020-03-03,0.0,21.36299705505371,10.544870376586914,29.738235473632812
2020-03-04,0.0,23.17547035217285,22.860702514648438,23.378772735595703
2020-03-05,0.0,37.15602493286133,32.84305953979492,41.96901321411133
2020-03-06,0.0,28.6683292388916,23.39219856262207,33.38077163696289
