,Arkansas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-02-04,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-02-05,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-02-06,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-02-07,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-02-08,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-02-09,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-02-10,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-02-11,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-02-12,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-02-13,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-02-14,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-02-15,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-02-16,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-02-17,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-02-18,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-02-19,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-02-20,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-02-21,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-02-22,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-02-23,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-02-24,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-02-25,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
2020-02-26,0.0,0.2416108399629593,0.12946969270706177,0.3860630989074707
2020-02-27,0.0,0.23627667129039764,0.1588326245546341,0.30608558654785156
2020-02-28,0.0,0.3190593123435974,0.29980701208114624,0.3509732186794281
2020-02-29,0.0,0.330402672290802,0.1800149530172348,0.45668095350265503
2020-03-01,0.0,0.45528605580329895,0.4218437969684601,0.5101677179336548
2020-03-02,0.0,0.2187410145998001,0.1297266185283661,0.3020334839820862
2020-03-03,0.0,0.22188599407672882,0.12486626207828522,0.39765259623527527
