,Colorado,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.0,0.0,0.9510300755500793
2020-02-03,0.0,0.0,0.0,0.6397164463996887
2020-02-04,0.0,0.2742885649204254,0.0,2.249361753463745
2020-02-05,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-02-06,0.0,0.8225927352905273,0.0,1.577367901802063
2020-02-07,0.0,0.6059491634368896,0.0,1.9959700107574463
2020-02-08,0.0,1.2464356422424316,0.0,3.117373466491699
2020-02-09,0.0,0.0,0.0,0.9510300755500793
2020-02-10,0.0,0.0,0.0,0.6397164463996887
2020-02-11,0.0,0.2742885649204254,0.0,2.249361753463745
2020-02-12,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-02-13,0.0,0.8225927352905273,0.0,1.577367901802063
2020-02-14,0.0,0.6059491634368896,0.0,1.9959700107574463
2020-02-15,0.0,1.2464356422424316,0.0,3.117373466491699
2020-02-16,0.0,0.0,0.0,0.9510300755500793
2020-02-17,0.0,0.0,0.0,0.6397164463996887
2020-02-18,0.0,0.2742885649204254,0.0,2.249361753463745
2020-02-19,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-02-20,0.0,0.8225927352905273,0.0,1.577367901802063
2020-02-21,0.0,0.6059491634368896,0.0,1.9959700107574463
2020-02-22,0.0,1.2464356422424316,0.0,3.117373466491699
2020-02-23,0.0,0.0,0.0,0.9510300755500793
2020-02-24,0.0,0.0,0.0,0.6397164463996887
2020-02-25,0.0,0.2742885649204254,0.0,2.249361753463745
2020-02-26,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-02-27,0.0,0.8225927352905273,0.0,1.577367901802063
2020-02-28,0.0,0.6059491634368896,0.0,1.9959700107574463
2020-02-29,0.0,1.2464356422424316,0.0,3.117373466491699
2020-03-01,0.0,0.0,0.0,0.9510300755500793
2020-03-02,0.0,0.0,0.0,0.6397164463996887
2020-03-03,0.0,0.2742885649204254,0.0,2.249361753463745
2020-03-04,0.0,0.41912174224853516,0.0,2.1034433841705322
2020-03-05,0.0,0.8225927352905273,0.0,1.577367901802063
2020-03-06,0.0,0.6059491634368896,0.0,1.9959700107574463
2020-03-07,0.0,1.2464356422424316,0.0,3.117373466491699
2020-03-08,0.0,0.0,0.0,0.9510300755500793
2020-03-09,0.0,0.0,0.0,0.6397164463996887
