,Florida,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.02629573312722619,0.02629573312722619,0.02629573312722619
2020-01-26,0.0,0.04194181130232498,0.04194181130232498,0.04194181130232498
2020-01-27,0.0,0.057705757523951635,0.057705757523951635,0.057705757523951635
2020-01-28,0.0,0.06802494816850038,0.06802494816850038,0.06802494816850038
2020-01-29,0.0,0.08946509808754691,0.08946509808754691,0.08946509808754691
2020-01-30,0.0,0.11062563036981982,0.11062563036981982,0.11062563036981982
2020-01-31,0.0,0.18087313438482813,0.18087313438482813,0.18087313438482813
2020-02-01,0.0,0.26979122131869354,0.26979122131869354,0.26979122131869354
2020-02-02,0.0,0.3685106802456365,0.3685106802456365,0.3685106802456365
2020-02-03,0.0,0.4697349841476116,0.4697349841476116,0.4697349841476116
2020-02-04,0.0,0.5674788714801533,0.5674788714801533,0.5674788714801533
2020-02-05,0.0,0.6574519425193466,0.6574519425193466,0.6574519425193466
2020-02-06,0.0,0.7371370500511776,0.7371370500511776,0.7371370500511776
2020-02-07,0.0,0.8055528458465758,0.8055528458465758,0.8055528458465758
2020-02-08,0.0,0.8628532187127833,0.8628532187127833,0.8628532187127833
2020-02-09,0.0,0.9099088239158739,0.9099088239158739,0.9099088239158739
2020-02-10,0.0,0.9479572733141688,0.9479572733141688,0.9479572733141688
2020-02-11,0.0,0.978352070082985,0.978352070082985,0.978352070082985
2020-02-12,0.0,1.0024048461532378,1.0024048461532378,1.0024048461532378
2020-02-13,0.0,1.0213002363913806,1.0213002363913806,1.0213002363913806
2020-02-14,0.0,1.0360604518728214,1.0360604518728214,1.0360604518728214
2020-02-15,0.0,1.0475403392104732,1.0475403392104732,1.0475403392104732
2020-02-16,0.0,1.0564390354690134,1.0564390354690134,1.0564390354690134
2020-02-17,0.0,1.063319151204651,1.063319151204651,1.063319151204651
2020-02-18,0.0,1.0686280612838632,1.0686280612838632,1.0686280612838632
2020-02-19,0.0,1.0727183608065969,1.0727183608065969,1.0727183608065969
2020-02-20,0.0,1.0758660989206792,1.0758660989206792,1.0758660989206792
2020-02-21,0.0,1.0782863130544593,1.0782863130544593,1.0782863130544593
2020-02-22,0.0,1.0801458776135173,1.0801458776135173,1.0801458776135173
2020-02-23,0.0,1.0815739179014128,1.0815739179014128,1.0815739179014128
2020-02-24,0.0,1.0826701301854353,1.0826701301854353,1.0826701301854353
2020-02-25,0.0,1.0835113601263213,1.0835113601263213,1.0835113601263213
2020-02-26,0.0,1.0841567645646404,1.0841567645646404,1.0841567645646404
