,Michigan,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,,,
2020-02-03,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-02-04,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-02-05,0.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-02-06,0.0,5.531162261962891,4.964039325714111,5.931339740753174
2020-02-07,0.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-02-08,0.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-02-09,0.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-02-10,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-02-11,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-02-12,0.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-02-13,0.0,5.531162261962891,4.964039325714111,5.931339740753174
2020-02-14,0.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-02-15,0.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-02-16,0.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-02-17,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-02-18,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-02-19,0.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-02-20,0.0,5.531162261962891,4.964039325714111,5.931339740753174
2020-02-21,0.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-02-22,0.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-02-23,0.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-02-24,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-02-25,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-02-26,0.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-02-27,0.0,5.531162261962891,4.964039325714111,5.931339740753174
2020-02-28,0.0,6.3158135414123535,5.90816068649292,6.813898086547852
2020-02-29,0.0,8.261919975280762,7.847996711730957,8.848979949951172
2020-03-01,0.0,7.875447750091553,7.446404933929443,8.1824369430542
2020-03-02,0.0,3.5418148040771484,3.032028913497925,4.145392417907715
2020-03-03,0.0,3.6732473373413086,2.8262155055999756,4.770969867706299
2020-03-04,0.0,4.423503398895264,4.05320405960083,5.067859649658203
2020-03-05,0.0,5.531162261962891,4.964039325714111,5.931339740753174
