,Pennsylvania,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,0.0,0.0,-3.3765676021575928
2020-01-31,0.0,0.0,0.0,-1.0203207731246948
2020-02-01,0.0,0.0,0.0,2.2675256729125977
2020-02-02,0.0,0.752871960401535,0.0,5.14085054397583
2020-02-03,0.0,1.704586672782898,0.0,5.51144552230835
2020-02-04,0.0,2.0152785181999207,0.0,5.51144552230835
2020-02-05,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-06,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-07,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-08,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-09,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-10,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-11,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-12,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-13,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-14,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-15,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-16,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-17,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-18,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-19,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-20,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-21,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-22,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-23,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-24,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-25,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-26,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-27,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-28,0.0,1.9370943818773543,0.0,5.51144552230835
2020-02-29,0.0,1.9370942115783691,0.0,5.51144552230835
2020-03-01,0.0,1.9370941775185722,0.0,5.51144552230835
2020-03-02,0.0,1.93709431375776,0.0,5.51144552230835
2020-03-03,0.0,1.9370944840567452,0.0,5.51144552230835
2020-03-04,0.0,1.9370944499969482,0.0,5.511445045471191
2020-03-05,0.0,1.9370944840567452,0.0,5.511445045471191
2020-03-06,0.0,1.9370943648474557,0.0,5.51144552230835
2020-03-07,0.0,1.9370941945484705,0.0,5.51144552230835
