,Rhode Island,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,0.06543872505426407,0.0,0.49572476744651794
2020-02-03,0.0,0.05721317604184151,0.0,0.3644886314868927
2020-02-04,0.0,0.20168963074684143,0.0,0.4517257809638977
2020-02-05,0.0,0.32053038477897644,0.025046516209840775,0.613883376121521
2020-02-06,0.0,0.25227224826812744,0.0,0.6307710409164429
2020-02-07,0.0,0.3142560124397278,0.0,0.5968186259269714
2020-02-08,0.0,0.4934723973274231,0.08888255059719086,0.7733856439590454
2020-02-09,0.0,0.06543872505426407,0.0,0.49572476744651794
2020-02-10,0.0,0.05721317604184151,0.0,0.3644886314868927
2020-02-11,0.0,0.20168963074684143,0.0,0.4517257809638977
2020-02-12,0.0,0.32053038477897644,0.025046516209840775,0.613883376121521
2020-02-13,0.0,0.25227224826812744,0.0,0.6307710409164429
2020-02-14,0.0,0.3142560124397278,0.0,0.5968186259269714
2020-02-15,0.0,0.4934723973274231,0.08888255059719086,0.7733856439590454
2020-02-16,0.0,0.06543872505426407,0.0,0.49572476744651794
2020-02-17,0.0,0.05721317604184151,0.0,0.3644886314868927
2020-02-18,0.0,0.20168963074684143,0.0,0.4517257809638977
2020-02-19,0.0,0.32053038477897644,0.025046516209840775,0.613883376121521
2020-02-20,0.0,0.25227224826812744,0.0,0.6307710409164429
2020-02-21,0.0,0.3142560124397278,0.0,0.5968186259269714
2020-02-22,0.0,0.4934723973274231,0.08888255059719086,0.7733856439590454
2020-02-23,0.0,0.06543872505426407,0.0,0.49572476744651794
2020-02-24,0.0,0.05721317604184151,0.0,0.3644886314868927
2020-02-25,0.0,0.20168963074684143,0.0,0.4517257809638977
2020-02-26,0.0,0.32053038477897644,0.025046516209840775,0.613883376121521
2020-02-27,0.0,0.25227224826812744,0.0,0.6307710409164429
2020-02-28,0.0,0.3142560124397278,0.0,0.5968186259269714
2020-02-29,0.0,0.4934723973274231,0.08888255059719086,0.7733856439590454
2020-03-01,0.0,0.06543872505426407,0.0,0.49572476744651794
2020-03-02,0.0,0.05721317604184151,0.0,0.3644886314868927
2020-03-03,0.0,0.20168963074684143,0.0,0.4517257809638977
2020-03-04,0.0,0.32053038477897644,0.025046516209840775,0.613883376121521
2020-03-05,0.0,0.25227224826812744,0.0,0.6307710409164429
2020-03-06,0.0,0.3142560124397278,0.0,0.5968186259269714
