,Texas,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,0.03502373860919216,0.03502373860919216,0.03502373860919216
2020-01-26,0.0,0.053965163521086185,0.053965163521086185,0.053965163521086185
2020-01-27,0.0,0.06607393838200193,0.06607393838200193,0.06607393838200193
2020-01-28,0.0,0.07720295904079778,0.07720295904079778,0.07720295904079778
2020-01-29,0.0,0.09885670830880694,0.09885670830880694,0.09885670830880694
2020-01-30,0.0,0.14628711324895077,0.14628711324895077,0.14628711324895077
2020-01-31,0.0,0.20824872763276722,0.20824872763276722,0.20824872763276722
2020-02-01,0.0,0.28089491251078824,0.28089491251078824,0.28089491251078824
2020-02-02,0.0,0.36104704560387807,0.36104704560387807,0.36104704560387807
2020-02-03,0.0,0.44542364925360967,0.44542364925360967,0.44542364925360967
2020-02-04,0.0,0.5306624655663318,0.5306624655663318,0.5306624655663318
2020-02-05,0.0,0.613562176711115,0.613562176711115,0.613562176711115
2020-02-06,0.0,0.6913709959016391,0.6913709959016391,0.6913709959016391
2020-02-07,0.0,0.7620185308264537,0.7620185308264537,0.7620185308264537
2020-02-08,0.0,0.8242295490459174,0.8242295490459174,0.8242295490459174
2020-02-09,0.0,0.8775057965507768,0.8775057965507768,0.8775057965507768
2020-02-10,0.0,0.922003048538416,0.922003048538416,0.922003048538416
2020-02-11,0.0,0.9583518248670546,0.9583518248670546,0.9583518248670546
2020-02-12,0.0,0.9874697557427804,0.9874697557427804,0.9874697557427804
2020-02-13,0.0,1.0103993079080344,1.0103993079080344,1.0103993079080344
2020-02-14,0.0,1.0281867781166534,1.0281867781166534,1.0281867781166534
2020-02-15,0.0,1.0418041929268023,1.0418041929268023,1.0418041929268023
2020-02-16,0.0,1.0521074691879166,1.0521074691879166,1.0521074691879166
2020-02-17,0.0,1.0598211604283152,1.0598211604283152,1.0598211604283152
2020-02-18,0.0,1.065540424355983,1.065540424355983,1.065540424355983
2020-02-19,0.0,1.0697426962005294,1.0697426962005294,1.0697426962005294
2020-02-20,0.0,1.0728037446634822,1.0728037446634822,1.0728037446634822
2020-02-21,0.0,1.0750147150224307,1.0750147150224307,1.0750147150224307
2020-02-22,0.0,1.0765982215034038,1.0765982215034038,1.0765982215034038
2020-02-23,0.0,1.077722545107836,1.077722545107836,1.077722545107836
2020-02-24,0.0,1.078513614712988,1.078513614712988,1.078513614712988
2020-02-25,0.0,1.0790648043174347,1.0790648043174347,1.0790648043174347
2020-02-26,0.0,1.0794447586551184,1.0794447586551184,1.0794447586551184
2020-02-27,0.0,1.0797035308772174,1.0797035308772174,1.0797035308772174
