,Total,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,36.60193634033203,36.60193634033203,36.60193634033203
2020-01-31,0.0,59.14153289794922,36.60193634033203,81.6811294555664
2020-02-01,0.0,67.71878051757812,36.60193634033203,84.87327575683594
2020-02-02,0.0,75.37435150146484,36.60193634033203,98.341064453125
2020-02-03,0.0,84.42965850830078,36.60193634033203,120.65088653564453
2020-02-04,0.0,90.15018971761067,36.60193634033203,120.65088653564453
2020-02-05,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-06,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-07,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-08,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-09,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-10,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-11,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-12,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-13,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-14,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-15,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-16,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-17,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-18,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-19,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-20,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-21,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-22,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-23,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-24,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-25,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-26,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-27,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-28,0.0,97.78081621442523,36.60193634033203,143.5645751953125
2020-02-29,1.0,97.78081784929547,36.60194778442383,143.5645751953125
2020-03-01,0.0,97.80692890712193,36.784732818603516,143.5645751953125
2020-03-02,5.0,97.80662536621094,36.731483459472656,143.5645751953125
2020-03-03,1.0,97.94012887137276,37.62042999267578,143.5645751953125
