,Washington,forecast,interval_low,interval_high
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,1.4488588571548462,1.1004964113235474,1.9753203392028809
2020-02-03,0.0,1.3629913330078125,0.8726974725723267,1.6830039024353027
2020-02-04,0.0,2.049363136291504,1.266373872756958,2.790012836456299
2020-02-05,0.0,1.8211095333099365,1.4353480339050293,2.3592910766601562
2020-02-06,0.0,2.277468204498291,1.8666855096817017,3.0958352088928223
2020-02-07,0.0,2.678980588912964,1.8468360900878906,3.2703018188476562
2020-02-08,0.0,2.4016411304473877,1.9446262121200562,3.3748886585235596
2020-02-09,0.0,1.4488588571548462,1.1004964113235474,1.9753203392028809
2020-02-10,0.0,1.3629913330078125,0.8726974725723267,1.6830039024353027
2020-02-11,0.0,2.049363136291504,1.266373872756958,2.790012836456299
2020-02-12,0.0,1.8211095333099365,1.4353480339050293,2.3592910766601562
2020-02-13,0.0,2.277468204498291,1.8666855096817017,3.0958352088928223
2020-02-14,0.0,2.678980588912964,1.8468360900878906,3.2703018188476562
2020-02-15,0.0,2.4016411304473877,1.9446262121200562,3.3748886585235596
2020-02-16,0.0,1.4488588571548462,1.1004964113235474,1.9753203392028809
2020-02-17,0.0,1.3629913330078125,0.8726974725723267,1.6830039024353027
2020-02-18,0.0,2.049363136291504,1.266373872756958,2.790012836456299
2020-02-19,0.0,1.8211095333099365,1.4353480339050293,2.3592910766601562
2020-02-20,0.0,2.277468204498291,1.8666855096817017,3.0958352088928223
2020-02-21,0.0,2.678980588912964,1.8468360900878906,3.2703018188476562
2020-02-22,0.0,2.4016411304473877,1.9446262121200562,3.3748886585235596
2020-02-23,0.0,1.4488588571548462,1.1004964113235474,1.9753203392028809
2020-02-24,0.0,1.3629913330078125,0.8726974725723267,1.6830039024353027
2020-02-25,0.0,2.049363136291504,1.266373872756958,2.790012836456299
2020-02-26,0.0,1.8211095333099365,1.4353480339050293,2.3592910766601562
2020-02-27,0.0,2.277468204498291,1.8666855096817017,3.0958352088928223
2020-02-28,0.0,2.678980588912964,1.8468360900878906,3.2703018188476562
2020-02-29,1.0,2.4016411304473877,1.9446262121200562,3.3748886585235596
2020-03-01,0.0,1.4488588571548462,1.1004964113235474,1.9753203392028809
2020-03-02,5.0,1.3629913330078125,0.8726974725723267,1.6830039024353027
2020-03-03,1.0,2.049363136291504,1.266373872756958,2.790012836456299
