,California,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,373307.1767555864,,
2020-01-25,0.0,373333.1990284129,,
2020-01-26,2.0,373348.10181814927,,
2020-01-27,2.0,373357.12904050614,,
2020-01-28,2.0,373388.7624539945,,
2020-01-29,2.0,373427.959174291,,
2020-01-30,2.0,373470.43857409747,,
2020-01-31,3.0,373502.91806175007,,
2020-02-01,3.0,373508.94747766294,,
2020-02-02,3.0,373489.7149418872,,
2020-02-03,6.0,373455.66201656,,
2020-02-04,6.0,373421.1836897024,,
2020-02-05,6.0,373403.8098245,,
2020-02-06,6.0,373394.2871332835,,
2020-02-07,6.0,373395.76891815383,,
2020-02-08,6.0,373406.65558017395,,
2020-02-09,6.0,373422.7260241569,,
2020-02-10,6.0,373439.791695799,,
2020-02-11,7.0,373452.4400922581,,
2020-02-12,7.0,373454.89471716725,,
2020-02-13,8.0,373449.1981013047,,
2020-02-14,8.0,373434.22183290264,,
2020-02-15,8.0,373420.35960276827,,
2020-02-16,8.0,373409.0110032651,,
2020-02-17,8.0,373403.6439298658,,
2020-02-18,8.0,373404.88985066797,,
2020-02-19,8.0,373411.4030397479,,
2020-02-20,8.0,373421.25126076007,,
2020-02-21,10.0,373431.61692687526,,
2020-02-22,10.0,373437.1328902978,,
2020-02-23,10.0,373441.6984692795,,
2020-02-24,10.0,373437.3904779332,,
2020-02-25,10.0,373428.80278053007,,
2020-02-26,10.0,373419.6073907889,,
2020-02-27,11.0,373412.14018396154,,
2020-02-28,11.0,373407.3114406989,,
2020-02-29,12.0,373409.0408136756,,
2020-03-01,12.0,373412.2085441021,,
2020-03-02,21.0,373420.22109174525,,
2020-03-03,25.0,373418.2218189391,,
2020-03-04,35.0,373430.7006785284,,
2020-03-05,51.0,373426.3062452134,,
2020-03-06,59.0,373418.7534666559,,
2020-03-07,81.0,373425.3316403788,,
2020-03-08,95.0,373405.13196588395,,
2020-03-09,101.0,373413.0684485314,,
2020-03-10,144.0,373422.1153918429,,
2020-03-11,178.0,373383.37540444144,,
2020-03-12,221.0,373404.7058840017,,
2020-03-13,281.0,373401.9493726092,,
2020-03-14,372.0,373388.9469796317,,
2020-03-15,373.0,373368.9403363432,,
2020-03-16,557.0,373479.83843507146,,
2020-03-17,700.0,373281.1753918562,,
2020-03-18,831.0,373360.63192573324,,
2020-03-19,1009.0,373393.46067685774,,
2020-03-20,1243.0,373339.3850396096,,
2020-03-21,1412.0,373314.7206430965,,
2020-03-22,1651.0,373427.5829279637,,
2020-03-23,2113.0,373371.88269716076,,
2020-03-24,2542.0,373168.0783616744,,
2020-03-25,3009.0,373274.9957898633,,
2020-03-26,3910.0,373259.0954208654,,
2020-03-27,4679.0,372825.14758582105,,
2020-03-28,5110.0,373116.7973860494,,
