,Colorado,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,39328.7355869728,,
2020-01-25,0.0,39329.40505854863,,
2020-01-26,0.0,39329.90229815651,,
2020-01-27,0.0,39330.64761067641,,
2020-01-28,0.0,39331.7400724399,,
2020-01-29,0.0,39333.43978168284,,
2020-01-30,0.0,39334.4951515127,,
2020-01-31,0.0,39333.82272247369,,
2020-02-01,0.0,39332.334077741725,,
2020-02-02,0.0,39331.450600348864,,
2020-02-03,0.0,39331.48127588257,,
2020-02-04,0.0,39332.13898456003,,
2020-02-05,0.0,39332.898285328214,,
2020-02-06,0.0,39333.1272036522,,
2020-02-07,0.0,39332.637723301246,,
2020-02-08,0.0,39331.960511425204,,
2020-02-09,0.0,39331.64867303415,,
2020-02-10,0.0,39331.822579074156,,
2020-02-11,0.0,39332.278523348796,,
2020-02-12,0.0,39332.647623570236,,
2020-02-13,0.0,39332.622772647526,,
2020-02-14,0.0,39332.257907756415,,
2020-02-15,0.0,39331.90178925116,,
2020-02-16,0.0,39331.81788330077,,
2020-02-17,0.0,39332.016709945594,,
2020-02-18,0.0,39332.31635498463,,
2020-02-19,0.0,39332.4720412098,,
2020-02-20,0.0,39332.364065907845,,
2020-02-21,0.0,39332.11015453457,,
2020-02-22,0.0,39331.93230448465,,
2020-02-23,0.0,39331.95101746339,,
2020-02-24,0.0,39332.12397890691,,
2020-02-25,0.0,39332.302299651434,,
2020-02-26,0.0,39332.34243909394,,
2020-02-27,0.0,39332.22402938755,,
2020-02-28,0.0,39332.06152218743,,
2020-02-29,0.0,39331.98747255778,,
2020-03-01,0.0,39332.04505667787,,
2020-03-02,0.0,39332.17406371488,,
2020-03-03,0.0,39332.26642595408,,
2020-03-04,0.0,39332.25136080205,,
2020-03-05,2.0,39332.15227777172,,
2020-03-06,8.0,39330.978781519094,,
2020-03-07,8.0,39329.20993170322,,
2020-03-08,8.0,39333.62463202013,,
2020-03-09,12.0,39333.22005735214,,
2020-03-10,17.0,39330.40340927019,,
2020-03-11,34.0,39330.27241999324,,
2020-03-12,49.0,39325.35720907128,,
2020-03-13,78.0,39329.36929170559,,
2020-03-14,103.0,39322.51342875941,,
2020-03-15,136.0,39327.649336097085,,
2020-03-16,161.0,39324.389884793105,,
2020-03-17,183.0,39332.58294445603,,
2020-03-18,216.0,39334.87365401405,,
2020-03-19,278.0,39329.46638749939,,
2020-03-20,364.0,39315.006461135665,,
2020-03-21,475.0,39309.086595623965,,
2020-03-22,595.0,39304.342319362186,,
2020-03-23,723.0,39308.29820675729,,
2020-03-24,912.0,39310.60966317302,,
2020-03-25,1087.0,39286.208285374654,,
2020-03-26,1430.0,39314.99743825703,,
2020-03-27,1738.0,39238.184914129815,,
2020-03-28,2061.0,39296.02389934878,,
