,Connecticut,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,250.3600616455078,95.13595581054688,406.2171936035156
2020-02-03,0.0,328.22125244140625,157.4363555908203,513.4542236328125
2020-02-04,0.0,330.8826904296875,152.37632751464844,515.4591064453125
2020-02-05,0.0,561.5853271484375,344.5804443359375,780.8005981445312
2020-02-06,0.0,658.0016479492188,338.8953552246094,973.7846069335938
2020-02-07,0.0,792.9807739257812,467.5843505859375,1104.28125
2020-02-08,0.0,855.9769897460938,413.07537841796875,1347.5914306640625
2020-02-09,0.0,250.3600616455078,95.13595581054688,406.2171936035156
2020-02-10,0.0,328.22125244140625,157.4363555908203,513.4542236328125
2020-02-11,0.0,330.8826904296875,152.37632751464844,515.4591064453125
2020-02-12,0.0,561.5853271484375,344.5804443359375,780.8005981445312
2020-02-13,0.0,658.0016479492188,338.8953552246094,973.7846069335938
2020-02-14,0.0,792.9807739257812,467.5843505859375,1104.28125
2020-02-15,0.0,855.9769897460938,413.07537841796875,1347.5914306640625
2020-02-16,0.0,250.3600616455078,95.13595581054688,406.2171936035156
2020-02-17,0.0,328.22125244140625,157.4363555908203,513.4542236328125
2020-02-18,0.0,330.8826904296875,152.37632751464844,515.4591064453125
2020-02-19,0.0,561.5853271484375,344.5804443359375,780.8005981445312
2020-02-20,0.0,658.0016479492188,338.8953552246094,973.7846069335938
2020-02-21,0.0,792.9807739257812,467.5843505859375,1104.28125
2020-02-22,0.0,855.9769897460938,413.07537841796875,1347.5914306640625
2020-02-23,0.0,250.3600616455078,95.13595581054688,406.2171936035156
2020-02-24,0.0,328.22125244140625,157.4363555908203,513.4542236328125
2020-02-25,0.0,330.8826904296875,152.37632751464844,515.4591064453125
2020-02-26,0.0,561.5853271484375,344.5804443359375,780.8005981445312
2020-02-27,0.0,658.0016479492188,338.8953552246094,973.7846069335938
2020-02-28,0.0,792.9807739257812,467.5843505859375,1104.28125
2020-02-29,0.0,855.9769897460938,413.07537841796875,1347.5914306640625
2020-03-01,0.0,250.3600616455078,95.13595581054688,406.2171936035156
2020-03-02,0.0,328.22125244140625,157.4363555908203,513.4542236328125
2020-03-03,0.0,330.8826904296875,152.37632751464844,515.4591064453125
2020-03-04,0.0,561.5853271484375,344.5804443359375,780.8005981445312
2020-03-05,0.0,658.0016479492188,338.8953552246094,973.7846069335938
2020-03-06,0.0,792.9807739257812,467.5843505859375,1104.28125
2020-03-07,0.0,855.9769897460938,413.07537841796875,1347.5914306640625
2020-03-08,0.0,250.3600616455078,95.13595581054688,406.2171936035156
