,Diamond Princess,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,49.27516191781453,,
2020-01-24,0.0,49.27684635703094,,
2020-01-25,0.0,49.27855155424353,,
2020-01-26,0.0,49.268572308877836,,
2020-01-27,0.0,49.27011428330171,,
2020-01-28,0.0,49.27167406146503,,
2020-01-29,0.0,49.27167406146503,,
2020-01-30,0.0,49.27167406146503,,
2020-01-31,0.0,49.27167406146503,,
2020-02-01,0.0,49.27167406146503,,
2020-02-02,0.0,49.27167406146503,,
2020-02-03,0.0,49.27167406146503,,
2020-02-04,0.0,49.27167406146503,,
2020-02-05,0.0,49.27167406146503,,
2020-02-06,0.0,49.27167406146503,,
2020-02-07,0.0,49.27167406146503,,
2020-02-08,0.0,49.27167406146503,,
2020-02-09,0.0,49.27167406146503,,
2020-02-10,0.0,49.27167406146503,,
2020-02-11,0.0,49.27167406146503,,
2020-02-12,0.0,49.27167406146503,,
2020-02-13,0.0,49.27167406146503,,
2020-02-14,0.0,49.27167406146503,,
2020-02-15,0.0,49.27167406146503,,
2020-02-16,0.0,49.27167406146503,,
2020-02-17,0.0,49.27167406146503,,
2020-02-18,0.0,49.27167406146503,,
2020-02-19,0.0,49.27167406146503,,
2020-02-20,0.0,49.27167406146503,,
2020-02-21,0.0,49.27167406146503,,
2020-02-22,0.0,49.27167406146503,,
2020-02-23,0.0,49.27167406146503,,
2020-02-24,0.0,49.27167406146503,,
2020-02-25,0.0,49.27167406146503,,
2020-02-26,0.0,49.27167406146503,,
2020-02-27,0.0,49.27167406146503,,
2020-02-28,0.0,49.27167406146503,,
2020-02-29,0.0,49.27167406146503,,
2020-03-01,0.0,49.27167406146503,,
2020-03-02,0.0,49.27167406146503,,
2020-03-03,0.0,49.27167406146503,,
2020-03-04,0.0,49.27167406146503,,
2020-03-05,0.0,49.27167406146503,,
2020-03-06,0.0,49.27167406146503,,
2020-03-07,0.0,49.27167406146503,,
2020-03-08,0.0,49.27167406146503,,
2020-03-09,0.0,49.27167406146503,,
2020-03-10,0.0,49.27167406146503,,
2020-03-11,0.0,49.27167406146503,,
2020-03-12,0.0,49.27167406146503,,
2020-03-13,0.0,49.27167406146503,,
2020-03-14,0.0,49.27167406146503,,
2020-03-15,0.0,49.27167406146503,,
2020-03-16,0.0,49.27167406146503,,
2020-03-17,47.0,49.27167406146503,,
2020-03-18,47.0,49.00066555826185,,
2020-03-19,47.0,49.00066640512878,,
2020-03-20,49.0,50.95224844913092,,
2020-03-21,49.0,48.98874120115478,,
2020-03-22,49.0,48.988739757984355,,
2020-03-23,49.0,49.34318786519549,,
2020-03-24,49.0,49.2601251004617,,
2020-03-25,49.0,49.26012503751671,,
2020-03-26,49.0,49.27167406146503,,
2020-03-27,49.0,49.27167406146503,,
2020-03-28,49.0,49.27167406146503,,
2020-03-29,49.0,49.27167406146503,,
2020-03-30,49.0,49.27167406146503,,
2020-03-31,49.0,49.27167406146503,,
2020-04-01,49.0,49.27167406146503,,
2020-04-02,49.0,49.27167406146503,,
2020-04-03,49.0,49.27167406146503,,
2020-04-04,49.0,49.27167406146503,,
2020-04-05,49.0,49.27167406146503,,
2020-04-06,49.0,49.27167406146503,,
2020-04-07,49.0,49.27167406146503,,
2020-04-08,49.0,49.27167406146503,,
2020-04-09,49.0,49.27167406146503,,
2020-04-10,49.0,49.27167406146503,,
2020-04-11,49.0,49.27167406146503,,
2020-04-12,49.0,49.27167406146503,,
2020-04-13,49.0,49.27167406146503,,
2020-04-14,49.0,49.27167406146503,,
2020-04-15,49.0,49.27167406146503,,
2020-04-16,49.0,49.27167406146503,,
2020-04-17,49.0,49.27167406146503,,
2020-04-18,49.0,49.27167406146503,,
2020-04-19,49.0,49.27167406146503,,
2020-04-20,49.0,49.27167406146503,,
2020-04-21,49.0,49.27167406146503,,
2020-04-22,49.0,49.27167406146503,,
2020-04-23,49.0,49.27167406146503,,
2020-04-24,49.0,49.27167406146503,,
2020-04-25,49.0,49.27167406146503,,
2020-04-26,49.0,49.27167406146503,,
2020-04-27,49.0,49.27167406146503,,
2020-04-28,49.0,49.27167406146503,,
2020-04-29,49.0,49.27167406146503,,
2020-04-30,49.0,49.27167406146503,,
2020-05-01,49.0,49.27167406146503,,
2020-05-02,49.0,49.27167406146503,,
2020-05-03,49.0,49.27167406146503,,
2020-05-04,49.0,49.27167406146503,,
2020-05-05,49.0,49.27167406146503,,
2020-05-06,49.0,49.27167406146503,,
2020-05-07,49.0,49.27167406146503,,
2020-05-08,49.0,49.27167406146503,,
2020-05-09,49.0,49.27167406146503,,
2020-05-10,49.0,49.27167406146503,,
2020-05-11,49.0,49.27167406146503,,
2020-05-12,49.0,49.27167406146503,,
2020-05-13,49.0,49.27167406146503,,
2020-05-14,49.0,49.27167406146503,,
2020-05-15,49.0,49.27167406146503,,
2020-05-16,49.0,49.27167406146503,,
2020-05-17,49.0,49.27167406146503,,
2020-05-18,49.0,49.27167406146503,,
2020-05-19,49.0,49.27167406146503,,
2020-05-20,49.0,49.27167406146503,,
2020-05-21,49.0,49.27167406146503,,
2020-05-22,49.0,49.27167406146503,,
2020-05-23,49.0,49.27167406146503,,
2020-05-24,49.0,49.27167406146503,,
2020-05-25,49.0,49.27167406146503,,
