,Florida,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,327306.40341795434,,
2020-01-25,0.0,327318.85475406045,,
2020-01-26,0.0,327341.1891727493,,
2020-01-27,0.0,327366.7957021825,,
2020-01-28,0.0,327364.78989589756,,
2020-01-29,0.0,327403.5840791798,,
2020-01-30,0.0,327445.80349875765,,
2020-01-31,0.0,327450.205844507,,
2020-02-01,0.0,327418.87616682594,,
2020-02-02,0.0,327394.46589580603,,
2020-02-03,0.0,327392.1977224107,,
2020-02-04,0.0,327404.2750605446,,
2020-02-05,0.0,327416.73167477665,,
2020-02-06,0.0,327418.4018868764,,
2020-02-07,0.0,327410.6094206071,,
2020-02-08,0.0,327403.3071582605,,
2020-02-09,0.0,327402.3363131482,,
2020-02-10,0.0,327406.26905288495,,
2020-02-11,0.0,327410.30249480705,,
2020-02-12,0.0,327410.93213223416,,
2020-02-13,0.0,327408.6274588047,,
2020-02-14,0.0,327406.30558193143,,
2020-02-15,0.0,327405.9267541032,,
2020-02-16,0.0,327407.1719077806,,
2020-02-17,0.0,327408.4785185124,,
2020-02-18,0.0,327408.71330426715,,
2020-02-19,0.0,327408.0085557343,,
2020-02-20,0.0,327407.2631979291,,
2020-02-21,0.0,327407.1214929472,,
2020-02-22,0.0,327407.5098821481,,
2020-02-23,0.0,327407.93158054916,,
2020-02-24,0.0,327408.0176191114,,
2020-02-25,0.0,327407.8004576717,,
2020-02-26,0.0,327407.5608062526,,
2020-02-27,0.0,327407.50913145643,,
2020-02-28,0.0,327407.629475929,,
2020-02-29,0.0,327407.76525625435,,
2020-03-01,0.0,327407.7962725785,,
2020-03-02,1.0,327407.7292963407,,
2020-03-03,2.0,327407.228545921,,
2020-03-04,2.0,327407.2264170706,,
2020-03-05,3.0,327407.7613985486,,
2020-03-06,3.0,327407.607239419,,
2020-03-07,7.0,327407.7639070357,,
2020-03-08,10.0,327405.9775738192,,
2020-03-09,13.0,327407.0760402641,,
2020-03-10,15.0,327406.90019438614,,
2020-03-11,24.0,327408.2573812951,,
2020-03-12,30.0,327404.03170138935,,
2020-03-13,50.0,327405.89273758495,,
2020-03-14,76.0,327401.0325373084,,
2020-03-15,100.0,327400.7429224854,,
2020-03-16,101.0,327400.0408152334,,
2020-03-17,190.0,327414.3249541179,,
2020-03-18,306.0,327375.9398158677,,
2020-03-19,432.0,327364.4032747598,,
2020-03-20,564.0,327365.7111390314,,
2020-03-21,763.0,327394.1485809248,,
2020-03-22,1004.0,327350.31929777877,,
2020-03-23,1227.0,327332.5667346543,,
2020-03-24,1412.0,327365.4508127891,,
2020-03-25,1682.0,327420.076481977,,
2020-03-26,2357.0,327383.14670011733,,
2020-03-27,2900.0,327195.5150291787,,
2020-03-28,3763.0,327269.3337518981,,
2020-03-29,4246.0,327204.0170614785,,
