,Georgia,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,1101.50390625,936.9863891601562,1185.9449462890625
2020-02-03,0.0,1208.5989990234375,1084.0023193359375,1397.7528076171875
2020-02-04,0.0,1394.6805419921875,1259.2396240234375,1475.738037109375
2020-02-05,0.0,1724.1239013671875,1601.277587890625,1836.3720703125
2020-02-06,0.0,2014.8812255859375,1870.0982666015625,2150.127197265625
2020-02-07,0.0,2216.483154296875,2092.5361328125,2361.069580078125
2020-02-08,0.0,2210.269287109375,2104.765380859375,2326.1494140625
2020-02-09,0.0,1101.50390625,936.9863891601562,1185.9449462890625
2020-02-10,0.0,1208.5989990234375,1084.0023193359375,1397.7528076171875
2020-02-11,0.0,1394.6805419921875,1259.2396240234375,1475.738037109375
2020-02-12,0.0,1724.1239013671875,1601.277587890625,1836.3720703125
2020-02-13,0.0,2014.8812255859375,1870.0982666015625,2150.127197265625
2020-02-14,0.0,2216.483154296875,2092.5361328125,2361.069580078125
2020-02-15,0.0,2210.269287109375,2104.765380859375,2326.1494140625
2020-02-16,0.0,1101.50390625,936.9863891601562,1185.9449462890625
2020-02-17,0.0,1208.5989990234375,1084.0023193359375,1397.7528076171875
2020-02-18,0.0,1394.6805419921875,1259.2396240234375,1475.738037109375
2020-02-19,0.0,1724.1239013671875,1601.277587890625,1836.3720703125
2020-02-20,0.0,2014.8812255859375,1870.0982666015625,2150.127197265625
2020-02-21,0.0,2216.483154296875,2092.5361328125,2361.069580078125
2020-02-22,0.0,2210.269287109375,2104.765380859375,2326.1494140625
2020-02-23,0.0,1101.50390625,936.9863891601562,1185.9449462890625
2020-02-24,0.0,1208.5989990234375,1084.0023193359375,1397.7528076171875
2020-02-25,0.0,1394.6805419921875,1259.2396240234375,1475.738037109375
2020-02-26,0.0,1724.1239013671875,1601.277587890625,1836.3720703125
2020-02-27,0.0,2014.8812255859375,1870.0982666015625,2150.127197265625
2020-02-28,0.0,2216.483154296875,2092.5361328125,2361.069580078125
2020-02-29,0.0,2210.269287109375,2104.765380859375,2326.1494140625
2020-03-01,0.0,1101.50390625,936.9863891601562,1185.9449462890625
2020-03-02,0.0,1208.5989990234375,1084.0023193359375,1397.7528076171875
2020-03-03,2.0,1394.6805419921875,1259.2396240234375,1475.738037109375
2020-03-04,2.0,1724.1239013671875,1601.277587890625,1836.3720703125
2020-03-05,2.0,2014.8812255859375,1870.0982666015625,2150.127197265625
2020-03-06,3.0,2216.483154296875,2092.5361328125,2361.069580078125
