,Guam,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,314.00293015919505,,
2020-01-25,0.0,314.00423992372004,,
2020-01-26,0.0,314.00563367052354,,
2020-01-27,0.0,314.0074416094164,,
2020-01-28,0.0,314.0094592779127,,
2020-01-29,0.0,314.0123390806926,,
2020-01-30,0.0,314.0123390806926,,
2020-01-31,0.0,314.0123390806926,,
2020-02-01,0.0,314.0123390806926,,
2020-02-02,0.0,314.0123390806926,,
2020-02-03,0.0,314.0123390806926,,
2020-02-04,0.0,314.0123390806926,,
2020-02-05,0.0,314.0123390806926,,
2020-02-06,0.0,314.0123390806926,,
2020-02-07,0.0,314.0123390806926,,
2020-02-08,0.0,314.0123390806926,,
2020-02-09,0.0,314.0123390806926,,
2020-02-10,0.0,314.0123390806926,,
2020-02-11,0.0,314.0123390806926,,
2020-02-12,0.0,314.0123390806926,,
2020-02-13,0.0,314.0123390806926,,
2020-02-14,0.0,314.0123390806926,,
2020-02-15,0.0,314.0123390806926,,
2020-02-16,0.0,314.0123390806926,,
2020-02-17,0.0,314.0123390806926,,
2020-02-18,0.0,314.0123390806926,,
2020-02-19,0.0,314.0123390806926,,
2020-02-20,0.0,314.0123390806926,,
2020-02-21,0.0,314.0123390806926,,
2020-02-22,0.0,314.0123390806926,,
2020-02-23,0.0,314.0123390806926,,
2020-02-24,0.0,314.0123390806926,,
2020-02-25,0.0,314.0123390806926,,
2020-02-26,0.0,314.0123390806926,,
2020-02-27,0.0,314.0123390806926,,
2020-02-28,0.0,314.0123390806926,,
2020-02-29,0.0,314.0123390806926,,
2020-03-01,0.0,314.0123390806926,,
2020-03-02,0.0,314.0123390806926,,
2020-03-03,0.0,314.0123390806926,,
2020-03-04,0.0,314.0123390806926,,
2020-03-05,0.0,314.0123390806926,,
2020-03-06,0.0,314.0123390806926,,
2020-03-07,0.0,314.0123390806926,,
2020-03-08,0.0,314.0123390806926,,
2020-03-09,0.0,314.0123390806926,,
2020-03-10,0.0,314.0123390806926,,
2020-03-11,0.0,314.0123390806926,,
2020-03-12,0.0,314.0123390806926,,
2020-03-13,0.0,314.0123390806926,,
2020-03-14,0.0,314.0123390806926,,
2020-03-15,0.0,314.0123390806926,,
2020-03-16,3.0,314.0123390806926,,
2020-03-17,3.0,311.4054065877253,,
2020-03-18,5.0,314.17258763182804,,
2020-03-19,12.0,312.5864964070668,,
2020-03-20,14.0,308.63923042953945,,
2020-03-21,15.0,313.4747159973522,,
2020-03-22,27.0,315.293716754671,,
2020-03-23,29.0,305.66509942193375,,
2020-03-24,32.0,315.4730363853564,,
2020-03-25,37.0,315.5049795174315,,
2020-03-26,45.0,313.26237973986093,,
2020-03-27,51.0,310.8194637659145,,
2020-03-28,55.0,314.4144270365905,,
2020-03-29,56.0,313.921289510235,,
