,Illinois,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,1.0,,,
2020-01-25,1.0,,,
2020-01-26,1.0,,,
2020-01-27,1.0,,,
2020-01-28,1.0,,,
2020-01-29,1.0,,,
2020-01-30,1.0,,,
2020-01-31,2.0,,,
2020-02-01,2.0,,,
2020-02-02,2.0,835.8265991210938,480.2262878417969,1247.4375
2020-02-03,2.0,978.6900024414062,558.3338623046875,1512.7320556640625
2020-02-04,2.0,1426.6070556640625,964.0436401367188,2063.991943359375
2020-02-05,2.0,1656.0869140625,1051.2366943359375,2607.500244140625
2020-02-06,2.0,1701.90869140625,1119.7584228515625,2471.8017578125
2020-02-07,2.0,2216.355712890625,1523.5361328125,3286.895263671875
2020-02-08,2.0,2451.177001953125,1681.2412109375,3608.543701171875
2020-02-09,2.0,837.156494140625,481.51470947265625,1248.7066650390625
2020-02-10,2.0,980.1380004882812,559.7352905273438,1514.0869140625
2020-02-11,2.0,1428.0435791015625,965.4603271484375,2065.34423828125
2020-02-12,2.0,1657.6468505859375,1052.775634765625,2608.8974609375
2020-02-13,2.0,1703.61669921875,1121.42724609375,2473.371826171875
2020-02-14,2.0,2218.1005859375,1525.249755859375,3288.448974609375
2020-02-15,2.0,2453.015869140625,1683.0555419921875,3610.17919921875
2020-02-16,2.0,837.70849609375,482.0428161621094,1249.2408447265625
2020-02-17,2.0,980.7509765625,560.3233642578125,1514.6668701171875
2020-02-18,2.0,1428.6173095703125,966.0226440429688,2065.8857421875
2020-02-19,2.0,1658.2779541015625,1053.3929443359375,2609.458984375
2020-02-20,2.0,1704.3350830078125,1122.1224365234375,2474.03076171875
2020-02-21,2.0,2218.867919921875,1525.9959716796875,3289.134033203125
2020-02-22,2.0,2453.752685546875,1683.7769775390625,3610.82763671875
2020-02-23,2.0,837.70849609375,482.0428161621094,1249.2408447265625
2020-02-24,2.0,980.7509765625,560.3233642578125,1514.6668701171875
2020-02-25,2.0,1428.6173095703125,966.0226440429688,2065.8857421875
2020-02-26,2.0,1658.2779541015625,1053.3929443359375,2609.458984375
2020-02-27,2.0,1704.3350830078125,1122.1224365234375,2474.03076171875
2020-02-28,2.0,2218.867919921875,1525.9959716796875,3289.134033203125
2020-02-29,2.0,2453.752685546875,1683.7769775390625,3610.82763671875
2020-03-01,3.0,837.70849609375,482.0428161621094,1249.2408447265625
2020-03-02,4.0,980.7509765625,560.3233642578125,1514.6668701171875
2020-03-03,4.0,1428.6173095703125,966.0226440429688,2065.8857421875
2020-03-04,4.0,1658.2779541015625,1053.3929443359375,2609.458984375
2020-03-05,5.0,1704.3350830078125,1122.1224365234375,2474.03076171875
2020-03-06,5.0,2218.867919921875,1525.9959716796875,3289.134033203125
2020-03-07,6.0,2453.752685546875,1683.7769775390625,3610.82763671875
