,Massachusetts,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,1.0,,,
2020-02-02,1.0,510.296875,395.6795349121094,717.8244018554688
2020-02-03,1.0,890.2424926757812,670.4532470703125,1227.1102294921875
2020-02-04,1.0,886.6417846679688,627.5628662109375,1396.6123046875
2020-02-05,1.0,1200.8287353515625,829.9995727539062,1922.46923828125
2020-02-06,1.0,1217.3450927734375,858.50146484375,1903.447509765625
2020-02-07,1.0,1507.6180419921875,1074.4295654296875,2336.623779296875
2020-02-08,1.0,1672.5269775390625,1138.6513671875,2677.2060546875
2020-02-09,1.0,510.9478759765625,396.3038635253906,718.4406127929688
2020-02-10,1.0,890.85302734375,671.131591796875,1227.678466796875
2020-02-11,1.0,887.3805541992188,628.2838134765625,1397.26220703125
2020-02-12,1.0,1201.541259765625,830.8522338867188,1923.056884765625
2020-02-13,1.0,1218.2210693359375,859.5523071289062,1904.1715087890625
2020-02-14,1.0,1508.478515625,1075.4921875,2337.306884765625
2020-02-15,1.0,1673.541015625,1139.6488037109375,2678.013916015625
2020-02-16,1.0,511.7865295410156,397.061279296875,719.1912841796875
2020-02-17,1.0,891.7424926757812,672.2008666992188,1228.47021484375
2020-02-18,1.0,888.4675903320312,629.2952880859375,1398.1224365234375
2020-02-19,1.0,1202.815673828125,832.5007934570312,1924.03076171875
2020-02-20,1.0,1219.5928955078125,861.396728515625,1905.1751708984375
2020-02-21,1.0,1510.0736083984375,1077.634521484375,2338.46630859375
2020-02-22,1.0,1675.1998291015625,1141.205810546875,2679.15087890625
2020-02-23,1.0,511.7865295410156,397.061279296875,719.1912841796875
2020-02-24,1.0,891.7424926757812,672.2008666992188,1228.47021484375
2020-02-25,1.0,888.4675903320312,629.2952880859375,1398.1224365234375
2020-02-26,1.0,1202.815673828125,832.5007934570312,1924.03076171875
2020-02-27,1.0,1219.5928955078125,861.396728515625,1905.1751708984375
2020-02-28,1.0,1510.0736083984375,1077.634521484375,2338.46630859375
2020-02-29,1.0,1675.1998291015625,1141.205810546875,2679.15087890625
2020-03-01,1.0,511.7865295410156,397.061279296875,719.1912841796875
2020-03-02,1.0,891.7424926757812,672.2008666992188,1228.47021484375
2020-03-03,2.0,888.4675903320312,629.2952880859375,1398.1224365234375
2020-03-04,2.0,1202.815673828125,832.5007934570312,1924.03076171875
2020-03-05,2.0,1219.5928955078125,861.396728515625,1905.1751708984375
2020-03-06,6.0,1510.0736083984375,1077.634521484375,2338.46630859375
2020-03-07,6.0,1675.1998291015625,1141.205810546875,2679.15087890625
