,Minnesota,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,45015.99449915508,,
2020-01-25,0.0,45016.70948947996,,
2020-01-26,0.0,45017.38269748583,,
2020-01-27,0.0,45018.35185843093,,
2020-01-28,0.0,45019.9193891948,,
2020-01-29,0.0,45020.55801719363,,
2020-01-30,0.0,45020.55801719363,,
2020-01-31,0.0,45020.55801719363,,
2020-02-01,0.0,45020.55801719363,,
2020-02-02,0.0,45020.55801719363,,
2020-02-03,0.0,45020.55801719363,,
2020-02-04,0.0,45020.55801719363,,
2020-02-05,0.0,45020.55801719363,,
2020-02-06,0.0,45020.55801719363,,
2020-02-07,0.0,45020.55801719363,,
2020-02-08,0.0,45020.55801719363,,
2020-02-09,0.0,45020.55801719363,,
2020-02-10,0.0,45020.55801719363,,
2020-02-11,0.0,45020.55801719363,,
2020-02-12,0.0,45020.55801719363,,
2020-02-13,0.0,45020.55801719363,,
2020-02-14,0.0,45020.55801719363,,
2020-02-15,0.0,45020.55801719363,,
2020-02-16,0.0,45020.55801719363,,
2020-02-17,0.0,45020.55801719363,,
2020-02-18,0.0,45020.55801719363,,
2020-02-19,0.0,45020.55801719363,,
2020-02-20,0.0,45020.55801719363,,
2020-02-21,0.0,45020.55801719363,,
2020-02-22,0.0,45020.55801719363,,
2020-02-23,0.0,45020.55801719363,,
2020-02-24,0.0,45020.55801719363,,
2020-02-25,0.0,45020.55801719363,,
2020-02-26,0.0,45020.55801719363,,
2020-02-27,0.0,45020.55801719363,,
2020-02-28,0.0,45020.55801719363,,
2020-02-29,0.0,45020.55801719363,,
2020-03-01,0.0,45020.55801719363,,
2020-03-02,0.0,45020.55801719363,,
2020-03-03,0.0,45020.55801719363,,
2020-03-04,0.0,45020.55801719363,,
2020-03-05,0.0,45020.55801719363,,
2020-03-06,1.0,45020.55801719363,,
2020-03-07,1.0,45020.14398351702,,
2020-03-08,1.0,45020.6276393958,,
2020-03-09,2.0,45020.55781527067,,
2020-03-10,2.0,45020.15998384423,,
2020-03-11,5.0,45020.86395703632,,
2020-03-12,9.0,45019.40800967051,,
2020-03-13,14.0,45019.12674942091,,
2020-03-14,21.0,45019.0020494909,,
2020-03-15,21.0,45018.147381187664,,
2020-03-16,53.0,45021.81731722443,,
2020-03-17,59.0,45008.609684568415,,
2020-03-18,77.0,45021.96449781527,,
2020-03-19,89.0,45015.6323833249,,
2020-03-20,113.0,45017.99967965401,,
2020-03-21,134.0,45019.111207227485,,
2020-03-22,167.0,45018.191185243864,,
2020-03-23,234.0,45013.351619993846,,
2020-03-24,261.0,44999.992190423465,,
2020-03-25,286.0,45021.15230741293,,
2020-03-26,344.0,45019.77921745956,,
2020-03-27,396.0,45009.0878751676,,
2020-03-28,441.0,45022.37234559034,,
2020-03-29,503.0,45018.4995229898,,
