,Mississippi,forecast,interval_low,interval_high
2020-01-22,0.0,,,
2020-01-23,0.0,,,
2020-01-24,0.0,,,
2020-01-25,0.0,,,
2020-01-26,0.0,,,
2020-01-27,0.0,,,
2020-01-28,0.0,,,
2020-01-29,0.0,,,
2020-01-30,0.0,,,
2020-01-31,0.0,,,
2020-02-01,0.0,,,
2020-02-02,0.0,291.8811950683594,255.24476623535156,315.7671203613281
2020-02-03,0.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-02-04,0.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-02-05,0.0,451.3507385253906,386.2756652832031,487.76513671875
2020-02-06,0.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-02-07,0.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-02-08,0.0,677.5486450195312,613.108154296875,735.7689819335938
2020-02-09,0.0,291.8811950683594,255.24476623535156,315.7671203613281
2020-02-10,0.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-02-11,0.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-02-12,0.0,451.3507385253906,386.2756652832031,487.76513671875
2020-02-13,0.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-02-14,0.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-02-15,0.0,677.5486450195312,613.108154296875,735.7689819335938
2020-02-16,0.0,291.8811950683594,255.24476623535156,315.7671203613281
2020-02-17,0.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-02-18,0.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-02-19,0.0,451.3507385253906,386.2756652832031,487.76513671875
2020-02-20,0.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-02-21,0.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-02-22,0.0,677.5486450195312,613.108154296875,735.7689819335938
2020-02-23,0.0,291.8811950683594,255.24476623535156,315.7671203613281
2020-02-24,0.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-02-25,0.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-02-26,0.0,451.3507385253906,386.2756652832031,487.76513671875
2020-02-27,0.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-02-28,0.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-02-29,0.0,677.5486450195312,613.108154296875,735.7689819335938
2020-03-01,0.0,291.8811950683594,255.24476623535156,315.7671203613281
2020-03-02,0.0,350.1025695800781,302.6051025390625,377.1093444824219
2020-03-03,0.0,410.5045471191406,359.7001647949219,439.46246337890625
2020-03-04,0.0,451.3507385253906,386.2756652832031,487.76513671875
2020-03-05,0.0,538.6388549804688,495.2557678222656,589.2933349609375
2020-03-06,0.0,568.5359497070312,508.90399169921875,635.8070068359375
2020-03-07,0.0,677.5486450195312,613.108154296875,735.7689819335938
2020-03-08,0.0,291.8811950683594,255.24476623535156,315.7671203613281
